FileName	butyl benzyl phthalate_27
MeasName	27
UserNotes_MeasName	
UserNotes_SampleName	
Timestamp	2023-11-27T20:45:11Z
VirtualGateStart	NaN
VirtualGateEnd	NaN
HwSerial	2022091501
HwModel	M3.1
SpectralAxis	Raman shift (1/cm)
TimeAxis	Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [622.7995276418224, 1004.383987706191, 1033.896377865036, 1604.750144598016]"
Calibration Delta: -2.6549559297583505
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.355389363412677;5.36912563675346;5.382861910094244;5.396598183435027;5.410334456775811;5.424070730116594;5.437807003457378;5.451543276798162;5.465279550138946;5.479015823479729;5.492752096820513;5.506488370161296;5.52022464350208;5.533960916842863;5.547697190183647;5.561433463524431;5.575169736865215;5.588906010205998;5.602642283546782;5.6163785568875655;5.630114830228349;5.6438511035691326;5.657587376909916;5.6713236502507005;5.685059923591484;5.698796196932268;5.712532470273051;5.726268743613835;5.740005016954618;5.753741290295402;5.767477563636186;5.78121383697697;5.794950110317753;5.808686383658537;5.82242265699932;5.836158930340104;5.849895203680887;5.863631477021672;5.877367750362454;5.891104023703239;5.904840297044022;5.918576570384806;5.932312843725589;5.946049117066373;5.9597853904071565;5.97352166374794;5.9872579370887244;6.000994210429508;6.0147304837702915;6.028466757111075;6.042203030451859;6.055939303792642;6.069675577133426;6.08341185047421;6.097148123814994;6.110884397155777;6.124620670496561;6.138356943837344;6.152093217178128;6.165829490518911;6.179565763859696;6.193302037200478;6.207038310541263;6.220774583882046;6.23451085722283;6.248247130563613;6.261983403904397;6.275719677245181;6.289455950585964;6.303192223926748;6.316928497267531;6.3306647706083155;6.344401043949099;6.3581373172898825;6.371873590630666;6.38560986397145;6.399346137312234;6.413082410653017;6.426818683993801;6.440554957334585;6.454291230675368;6.468027504016152;6.481763777356935;6.49550005069772;6.509236324038502;6.522972597379287;6.53670887072007;6.550445144060854;6.564181417401637;6.577917690742421;6.591653964083205;6.605390237423988;6.619126510764772;6.632862784105556;6.646599057446339;6.660335330787123;6.6740716041279065;6.68780787746869;6.7015441508094735;6.715280424150258
126.1027945841888;5.631761296770694e-07;7.926778096469604e-07;1.0221794896168513e-06;1.370594583789056e-06;2.2371275927653293e-06;3.2400563170082945e-06;4.249615654658477e-06;2.0043791459560824e-05;5.966320587524603e-05;9.928262029093124e-05;0.0001426525114692;0.0002347218109781;0.0003598642035354;0.0004850065960927;0.0005943947033378;0.0006414682147628;0.0006704654306782;0.0006831208893892;0.0006377890882391;0.0005497835702517;0.0004617780522644;0.0003739408170427;0.0003020385077435;0.0002316071682055;0.0001645720164936;0.0001277620133183;0.0001144486613246;0.0001011353093308;8.936269058137934e-05;8.11148884705075e-05;7.45173369197211e-05;6.79397117667151e-05;6.54751714617248e-05;6.530862296101896e-05;6.545111423840952e-05;6.525605726969601e-05;6.405916850599886e-05;6.277338154457179e-05;6.155768977718282e-05;6.072838362087801e-05;5.8995975014310094e-05;5.6947188163785966e-05;5.480902003312264e-05;5.438407969113808e-05;5.407964014961669e-05;5.377520060809527e-05;5.194849288173507e-05;4.955283973463695e-05;4.789298839067558e-05;4.647213023749801e-05;4.785882792322342e-05;4.8202934826452376e-05;4.846201309617804e-05;4.845260578392436e-05;4.701519624777994e-05;4.525826251544521e-05;4.350132878311044e-05;4.166783852525807e-05;4.097673192867428e-05;4.169344534375945e-05;4.231595245278351e-05;4.394578370472107e-05;4.488082512365818e-05;4.52769382340317e-05;4.536934945808426e-05;4.387436808798086e-05;4.115600112777772e-05;3.834306216300321e-05;3.611740965444949e-05;3.488934624043915e-05;3.36612828264288e-05;3.243249189337607e-05;3.1545697610415625e-05;3.188554629637902e-05;3.211276954821443e-05;3.36344770572188e-05;3.422761123934799e-05;3.417298861441514e-05;3.415208230050553e-05;3.354533668136714e-05;3.281806993076612e-05;3.212939584147688e-05;3.139295089816976e-05;3.059715912529522e-05;2.9951916153666184e-05;2.9214883592025883e-05;2.931158603209266e-05;3.06270256626242e-05;3.216400495960116e-05;3.374768934907453e-05;3.37642012808569e-05;3.3166201541720054e-05;3.255635870135492e-05;3.1613799922537365e-05;3.092794248039987e-05;3.02420850382624e-05;2.938307992446686e-05;2.858788015420428e-05;2.715899374217893e-05;2.5812619385200053e-05
128.25674194739986;5.707500160124482e-07;7.935139993779177e-07;1.0162779827433871e-06;1.3527825482562952e-06;2.032322747148306e-06;2.7732245595811504e-06;3.536167748602023e-06;2.3459971203619395e-05;5.6989069059508274e-05;9.051816691539714e-05;0.0001365145382547;0.0002351455295071;0.0003515781367162;0.0004680107439254;0.0005599719394856;0.0006120318888042;0.0006548227814646;0.0006727477940894;0.0006121882507341;0.0005285160941353;0.0004448439375364;0.0003630201790085;0.0002911001928425;0.0002200533903587;0.0001573976978786;0.0001301146267892;0.0001152177492025;0.0001003208716158;8.922488391176224e-05;8.06482127326269e-05;7.322406989762553e-05;6.586616606805957e-05;6.458531722644198e-05;6.455155779399647e-05;6.470562840573619e-05;6.386844833787676e-05;6.162654600424027e-05;5.924933929447521e-05;5.710514188172671e-05;5.593111959689663e-05;5.459596509606144e-05;5.3163628384254406e-05;5.14341718836019e-05;5.12989777273152e-05;5.125012056551968e-05;5.120126340372415e-05;5.0057369547093046e-05;4.756533259254693e-05;4.540211557498065e-05;4.344177470815906e-05;4.480950565404183e-05;4.5707092687105896e-05;4.6566427095160935e-05;4.712441744563873e-05;4.601333541235408e-05;4.4749420978050056e-05;4.348550654374601e-05;4.219862468187435e-05;4.133801508342228e-05;4.11107546141725e-05;4.057033508386212e-05;4.1161315481774406e-05;4.179074252342026e-05;4.21777168565508e-05;4.237598577383164e-05;4.119351061050438e-05;3.936634743440543e-05;3.722480954824241e-05;3.535138392073495e-05;3.437532244405561e-05;3.339926096737626e-05;3.360109306723502e-05;3.321180570667043e-05;3.330596810843832e-05;3.3025742885027646e-05;3.3515839036786534e-05;3.358838301031431e-05;3.336091942158632e-05;3.3368655746316855e-05;3.273730730921623e-05;3.195302740205734e-05;3.129545150203468e-05;3.079378196068188e-05;3.019082478773251e-05;2.979999165038891e-05;2.9104033059931584e-05;2.932121268309728e-05;3.017762588471845e-05;3.1104044754812993e-05;3.230762454798863e-05;3.245443863642786e-05;3.233553848302944e-05;3.217726968632291e-05;3.145825998867008e-05;3.0744183016102296e-05;3.007709365039616e-05;2.8834429627871445e-05;2.774778717319776e-05;2.640322763087409e-05;2.5332953311747323e-05
130.40997601856725;5.963248194996291e-07;8.06793325352064e-07;1.0175303990270784e-06;1.2522693972699518e-06;1.6823660485229142e-06;2.1254082877063595e-06;2.973672488576784e-06;2.3080232931373404e-05;5.120471653724187e-05;7.950118432010304e-05;0.0001308603224156;0.0002290371794288;0.0003375129014558;0.0004457280637002;0.0005311957101973;0.0005832477771118;0.0006287665665076;0.000647083212724;0.0005866571823073;0.0005055928779553;0.0004234639098501;0.0003444889510941;0.0002766629746128;0.0002101056964638;0.0001572647639483;0.0001304220255184;0.0001135027111948;9.7069124755001e-05;8.650644597334268e-05;7.797189230841017e-05;7.133182329667093e-05;6.483172250726673e-05;6.34543870618276e-05;6.319298049763735e-05;6.320998972755683e-05;6.179207986688589e-05;5.9162628296163e-05;5.6120860392073856e-05;5.3521082622033054e-05;5.226477415863991e-05;5.148519159287909e-05;5.08632919819579e-05;4.976379094174781e-05;4.87964206056958e-05;4.77217265158068e-05;4.664660592646925e-05;4.613813460642674e-05;4.476194303991774e-05;4.34462565607807e-05;4.218257371639953e-05;4.269262014913256e-05;4.309903460375049e-05;4.347382303189339e-05;4.341470126958629e-05;4.240292209809511e-05;4.132231838517666e-05;4.033168294999247e-05;3.967171062725799e-05;3.959714536156032e-05;3.9656199086134617e-05;3.9309366754327455e-05;3.9540898381417365e-05;4.013221304101659e-05;4.051185953106313e-05;4.080698922814536e-05;3.982925432548336e-05;3.833575902544165e-05;3.662145509711613e-05;3.4523081920885583e-05;3.3672514725245186e-05;3.281471542196903e-05;3.4273028711485035e-05;3.512220857731282e-05;3.579800316654082e-05;3.5955588291019845e-05;3.53728178495918e-05;3.460481526406551e-05;3.3738910904289255e-05;3.326512104205884e-05;3.254085374213498e-05;3.138685875692207e-05;3.0457565601570323e-05;2.9977299163403744e-05;2.963470195263229e-05;2.9914424635138845e-05;2.9689133520740447e-05;2.9821589965482508e-05;2.968885250534244e-05;2.9429491600899663e-05;2.9650199591732192e-05;2.959706484423593e-05;2.953112407228716e-05;2.9534344069681616e-05;2.9053142810742637e-05;2.9001196071064535e-05;2.91343039190607e-05;2.8151882276888e-05;2.7069878985679667e-05;2.5645160908993103e-05;2.470872406271637e-05
132.5624968877928;4.119622253903647e-07;5.929252942158681e-07;7.750920005164704e-07;9.562792772586345e-07;1.2937296353223126e-06;1.6311799933859898e-06;3.7292190966198825e-06;2.1084791653033736e-05;4.588540742042445e-05;7.145680279411444e-05;0.0001276318276965;0.0002196759555969;0.0003218738781733;0.0004222680568707;0.0005090949845209;0.0005580986812143;0.0005991594645968;0.0006034675535978;0.000557833868125;0.0004848511500112;0.0004070969399911;0.0003289171235718;0.0002648852302348;0.0002033754638254;0.0001598478908397;0.0001282284857195;0.0001092932049788;9.253480558634608e-05;8.250338421650104e-05;7.440312618111288e-05;6.916810846092683e-05;6.418498207301973e-05;6.156771652308045e-05;6.042884233117404e-05;5.982046521838611e-05;5.857662630740111e-05;5.662254591333769e-05;5.400258190302556e-05;5.191535389331328e-05;5.045472348201275e-05;4.97708931658682e-05;4.938631681899376e-05;4.867542640785146e-05;4.757294379761294e-05;4.619412909719096e-05;4.481340295885191e-05;4.435587536352816e-05;4.377163014676128e-05;4.317200018172739e-05;4.281886507400496e-05;4.270298314821956e-05;4.255963356170588e-05;4.231071424779257e-05;4.075176744458596e-05;3.893922712829364e-05;3.706321456134341e-05;3.557508839645839e-05;3.5179040130069206e-05;3.582833988434187e-05;3.647763963861453e-05;3.729468695975162e-05;3.85127908324448e-05;4.009737505102415e-05;4.096257012694355e-05;4.079277853435826e-05;3.925050842327428e-05;3.704933271927858e-05;3.5807009136629175e-05;3.434808996157712e-05;3.455413353399566e-05;3.472776504866746e-05;3.559402507823796e-05;3.612695293017238e-05;3.618206751798225e-05;3.611722645819839e-05;3.535437866055904e-05;3.440050506041694e-05;3.338658191450467e-05;3.259783975116359e-05;3.190755009790124e-05;3.052761882652336e-05;2.9398774950095918e-05;2.872969074867806e-05;2.844851642032549e-05;2.915893133090377e-05;2.9409284718838088e-05;2.9542436892204725e-05;2.8805561733762383e-05;2.776302802050936e-05;2.6970449424574143e-05;2.6282825323032583e-05;2.5670248536298645e-05;2.5618115089298668e-05;2.5506826744430094e-05;2.633900756632585e-05;2.7436474971278067e-05;2.6933166970198116e-05;2.61068237976973e-05;2.468896109287639e-05;2.3811966166619965e-05
134.71430464520017;2.450425757911499e-07;3.591506866189627e-07;4.7524326015418274e-07;6.075534410832108e-07;9.337663956679896e-07;1.355002095407024e-06;4.869256928335374e-06;1.9792088994904e-05;4.065876967019429e-05;6.316900847302601e-05;0.0001265773997689;0.0002112266592144;0.0003037585252439;0.0003915147643298;0.0004685392900196;0.0005198509193746;0.0005655112901855;0.0005550842292909;0.0005156581746387;0.0004560304266318;0.0003885358184261;0.0003150255746534;0.0002506195068396;0.0001899375043779;0.00015271015759;0.0001231955955134;0.0001024437552132;8.53655738783111e-05;7.685724979576784e-05;7.045081699505817e-05;6.605334892328919e-05;6.205198873025554e-05;5.938139107097382e-05;5.752267594130688e-05;5.618319085772046e-05;5.527593482824605e-05;5.4263837485405046e-05;5.290686592323898e-05;5.199931787878467e-05;5.048171219094309e-05;4.92556763577159e-05;4.818763631584991e-05;4.703667451061879e-05;4.611578713484488e-05;4.539734774843298e-05;4.467575693366961e-05;4.453636509482886e-05;4.441716545408522e-05;4.424428234349842e-05;4.459577439719067e-05;4.4251541067326665e-05;4.373828675293375e-05;4.305097738343503e-05;4.036704531388839e-05;3.785955266288542e-05;3.537550162503934e-05;3.348755632281715e-05;3.3170127464558035e-05;3.340698369094553e-05;3.363934787998631e-05;3.483961557361766e-05;3.677854897623387e-05;3.907548287991884e-05;4.0186344602189657e-05;3.90839176035381e-05;3.704213192724978e-05;3.452121764255292e-05;3.414469376172457e-05;3.4195218888847864e-05;3.5231114842501e-05;3.62135723471199e-05;3.568631755635481e-05;3.497218182583273e-05;3.40019883731423e-05;3.317109475607428e-05;3.2127484923056455e-05;3.091742974967389e-05;2.967095268567989e-05;2.8812359809789115e-05;2.847585484066889e-05;2.778023568101841e-05;2.733720850037951e-05;2.737062101610533e-05;2.750349853926216e-05;2.8196732272902125e-05;2.842945435453843e-05;2.8208532558287432e-05;2.748234486788482e-05;2.646817502417584e-05;2.549134755386429e-05;2.472830741701748e-05;2.4043785758412973e-05;2.437221905182463e-05;2.498351417865152e-05;2.6134914251468244e-05;2.7381571879887715e-05;2.654293672029268e-05;2.5385187375795305e-05;2.381669018245653e-05;2.2797075949702367e-05
136.86539938092028;2.3188133300775467e-07;2.5944247380172497e-07;2.933105950671475e-07;3.418886421439077e-07;8.83156078922751e-07;1.9393012412723693e-06;5.526871837678813e-06;1.8026436705061632e-05;3.891498233514767e-05;6.433346255729265e-05;0.0001256711019228;0.0002009976629199;0.0002862161136554;0.0003657646884558;0.0004351137292274;0.0004830552096718;0.0005247442369001;0.0005137342703423;0.0004782584553047;0.0004228860213325;0.0003618954777862;0.0002932684788825;0.0002314057820574;0.0001762357676798;0.0001411377136927;0.0001152602034707;9.589207241614778e-05;7.995203394468128e-05;7.169963364932476e-05;6.615037399402009e-05;6.236892622181911e-05;5.9144227575369744e-05;5.7496770512921546e-05;5.567020737741405e-05;5.3876425192676936e-05;5.276330918557006e-05;5.216493161843065e-05;5.1755836079300975e-05;5.1693319158071256e-05;5.026419744703205e-05;4.820750602401337e-05;4.614850048130314e-05;4.41683868420434e-05;4.322182319793294e-05;4.39349165276892e-05;4.466205017987342e-05;4.593492246986463e-05;4.630713368981394e-05;4.6380089866032415e-05;4.651347297924636e-05;4.518141974459568e-05;4.339537781612084e-05;4.189510778733846e-05;3.942272028949255e-05;3.770440568282255e-05;3.625465919602572e-05;3.509439318457688e-05;3.471517160123346e-05;3.400336533426333e-05;3.315205408390369e-05;3.332501141323447e-05;3.442124779205379e-05;3.63091835049187e-05;3.737559719350217e-05;3.6703006894741374e-05;3.520716639540598e-05;3.346581325377777e-05;3.339456681586681e-05;3.400649073583936e-05;3.482788796197968e-05;3.537551617431276e-05;3.4302270220036435e-05;3.319297467569738e-05;3.2255555572445174e-05;3.1285987960310244e-05;2.9743896557768764e-05;2.796408576613571e-05;2.609003260103451e-05;2.5078912766617632e-05;2.520743447377317e-05;2.552648014991577e-05;2.6276482062771164e-05;2.7497625298414475e-05;2.8027127196607194e-05;2.8390763152764416e-05;2.815694500280076e-05;2.7273049168250412e-05;2.64832551240103e-05;2.5556458997482848e-05;2.4738817868868143e-05;2.4402262984089374e-05;2.4266323954733357e-05;2.4836108050093887e-05;2.5605051930030296e-05;2.6225401943754197e-05;2.6921827709742e-05;2.6088694373211844e-05;2.4881587590804224e-05;2.336215820096407e-05;2.207563110039612e-05
139.01578118509497;3.242417201622995e-07;3.373762325855508e-07;3.736509093603243e-07;4.234511831187156e-07;1.3294117245020888e-06;3.349687762075732e-06;7.413221156224204e-06;1.6240436798869068e-05;3.803204620560517e-05;7.211029647720758e-05;0.0001246930970379;0.0001892451326821;0.0002682601525435;0.0003450484319427;0.0004162153482047;0.0004586888837666;0.0004885427586067;0.0004801915237536;0.0004521075055274;0.0003962472651544;0.0003355280838797;0.0002694281408893;0.000212529781358;0.0001662475125429;0.0001337268550297;0.0001073195765268;9.032394413304707e-05;7.83476045630758e-05;6.993544469148951e-05;6.387573247668644e-05;6.057436088719112e-05;5.8359089541277e-05;5.712837059073139e-05;5.544042061814705e-05;5.288651878744269e-05;5.0380952259126447e-05;4.876254604154603e-05;4.77729992572701e-05;4.799427966312755e-05;4.736727296517924e-05;4.54281176200048e-05;4.343956009451737e-05;4.152816252911433e-05;4.0921690262175824e-05;4.3142750992784576e-05;4.5434876053935686e-05;4.80628239398524e-05;4.855010113134573e-05;4.826865778637444e-05;4.682653751794346e-05;4.414187942325446e-05;4.093060051651032e-05;3.944963731249159e-05;3.789918995099481e-05;3.721679806520932e-05;3.699012944276065e-05;3.678249730500343e-05;3.680507793655712e-05;3.621537742009756e-05;3.505749201035773e-05;3.4198324968146875e-05;3.399035050310982e-05;3.493261257246215e-05;3.5256629407918446e-05;3.4983498565114764e-05;3.3698257754311216e-05;3.272149583869955e-05;3.267794989557822e-05;3.3063389994522325e-05;3.345166162145955e-05;3.275101430873461e-05;3.140571532370634e-05;3.0189968298941447e-05;2.957534104369278e-05;2.9261774805417928e-05;2.8419294299620688e-05;2.7145075755762894e-05;2.5484914087381588e-05;2.435798151854653e-05;2.444600119797988e-05;2.508038378387585e-05;2.705302286656749e-05;2.926759211462847e-05;3.0241411133369476e-05;3.030595295848804e-05;2.93981803597652e-05;2.8160888906100706e-05;2.708884936028341e-05;2.588752036218592e-05;2.479003284763657e-05;2.436822571028062e-05;2.460334890700089e-05;2.514743472403843e-05;2.562327091940837e-05;2.5510728688023422e-05;2.5783101994158437e-05;2.560902557516304e-05;2.505224389848053e-05;2.3956537666499704e-05;2.2474657748984217e-05
141.1654501478988;3.463880559236422e-07;3.971592051378267e-07;4.856392420441506e-07;6.243365495264852e-07;1.6221548575167595e-06;3.762948597345278e-06;8.164880713075387e-06;1.6158832871756043e-05;3.4863194981642704e-05;7.06707172849925e-05;0.0001147722794763;0.0001763452427932;0.0002480517302876;0.0003205799476687;0.0003893702301528;0.0004333867631259;0.0004630166773453;0.0004599150605466;0.000430481598576;0.0003794762978029;0.0003222152915882;0.0002614249271976;0.0002076738621792;0.0001625303480025;0.0001294863768733;0.0001020747400496;8.622190087158988e-05;7.719224801280465e-05;6.907349831223595e-05;6.267575434709615e-05;5.878201221959593e-05;5.646034445854156e-05;5.4727415268576734e-05;5.344602106831419e-05;5.0667896707418965e-05;4.74174950370222e-05;4.500163856881394e-05;4.352468057117543e-05;4.417317169798735e-05;4.458075137823494e-05;4.375813893573875e-05;4.290837151160742e-05;4.206231722537485e-05;4.211079208573471e-05;4.39758938578782e-05;4.595886408208768e-05;4.805789198379272e-05;4.862686100310577e-05;4.826997136346224e-05;4.588442121771596e-05;4.289249820389044e-05;3.967205777031405e-05;3.934326257316789e-05;3.8990547731415024e-05;3.811922788108056e-05;3.752228482406397e-05;3.6906297360398304e-05;3.686989960473764e-05;3.714329552967437e-05;3.651450523853665e-05;3.565279249288031e-05;3.48407505642886e-05;3.4558333100734086e-05;3.352125004533269e-05;3.2440355021168125e-05;3.0857742134674264e-05;3.039580160494996e-05;3.071333466509956e-05;3.138362565978866e-05;3.225734341573679e-05;3.1347661083486784e-05;3.032834575400249e-05;2.9200668587057803e-05;2.871784071389369e-05;2.900307395167658e-05;2.911400974926609e-05;2.863869552308376e-05;2.7527068658219056e-05;2.641075606066876e-05;2.5878942212572942e-05;2.5864516961071724e-05;2.800468316704776e-05;3.0220891245470286e-05;3.183986025491113e-05;3.236788982610126e-05;3.1622183396627125e-05;3.095422327785716e-05;2.96642801297687e-05;2.802690745960733e-05;2.631753751666449e-05;2.5024077140734985e-05;2.5189452041448987e-05;2.557365939015423e-05;2.588159788530419e-05;2.536203676569625e-05;2.542897009728789e-05;2.5578589135530556e-05;2.5514507747668685e-05;2.4874628123568084e-05;2.34374093703188e-05
143.3144063595064;2.848128430690967e-07;2.90259125748851e-07;3.1857700495754816e-07;5.00921381445122e-07;1.5441910426810747e-06;3.1793132939506734e-06;6.138781999059912e-06;1.6462033829951914e-05;3.429319403288733e-05;6.185744301182762e-05;9.410230917233952e-05;0.0001583307367715;0.000227064631885;0.0002965944817068;0.0003591355520085;0.0003996785756593;0.000432928099134;0.0004452687857947;0.0004112224148987;0.0003631106482961;0.0003112046045448;0.0002572791130301;0.000206975553178;0.0001599936800547;0.0001212986170176;9.623818462034552e-05;8.340245802577327e-05;7.455985645029094e-05;6.637178589429153e-05;6.041269427958448e-05;5.557909493769245e-05;5.168400003606769e-05;4.912978260969216e-05;4.812518322085519e-05;4.621293161953999e-05;4.406313413268038e-05;4.270636691140727e-05;4.240539945542804e-05;4.341816759915377e-05;4.4129662975912406e-05;4.3720073648896194e-05;4.330075816127378e-05;4.277831599275876e-05;4.284588196283183e-05;4.353010791835968e-05;4.428582470387842e-05;4.526679162383228e-05;4.5797560467287925e-05;4.584297713804981e-05;4.467611737363017e-05;4.330508529601725e-05;4.182187152888714e-05;4.209252925466394e-05;4.208724098533496e-05;4.008582195267728e-05;3.81443913758694e-05;3.620070392169743e-05;3.5068056202403846e-05;3.5078027992815455e-05;3.454851476855339e-05;3.3887587951289234e-05;3.3143481918731555e-05;3.2370266401610905e-05;3.113932306520494e-05;3.003054487290482e-05;2.897272985047201e-05;2.873120973077589e-05;2.892421843641532e-05;2.958632456134564e-05;3.073427526600498e-05;3.080053913863792e-05;3.081767717802183e-05;3.0392817545330214e-05;3.0158764176060214e-05;3.0432801125578276e-05;3.069106250167636e-05;3.026907930736647e-05;2.9461152988533074e-05;2.847931354134569e-05;2.765440487406128e-05;2.7160799957820428e-05;2.7974020819694462e-05;2.883852363740923e-05;2.983068761983385e-05;3.056983577608764e-05;3.064337845093703e-05;3.120887912474959e-05;3.046783177552351e-05;2.923498299895256e-05;2.764911462615479e-05;2.60777929979267e-05;2.6373071010804224e-05;2.681042234659174e-05;2.722386939433454e-05;2.6676738530921e-05;2.6367786538393803e-05;2.60128005068994e-05;2.5518829665836635e-05;2.477590449963419e-05;2.3551296386351448e-05
