FileName;glycerol monostearate (15mW)_107
MeasName;107
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-14T21:21:47Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;4.0782524810086404e-07;5.738182142802661e-07;7.259551289910895e-07;8.737414780957397e-07;9.9759367863283e-07;1.0767892338815284e-06;1.075373450966296e-06;1.0558804286710814e-06;9.49579189161337e-07;8.351357897677015e-07;7.380634179312436e-07;6.615936253269793e-07;6.085068157688356e-07;5.97313629029313e-07;6.323480473759538e-07;6.946767329741548e-07;7.596689155532263e-07;7.97173551172388e-07;7.95717604089999e-07;7.651287859056817e-07;7.245619796728479e-07;6.953322816473062e-07;6.969555162846732e-07;7.595621683749911e-07;8.714291774170998e-07;1.0171069960382371e-06;1.1703130210336771e-06;1.2993117810523264e-06;1.401399098437506e-06;1.485521712789159e-06;1.53048282964266e-06;1.5266853690502794e-06;1.497977815883149e-06;1.4661846639302349e-06;1.4482975998601302e-06;1.450983577470889e-06;1.4821197342082015e-06;1.4936905006260006e-06;1.4908207859091926e-06;1.5901496102966703e-06;2.313718798495128e-06;4.7347869289502346e-06;1.0579192613214728e-05;2.265947892276405e-05;4.389617087285789e-05;7.672662326129787e-05;0.0001224964747782;0.0001811098234858;0.0002507643436848;0.0003286353661504;0.0004104815583351;0.0004906140672793;0.0005629993829784;0.0006232824443643;0.0006682334211415;0.0006965217000812;0.0007079244892684;0.0007040731919631;0.0006878664702679;0.0006632361612187;0.0006345019430953;0.0006051001414442;0.0005775102033337;0.0005536028243177;0.0005341117288885;0.0005187842475799;0.0005070057391735;0.0004976550401754;0.0004897055565617;0.0004829097358573;0.0004772900528006;0.0004727254019498;0.0004678018844946;0.0004628449520543;0.0004580038616905;0.0004531766377502;0.0004483754928204;0.000443585515545;0.0004388625082616;0.0004342733847486;0.0004299107356884;0.0004261104941372;0.0004231654139147;0.0004209821812718;0.0004191391397514;0.0004171383751579;0.0004147249090319;0.0004117585118154;0.0004081163449735;0.0004036709851808;0.0003984698586423;0.0003930509336093;0.0003880759433607;0.0003839659709606;0.0003812455767366;0.000379587776535;0.0003789097723644;0.0003790354632113;0.0003796683801261;0.0003804531036598
129.18959229751636;7.419397605825758e-07;9.231685675252764e-07;1.0284353380797014e-06;1.0805956914630122e-06;1.0780351630209377e-06;1.020733345395683e-06;9.13744859480616e-07;7.756234903430794e-07;6.458026180158684e-07;5.713286976469711e-07;5.657037203234524e-07;5.975844301530809e-07;6.588816969316527e-07;7.276038744294423e-07;7.797721032835892e-07;8.061147694852744e-07;8.036394567783492e-07;7.679721835133489e-07;7.0177908472757e-07;6.019835103458996e-07;5.112722656747098e-07;4.916787413014648e-07;5.362823161865872e-07;6.583926964794736e-07;8.331019998367695e-07;1.015673025194024e-06;1.166915082919896e-06;1.286788104487489e-06;1.355640562149279e-06;1.3938772430291744e-06;1.4067709541642917e-06;1.4078744987880072e-06;1.4097573047435486e-06;1.4133027022128938e-06;1.4206126115835935e-06;1.447314438512463e-06;1.482340975415885e-06;1.5220998744335347e-06;1.5328233671024263e-06;1.6258886540608645e-06;2.334314069670252e-06;4.640059904500756e-06;1.0138388320608843e-05;2.143537224252364e-05;4.10809709817274e-05;7.114870649504946e-05;0.0001120854874207;0.000164021501914;0.0002258596147045;0.0002955553592872;0.0003695087549017;0.0004428330060339;0.0005102994884896;0.0005680696256589;0.0006130424798868;0.0006436611546147;0.0006593745390796;0.0006612028473982;0.0006514192732067;0.00063334114508;0.0006106342830693;0.0005862154188633;0.0005622462848086;0.0005404381338594;0.0005216615836721;0.0005062761172494;0.0004941834948529;0.0004849094048657;0.0004778685579145;0.0004725503927167;0.0004684504507186;0.000464919906812;0.0004612832211631;0.0004570224102874;0.0004527721222305;0.0004479874161203;0.0004431527194418;0.0004387001279145;0.0004347984490608;0.00043114739545;0.0004271946692513;0.0004236073964312;0.0004203797928682;0.0004173721968445;0.0004145227295013;0.0004114714422283;0.0004079655962469;0.0004041672468572;0.000400262110173;0.0003962928944746;0.0003922578789242;0.0003882994429963;0.0003843700228543;0.0003812136439532;0.0003788901762366;0.0003771301861155;0.0003760505069186;0.0003754542056052;0.0003751404506197;0.0003749489981982
131.33142972264977;8.368127500823158e-07;8.798836513653407e-07;8.905507441866429e-07;8.551833335382986e-07;7.8554537062485e-07;6.952707397766543e-07;6.003437279319613e-07;4.909063512434601e-07;4.536791388242172e-07;4.801324627771362e-07;5.656342477995235e-07;6.97438169568319e-07;8.484766518842917e-07;9.86553003886399e-07;1.072389077531532e-06;1.0963150137920691e-06;1.063509961268195e-06;9.896315324295495e-07;8.82267466302378e-07;7.399731335141441e-07;5.948085202327117e-07;5.126994429155165e-07;5.290268695066649e-07;6.147796807263485e-07;7.228634052393321e-07;8.179511638849553e-07;8.745117413686277e-07;9.104471831696276e-07;9.493702963386736e-07;1.0034505402284502e-06;1.05548968684781e-06;1.1022234655225068e-06;1.1472077654735055e-06;1.1905033943064096e-06;1.22168967777624e-06;1.2249326424259948e-06;1.2136657569977868e-06;1.2147004940796409e-06;1.2317132176263478e-06;1.4208095451011792e-06;2.313108400860138e-06;5.004301950177488e-06;1.0913526828505776e-05;2.2218651309765347e-05;4.097721513712144e-05;6.879257556889043e-05;0.0001066462903292;0.0001549968459404;0.0002129633844979;0.0002785684147646;0.0003481122152479;0.0004170343998232;0.0004806261747252;0.0005353642061243;0.0005785378141461;0.0006089855340227;0.000626366046968;0.0006314857506672;0.0006260879505173;0.0006128899708271;0.0005947928931236;0.0005743023264901;0.0005533036561193;0.0005333382401549;0.0005155017048534;0.0005006341605726;0.0004890877726248;0.0004805203945097;0.000474003964302;0.0004685327214953;0.0004633884679565;0.0004581657186237;0.0004532110772833;0.0004470822921802;0.0004413840638382;0.0004360434876891;0.0004314554085463;0.0004275609981879;0.0004240612660015;0.0004210694324165;0.0004181049939347;0.0004149961532575;0.0004117457392118;0.0004084180539071;0.0004049600460805;0.0004013195617772;0.0003976073649124;0.0003939588480539;0.0003905531336542;0.0003874476142814;0.0003846061333048;0.0003823827011703;0.000380444782695;0.0003786028735027;0.0003772815396078;0.0003763304354477;0.0003755784537039;0.0003748510964623;0.0003740943004054;0.000373347895602
133.47260691138217;9.437238354314196e-07;9.186947960505468e-07;8.715544969860259e-07;7.829647898946219e-07;6.635974010417402e-07;5.351695839271041e-07;4.3116225774871205e-07;3.857831602643946e-07;4.0352012590262603e-07;4.597716202228337e-07;5.280840055974676e-07;6.001891989864515e-07;6.864175792666632e-07;7.673571649971168e-07;8.14538554742578e-07;8.281612478782047e-07;8.312145155461688e-07;8.4878311842215e-07;8.844505330647116e-07;9.041967818148352e-07;8.921064461675859e-07;9.21199183000881e-07;9.268429272940058e-07;9.200323138822734e-07;8.579636826785632e-07;7.849278296555145e-07;7.436034920159944e-07;6.975485105978944e-07;6.96431639881701e-07;7.29865977739473e-07;7.710293460204828e-07;8.047878713305777e-07;8.365553013929063e-07;8.767513477745494e-07;8.945276126452768e-07;8.535322133919527e-07;7.857822984562095e-07;7.288249042170546e-07;7.381999932616473e-07;1.0093783165788802e-06;2.0072665347616166e-06;4.538431271417452e-06;1.0010700161298272e-05;2.046807419655818e-05;3.784418848145431e-05;6.38552191561504e-05;9.991818910780732e-05;0.000146788643216;0.0002037415154918;0.0002687312683078;0.0003375275638358;0.0004052241850769;0.0004672665846255;0.0005202760479586;0.0005617370618379;0.0005907309122374;0.000607158700956;0.0006120993103948;0.0006075539081451;0.0005963887030383;0.0005810405171782;0.0005632633894687;0.0005444566884367;0.0005259790000937;0.0005090003491965;0.0004946326563237;0.0004835745916639;0.0004755217589725;0.0004694237505672;0.0004641871662325;0.0004591117618741;0.0004539737005668;0.0004486957958807;0.0004429837578149;0.0004367983159909;0.0004307082013354;0.0004251238381917;0.0004203439669691;0.0004162637100787;0.0004127268186254;0.0004091554795351;0.0004051151143815;0.0004012676940923;0.0003975504127967;0.0003936784131195;0.0003898650346401;0.0003863399343093;0.0003831715580799;0.0003804682044841;0.0003783244642457;0.0003767886283269;0.0003759444979032;0.0003757638568694;0.0003760133532757;0.0003763355024435;0.0003764831592583;0.0003764819921395;0.0003761740494768;0.0003754705022274;0.0003745879616299
135.61312380366144;9.54496439584209e-07;1.0031148685911237e-06;1.0471708428906253e-06;1.047300050685211e-06;9.95339118837583e-07;9.005939036064048e-07;7.953222850959171e-07;7.160122976831443e-07;6.683144104348546e-07;6.282356560180455e-07;6.014752447555996e-07;5.881379107502311e-07;5.766500362564661e-07;5.501081054570851e-07;5.059418843762734e-07;4.658687186842668e-07;4.6842247043339163e-07;5.470836050583887e-07;6.924454077773505e-07;8.594326355991912e-07;1.0083760162001102e-06;1.100756374430744e-06;1.1220353785689756e-06;1.075205762173454e-06;9.632493262163457e-07;8.081528500792832e-07;6.754604031053895e-07;6.010553284717219e-07;5.939109709679112e-07;6.154242498066615e-07;6.4620670394018e-07;6.71263440186799e-07;6.900647735871643e-07;6.984705681052321e-07;6.791139239135142e-07;6.257541701703115e-07;5.634158412034947e-07;5.083528541606279e-07;4.957441806424546e-07;7.080425080176821e-07;1.6239997557622031e-06;3.95038421848353e-06;8.981162306459025e-06;1.8488660338060646e-05;3.467527277158352e-05;5.9723011145032194e-05;9.4543442609642e-05;0.0001398990192156;0.0001949137010264;0.0002574575481733;0.0003236348970817;0.0003890317206065;0.0004494414363702;0.0005013305445878;0.0005419882917905;0.0005701942727362;0.0005856443958779;0.0005896112071016;0.0005843725255109;0.0005730052654507;0.0005580728763609;0.0005413138106066;0.0005244916568362;0.0005083780339257;0.0004933733656755;0.0004801843356123;0.0004690937580052;0.0004602398476846;0.0004537568598948;0.0004494579834209;0.0004470081422287;0.000445867367105;0.0004447425115389;0.0004440980787161;0.000441625068941;0.0004374946677716;0.000432027883701;0.0004259173047623;0.0004196101307035;0.0004139501112587;0.0004090133768732;0.0004046840398044;0.0004005519107821;0.0003966649688872;0.0003929786802176;0.0003894103892946;0.0003859202141494;0.0003825137662368;0.0003792565636963;0.0003763063539146;0.0003738857389679;0.0003719204150623;0.0003708922000201;0.0003709622560133;0.0003710414543571;0.0003713900768678;0.0003719991123834;0.0003727300014898;0.0003733552772792;0.0003736743096501
137.7529803396901;8.507273236749386e-07;1.0124538593006752e-06;1.1418693692842649e-06;1.2409870503034937e-06;1.3112705959172893e-06;1.332030895897151e-06;1.3235209628038986e-06;1.3159037838903534e-06;1.3126043845040792e-06;1.3084657579249871e-06;1.326886725380131e-06;1.3544439646974045e-06;1.3512057934606411e-06;1.3163471509761404e-06;1.254106139966904e-06;1.1646189062771018e-06;1.0695757315001182e-06;1.0128728172794989e-06;9.992288361342684e-07;1.011375381686103e-06;1.0371563910462652e-06;1.0096096621807369e-06;1.0101803407929606e-06;9.77879223312916e-07;9.753755261008714e-07;9.50415569386723e-07;8.958892218222307e-07;8.698211148035763e-07;8.524246509008129e-07;8.286099066491976e-07;7.890621987473002e-07;7.33562041534005e-07;6.731636619094323e-07;6.080572179848355e-07;5.55684713647715e-07;5.112164264771734e-07;4.615562324193194e-07;4.152974012259616e-07;4.209567026689064e-07;6.427509450770339e-07;1.5648958528196035e-06;4.0257517907256805e-06;9.2664574132965e-06;1.877201386697252e-05;3.464010551758196e-05;5.8724869490009386e-05;9.221976342047036e-05;0.0001355829578532;0.0001877876588653;0.0002467314049314;0.0003092930979421;0.0003717205447338;0.0004300503952984;0.0004805023967377;0.0005202782103011;0.0005480492651752;0.0005634724242979;0.0005678051337797;0.0005631821212368;0.0005523596780016;0.0005379883474321;0.0005219939822731;0.0005056054795537;0.0004894617063513;0.0004751159090251;0.0004626227256723;0.0004521182447938;0.0004440151102683;0.0004386634768239;0.0004361623554306;0.0004361934670047;0.0004379630500278;0.0004404558459114;0.000442858004346;0.0004428546959985;0.0004401136488927;0.0004347814120942;0.0004276884693241;0.0004207004137379;0.0004144485893029;0.0004096637469894;0.0004064988859875;0.0004035659104458;0.0004010735118539;0.0003987570039665;0.0003961865033186;0.0003928620157586;0.0003890721004561;0.0003850204698303;0.0003810191347935;0.0003773586991341;0.000374243904331;0.0003717304515678;0.0003698180708867;0.0003683146046492;0.0003676829333409;0.0003677991276557;0.0003685951914988;0.0003700259916448;0.0003714425140866
139.8921764599363;7.419165922965909e-07;8.012728308554377e-07;8.3060537386877e-07;8.961388124859953e-07;1.0096026913912892e-06;1.1610412646283538e-06;1.341763737605776e-06;1.530630142270113e-06;1.693574275619734e-06;1.8387468742062064e-06;1.9679365639335616e-06;2.0417204015285376e-06;2.0582348791646662e-06;2.0454495204848705e-06;1.997460961786524e-06;1.899721374441798e-06;1.7496387301758434e-06;1.5726271393162862e-06;1.392483330839607e-06;1.2236067667003935e-06;1.0859376127201213e-06;1.0024232132928576e-06;9.841172679131908e-07;1.015777434107492e-06;1.080316488834522e-06;1.149555093021863e-06;1.186903702106763e-06;1.1744637133011722e-06;1.09856327876372e-06;9.82309647350091e-07;8.359717392299705e-07;6.83990200838756e-07;5.530415426697473e-07;4.7179112805942194e-07;4.54952567349463e-07;4.660599446442882e-07;4.899166358233603e-07;5.466478518902539e-07;6.19459280093945e-07;8.910723822835179e-07;1.732214836145512e-06;3.865821475015008e-06;8.487790236594743e-06;1.7171954610548177e-05;3.1953656948891246e-05;5.461892895268847e-05;8.672542697150522e-05;0.0001286779720856;0.0001793886599186;0.000236663489094;0.0002973914861603;0.0003576711401107;0.0004136204587551;0.0004616273316104;0.0004993749494447;0.0005261848383335;0.0005423081592365;0.000548980115631;0.0005478154050024;0.0005405693689083;0.0005292180432776;0.0005153480941661;0.0005003869200694;0.0004853608404676;0.0004711759291914;0.0004586333094764;0.0004485126415318;0.0004413694673022;0.0004373301949666;0.0004359854638791;0.0004365691522827;0.0004380528862447;0.000439476402239;0.0004400734423697;0.0004394596200775;0.0004366140243623;0.0004316732862762;0.0004253566137061;0.0004192967272997;0.0004139333244203;0.0004096817018333;0.0004065043735054;0.0004044401150104;0.000402522158518;0.0004003889982944;0.000397767974317;0.000394523392236;0.0003907301626744;0.0003867608404037;0.0003830474914265;0.0003799181982995;0.0003772155955045;0.0003749612128735;0.0003731408491557;0.0003717629486603;0.0003708344250741;0.0003702518511329;0.0003695878128107;0.0003693274573857;0.0003694573852217
142.03071210513372;7.635492579418047e-07;6.427746881676859e-07;5.497188312911063e-07;5.245222916415695e-07;5.753567594965451e-07;6.655786135460372e-07;8.30650334531088e-07;1.0330641257902018e-06;1.245645468024199e-06;1.4530495694029755e-06;1.6743791240688192e-06;1.816512407304656e-06;1.8727190544301724e-06;1.8741920038798376e-06;1.8314517045372843e-06;1.7327463725650832e-06;1.5689247933162615e-06;1.3472777297589553e-06;1.0914325110262615e-06;8.812152252817553e-07;7.527838604133001e-07;7.139849129820366e-07;7.329269825960602e-07;8.206590912462589e-07;9.23203747715836e-07;1.002891135213553e-06;1.0383330572819758e-06;1.0201294163784043e-06;9.468759577655932e-07;8.236404214920385e-07;6.729950109093327e-07;5.322811299661901e-07;4.2908328574962446e-07;3.862578595591657e-07;4.125904444431807e-07;4.849335841308671e-07;5.89088644281398e-07;7.092857069318129e-07;8.509851929775041e-07;1.1508970840699148e-06;1.934545176804717e-06;3.7328034212049113e-06;7.581965427478107e-06;1.5269974796850955e-05;2.886394113709284e-05;5.028483695833328e-05;8.083853360294583e-05;0.0001209260334125;0.0001695824182227;0.0002247880976812;0.000283471684008;0.0003413496766618;0.0003943451272815;0.0004392171415878;0.0004743317096833;0.000499727196398;0.0005161276422627;0.0005248201954288;0.000527123030822;0.0005242901381253;0.0005178712672358;0.0005088163311081;0.000498152289048;0.000486732984026;0.0004753912740779;0.0004648046258411;0.0004558176806964;0.0004491321605463;0.0004449864708194;0.0004429615509073;0.0004422077605946;0.0004417321169028;0.0004408377771305;0.0004391851922889;0.0004367811614534;0.0004335710255971;0.0004296370794774;0.0004252311332256;0.0004207321960467;0.0004164656915246;0.0004125467136008;0.0004088974606816;0.0004058648054396;0.0004027956760249;0.0003994498433372;0.0003955742172728;0.0003911736329553;0.0003866086054893;0.0003825320510638;0.0003794054967365;0.0003772482722913;0.0003759619396564;0.000375284204556;0.0003750020119203;0.0003750489396056;0.000374547839594;0.000373211215885;0.0003712039435971;0.0003687207537762;0.0003666607439703
144.16858721627432;7.589341081318991e-07;6.36607955736311e-07;5.452025564723593e-07;5.006341958542274e-07;4.6837549956839314e-07;4.617809074635195e-07;5.005458607746856e-07;5.89975752941809e-07;7.401833244174406e-07;9.380342746312032e-07;1.140683104204048e-06;1.3048204680081276e-06;1.3981357806921193e-06;1.427143734237598e-06;1.393509274949708e-06;1.2835325891137076e-06;1.108277887142268e-06;8.915884455542703e-07;6.699244141354996e-07;4.949813045897424e-07;4.1227151021887813e-07;4.281270604403688e-07;4.920328267542142e-07;5.688853743587521e-07;6.438794365473827e-07;7.043816072783318e-07;7.419838714321443e-07;7.576535721060998e-07;7.413128064418745e-07;7.085117893804928e-07;6.898142574098721e-07;6.643795909890864e-07;6.415866933039718e-07;6.211120352105256e-07;6.062854697640321e-07;6.188724415437319e-07;6.504209371750209e-07;6.90416482724389e-07;8.244505912702032e-07;1.147258099209693e-06;2.065497543757072e-06;3.978140061332412e-06;7.782495573267472e-06;1.5160234451289048e-05;2.826442425496254e-05;4.886732930490349e-05;7.792264094179037e-05;0.0001158114312708;0.0001617972072534;0.000214308752835;0.0002705000891188;0.0003259948898695;0.0003766308362593;0.0004195745874186;0.0004534458610719;0.0004781717051759;0.0004942684307371;0.0005030055505808;0.0005059465203242;0.0005048396126646;0.0005014613358691;0.000496363221856;0.0004893966857339;0.0004812257250731;0.0004726785503788;0.0004639988912891;0.0004556063232452;0.0004487320770721;0.000443099681592;0.0004388208606727;0.0004356942843535;0.000433309939826;0.0004313583259569;0.0004295950595348;0.0004283656324337;0.0004270587067415;0.0004253942510034;0.0004232168659718;0.0004202056481413;0.0004167458923372;0.0004130853903325;0.0004095222142361;0.0004058820866857;0.0004021689556398;0.00039799909558;0.0003930948256116;0.0003876942398303;0.0003826121973884;0.000378662586891;0.0003764180391932;0.0003757756050312;0.0003763386138138;0.0003773461569386;0.0003781032199617;0.0003779615536966;0.0003762630292903;0.0003731020651345;0.0003690497774824;0.0003640867655315;0.0003596012397357
