FileName;n-propyl oleate (15mW)_90
MeasName;90
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-14T20:52:29Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;5.394246259029834e-07;6.129133604174029e-07;6.904355997876799e-07;7.593719873496196e-07;8.183344061682409e-07;8.79100965241631e-07;8.954680766708e-07;9.011161460382018e-07;8.911448285175763e-07;8.735372152487327e-07;8.6740358434047e-07;8.815079204817219e-07;9.131851084799512e-07;9.678953792499892e-07;1.0200928862704523e-06;1.0479519072677642e-06;1.0616226621233112e-06;1.075673868279297e-06;1.0881201453899633e-06;1.0988303838791865e-06;1.0845570645521182e-06;1.0663620688388838e-06;1.0702876559600193e-06;1.1173572522392074e-06;1.1834528920703727e-06;1.2189347047017062e-06;1.201683087164662e-06;1.172676407445766e-06;1.1865789914363472e-06;1.2244986797701417e-06;1.2221800758497726e-06;1.1602350791107523e-06;1.1681281176444736e-06;1.296659909391136e-06;1.545585785698633e-06;1.8053953624400963e-06;1.983697776290127e-06;2.121989863466948e-06;2.30807919116958e-06;2.993116174980736e-06;6.79954554005874e-06;2.030578810931189e-05;5.7282520322914446e-05;0.0001426410689243;0.0003028392980072;0.0005617170610438;0.0009336339625199;0.0014271552070885;0.0020359095492146;0.002741130528475;0.003503925627135;0.0042666249221075;0.004965440710187;0.0055537988772553;0.0059994622978743;0.0062896966333145;0.0064234973089486;0.0064176715534802;0.0063002152165323;0.0061071634987613;0.005876369298556;0.0056357266341423;0.0054023357521172;0.0051873865470005;0.0049969039053534;0.0048323090613568;0.0046930992489994;0.0045773178602499;0.0044824385623914;0.0044052176262971;0.0043417166169318;0.0042872871803992;0.0042393532077864;0.0041954296529419;0.0041541099061206;0.0041140360300602;0.0040748137657965;0.0040365011752536;0.0039991874092927;0.0039632754745884;0.0039287968047079;0.0038957959661002;0.0038642045877472;0.0038334502518897;0.0038028749124442;0.003771747203813;0.0037401238874461;0.0037087444614686;0.0036782896171396;0.0036490072949363;0.0036202893309227;0.0035913737854997;0.0035615051403215;0.0035300618417375;0.0034975822169365;0.0034685714705375;0.0034428006950499;0.0034214970905644;0.003404937901359;0.003391260008358
129.18959229751636;5.192990595028857e-07;5.917322675312969e-07;6.458074913181527e-07;6.711679467649419e-07;6.586277644486774e-07;6.110680216904781e-07;5.402879291174382e-07;4.687954000421691e-07;4.229037259645382e-07;4.1951577501189225e-07;4.735516819082585e-07;6.005648280971705e-07;7.991645819743614e-07;1.0283167058172569e-06;1.2177934238894157e-06;1.317946460391754e-06;1.3351511960284655e-06;1.2832850401696463e-06;1.1688427590770018e-06;1.01424511717368e-06;8.35318385859656e-07;6.521730382579134e-07;5.094944948744825e-07;4.386458880268317e-07;4.2635052478450106e-07;4.223493898508655e-07;4.14565247471868e-07;4.361843076295329e-07;5.501736010222788e-07;7.568583524933285e-07;9.609890140581138e-07;1.112325316005448e-06;1.2099706443331578e-06;1.2882534757407442e-06;1.3697446870104335e-06;1.4236778501511909e-06;1.47468002595951e-06;1.6032365186527806e-06;1.898583797323588e-06;2.7234764334843163e-06;6.210145944885988e-06;1.7898568259686476e-05;5.102312393394571e-05;0.0001309014195669;0.0002839914927854;0.0005326630996523;0.0008906314424576;0.001367335415434;0.0019574089868155;0.002642786561882;0.0033837100915774;0.0041219141922581;0.0047971954143949;0.0053674471077149;0.0058030534495762;0.0060921363790066;0.0062330813579015;0.0062418662092082;0.0061449205589034;0.0059759414322544;0.0057694170804904;0.0055493899708325;0.005332407390943;0.005131220731159;0.0049528531481035;0.0047997054090105;0.0046712109448298;0.0045649994534702;0.0044779512753116;0.0044055604637968;0.0043426487635061;0.0042850504284051;0.0042312872961658;0.0041807242978619;0.0041325563578805;0.0040883626771619;0.004047921022923;0.0040111912038393;0.0039776969259349;0.0039463705297965;0.003915002043977;0.0038848360975873;0.0038543718750183;0.0038244780009554;0.0037939855562194;0.0037628207667496;0.0037311619874038;0.0036994588368087;0.0036681243562197;0.0036373425867803;0.0036067485707333;0.0035760269626254;0.0035438997628493;0.0035124667843292;0.0034824412083983;0.0034549853907517;0.0034308919823172;0.0034105250180291;0.0033939932483548;0.003381050119093
131.33142972264977;5.771639756313021e-07;7.172598561353495e-07;8.2584950312723e-07;8.906949089042089e-07;9.010883673687206e-07;8.541098052239894e-07;7.54754216857273e-07;6.356965468350583e-07;5.497462848667965e-07;5.194061593682364e-07;5.436066932673001e-07;6.145612114887755e-07;7.296069568888929e-07;8.972771689351255e-07;9.984759204068602e-07;1.0187973019542795e-06;9.72743275977452e-07;8.816496440085167e-07;7.589544746322221e-07;6.401644770745698e-07;5.16520085348617e-07;4.2426699064148273e-07;3.466747349826325e-07;3.276416226346969e-07;3.46663900719801e-07;3.542699172523257e-07;3.524847458705696e-07;3.547167474757497e-07;3.918971794294844e-07;4.995119501962124e-07;6.415906783902412e-07;7.836963638409624e-07;8.346404785799538e-07;8.516528814146733e-07;8.83676088091812e-07;9.167328419471908e-07;1.0128758234591822e-06;1.1682629929342967e-06;1.435503797473531e-06;2.115480996150954e-06;5.14254435393531e-06;1.646877705671409e-05;4.967049832997152e-05;0.0001274501789078;0.000274218242747;0.0005130798235474;0.000859170429267;0.0013215454964746;0.0018933944359867;0.0025557249211195;0.0032685439700976;0.0039781057170394;0.0046305922247843;0.0051872394563394;0.0056184348699856;0.0059118885803196;0.0060657183236865;0.006094163795078;0.0060197493746981;0.0058724515847611;0.0056824774853608;0.0054738643396631;0.0052638342851581;0.0050664508572072;0.0048901371377043;0.0047404754971257;0.0046190949386522;0.0045211678757828;0.0044406433590074;0.0043740310526584;0.0043170013478263;0.0042641538587542;0.0042116257429919;0.0041608785467871;0.0041134241648271;0.0040694796545681;0.004028780317763;0.0039905983762343;0.0039541844918568;0.0039195484310947;0.0038881246505452;0.0038587417201031;0.0038303483287807;0.0038022280646933;0.0037742255357203;0.0037458096222236;0.0037159616626481;0.0036845009238044;0.0036516083534097;0.0036180370717181;0.0035845765016965;0.0035529444629961;0.0035246422755354;0.0035014978978901;0.0034805957345594;0.0034623512656782;0.0034473217566966;0.0034348227991676;0.0034241734182802;0.0034147459127337
133.47260691138217;3.379319204993421e-07;4.733538239174345e-07;6.229371676320545e-07;7.517448238220693e-07;8.340436931426717e-07;8.577931469502638e-07;8.20506530866339e-07;7.406459852803226e-07;6.531540327402285e-07;5.808156929738803e-07;5.227051692402879e-07;4.877054828896209e-07;4.893560906436053e-07;5.054869295421588e-07;5.201324937627031e-07;5.187639299513911e-07;5.103991676940251e-07;4.621285303203301e-07;4.321618964288286e-07;4.45383760205152e-07;4.924928344174012e-07;5.216075455598671e-07;5.202611049045395e-07;5.081703672678122e-07;4.826104328602859e-07;4.419229208827498e-07;3.915690129700923e-07;3.489417683986814e-07;3.259005954558893e-07;3.311689861349973e-07;3.613043040768076e-07;3.823160459957973e-07;3.89287997780358e-07;3.962411010536529e-07;4.303260524685963e-07;5.309950176556233e-07;6.960443797753954e-07;8.87166434072494e-07;1.0823787272395403e-06;1.7183308232931065e-06;4.612212710052681e-06;1.5483216130531922e-05;4.75776422215098e-05;0.0001220120596208;0.0002636802810536;0.0004947096451564;0.0008303731083663;0.0012799758281477;0.0018369325103624;0.0024816952217119;0.0031732188536044;0.0038616960079455;0.0044988585054562;0.0050470272301575;0.0054756002174;0.0057712629350383;0.0059317509820102;0.0059705892250139;0.0059091528534431;0.0057766008630225;0.0055992400987286;0.0053990748377346;0.0051951350445192;0.0050043997273081;0.0048351571507567;0.004690767588522;0.0045717851197129;0.0044757568936036;0.004398891183645;0.0043360207104118;0.0042819178862186;0.0042330253104259;0.0041869739570109;0.0041430701349649;0.0041015055724809;0.0040619778318658;0.0040230098293602;0.0039838814605565;0.003944814708388;0.0039070820177964;0.0038720725489634;0.0038394073521367;0.0038104578067806;0.0037810004670195;0.0037516900517607;0.0037214786025967;0.0036890225929427;0.0036538611329138;0.0036161630992137;0.0035773443524438;0.0035404303487651;0.0035087789046882;0.0034844567587029;0.0034672758613808;0.0034555303124542;0.0034480676523104;0.0034422227745379;0.0034371129578073;0.0034316900337489;0.0034251058016407
135.61312380366144;3.654946287588971e-07;4.999927829851779e-07;6.5995221953714e-07;7.99624268278714e-07;8.871235466901263e-07;9.095572950366596e-07;8.711666008238754e-07;7.829870170378778e-07;6.54261642821298e-07;5.162178842773776e-07;3.791409821984021e-07;2.7730743418330306e-07;2.136663363596339e-07;2.1131593214920816e-07;2.643763050227269e-07;3.626913354499431e-07;4.5753797304503654e-07;5.391289828533816e-07;6.153436100427468e-07;6.85347221950889e-07;7.426867471042088e-07;7.549958667458646e-07;7.401134587595446e-07;6.624559259165816e-07;5.582362473108665e-07;4.772740285511911e-07;4.16144301471014e-07;3.861040170296256e-07;3.827994965973734e-07;3.990648791632817e-07;4.2385763529494644e-07;4.48509071286311e-07;4.774028687314368e-07;5.114851906008246e-07;5.635834613570947e-07;6.254577072709119e-07;7.047068560687667e-07;8.061599054080941e-07;8.795536305962718e-07;1.545230198227143e-06;4.86963624724704e-06;1.5871344082191983e-05;4.618324852384357e-05;0.0001150259750104;0.0002479378645755;0.000466834235802;0.0007880171097071;0.0012217521017556;0.001762513087708;0.0023923041932204;0.0030731727707965;0.0037568370951673;0.0043932792373054;0.004940208178557;0.0053661732538909;0.0056584266209079;0.0058153136302607;0.0058513482617883;0.0057896100294455;0.005660538278716;0.0054921442440592;0.0053080448463836;0.0051262370445389;0.0049577552930672;0.0048077847671183;0.0046761966053143;0.0045619903189009;0.0044662105926878;0.0043865857227912;0.0043197840238741;0.0042618065430309;0.0042108293907362;0.0041656541122426;0.0041252549603878;0.0040880293670079;0.00405256854283;0.0040177742953476;0.0039827528574943;0.0039474030332936;0.0039120472055363;0.0038770871647559;0.0038429312345897;0.0038093528365477;0.0037758515328999;0.0037417412595203;0.0037065894563224;0.0036699204262344;0.0036314628845684;0.0035919166636997;0.0035524482133441;0.0035153530155927;0.0034831330075761;0.0034573079583274;0.0034381334431941;0.0034258000211291;0.0034157208183207;0.0034077495552674;0.0034008275675387;0.0033942086504581;0.0033873929093182
137.7529803396901;8.297263352643528e-07;9.63034891684308e-07;1.0719526230913748e-06;1.127715619449399e-06;1.1392588915772594e-06;1.11965073370674e-06;1.0604521608983377e-06;9.8717912246115e-07;9.151350681990256e-07;8.238015192407596e-07;7.073506792787929e-07;5.860837741384463e-07;4.767219737974316e-07;3.86731280172602e-07;3.408503915345709e-07;3.586519960270743e-07;4.360457326936966e-07;5.633942132409572e-07;6.714267914577105e-07;7.643444123786197e-07;8.387770537657576e-07;8.862205081753582e-07;9.04879058578918e-07;8.526751895347786e-07;7.690042424384292e-07;6.99634945185399e-07;6.76932038491182e-07;7.100861571442134e-07;7.89111663298057e-07;8.927815303803733e-07;9.745185453623778e-07;1.0142602181028157e-06;1.0192059617742765e-06;1.010149060220151e-06;1.010336401226382e-06;1.0185084523414257e-06;1.0316997691670636e-06;1.0733182309403504e-06;1.165205243697158e-06;1.784105581070494e-06;4.948396747134712e-06;1.5656336685796993e-05;4.567696354672708e-05;0.0001117149991512;0.0002382968463182;0.0004482600798525;0.000757590926672;0.0011759905570096;0.0016992765961546;0.0023106162583391;0.0029772273985657;0.0036538197436612;0.0042900323164494;0.0048379999876977;0.0052644850172197;0.0055569926626876;0.0057149310022849;0.005753251247729;0.0056958925989717;0.0055725175965666;0.0054137357978938;0.0052440132630576;0.0050789562993461;0.0049253986515017;0.0047854189559704;0.0046596802591083;0.0045485368593515;0.0044522543017823;0.0043689700599201;0.004296933255459;0.0042344731848165;0.0041795810859959;0.00413082295056;0.0040876524483107;0.0040496059887769;0.0040150692053607;0.0039847586381295;0.0039567068531823;0.0039295851025882;0.0039020379093997;0.0038731044808703;0.0038425189602641;0.0038094352625095;0.003776366196613;0.0037430985787896;0.003709584572797;0.0036761189477143;0.0036425353700729;0.0036084873041529;0.0035738300196495;0.0035390638307982;0.003505488600279;0.0034747730518801;0.0034483485882308;0.0034266072933957;0.0034094370360987;0.0033961143901896;0.0033858248244377;0.0033778249086077;0.0033714690663367
139.8921764599363;7.828836531175099e-07;8.847416833258313e-07;9.42627359183251e-07;9.598956123704832e-07;9.670339967435131e-07;9.940765452960165e-07;1.031943295011556e-06;1.0877206579002364e-06;1.175179298863892e-06;1.2232874710228053e-06;1.2266118098650068e-06;1.158675919164993e-06;1.0220689655722462e-06;8.397974062079959e-07;6.610997964708127e-07;5.499067825806516e-07;5.310639389294478e-07;5.655165401389467e-07;6.282544714226844e-07;7.090738701451238e-07;7.949337638464595e-07;8.63452669015928e-07;8.943407805655684e-07;8.826383703213057e-07;8.59691123082747e-07;8.554885075340954e-07;9.126471330370792e-07;1.0139971310924615e-06;1.16156612343357e-06;1.31144199062834e-06;1.4127541677235064e-06;1.4349927819878236e-06;1.382729849194813e-06;1.3049677233896169e-06;1.239676397335212e-06;1.2364942756321924e-06;1.2934256929582594e-06;1.4287540884749764e-06;1.6594419960982715e-06;2.2510625164877782e-06;4.760954364699476e-06;1.4355068354874294e-05;4.407000001214158e-05;0.0001108987921591;0.0002369856876016;0.0004436711375535;0.0007463947489716;0.0011539278992052;0.0016620148181666;0.0022538609986799;0.0028994491130928;0.003556006138325;0.0041778292807431;0.0047185839911143;0.0051454529026136;0.0054451017934159;0.0056163597573957;0.0056722409147088;0.0056346508398982;0.0055294063210269;0.0053849381899662;0.0052239432166963;0.0050641590937871;0.0049127510321387;0.0047732794691467;0.0046476735416609;0.0045368252829368;0.0044396600795802;0.0043550837803482;0.0042811054251327;0.0042161056807238;0.0041580088754856;0.0041057492723371;0.0040578189988484;0.0040144486309177;0.0039759474554869;0.0039425858714595;0.0039140878328505;0.0038891983528526;0.0038659467985257;0.0038408467576928;0.0038138683350243;0.0037853582048948;0.0037558499963964;0.0037256980578335;0.0036954823463946;0.0036662492606874;0.0036376934645536;0.0036082761728165;0.0035770138711036;0.0035441983941252;0.0035107769471796;0.0034786842232757;0.0034487793503679;0.0034239152916099;0.0034059309783482;0.0033937894315264;0.0033853646517015;0.0033796146498469;0.0033755550357714
142.03071210513372;4.6930504322652766e-07;5.716226534554249e-07;6.382930978112659e-07;6.755744272610068e-07;7.068935668587763e-07;7.497173715680699e-07;7.951694274297673e-07;8.448088421068743e-07;9.099408651143916e-07;9.673710778397225e-07;9.939998345009952e-07;9.809330750227844e-07;9.328965725732748e-07;8.645913354562422e-07;8.035447853570763e-07;7.864218662166555e-07;7.964368401009538e-07;8.376375356357469e-07;8.819632637689808e-07;9.071000793939492e-07;8.973226091747405e-07;8.546020714770676e-07;7.8074101365487e-07;6.858879895012078e-07;6.110861193929986e-07;5.876031220065393e-07;6.289991511368774e-07;7.195961319493589e-07;8.297754188345924e-07;9.234975215853832e-07;9.728315588769562e-07;9.632377812641397e-07;9.063288411800116e-07;8.632590728293859e-07;8.95047010408486e-07;9.67552283093009e-07;1.060628748774049e-06;1.2072640162299309e-06;1.4405799570152178e-06;2.060357420936129e-06;4.531007004443063e-06;1.3517384399280286e-05;4.077963847218864e-05;0.0001044931630682;0.0002264901844188;0.0004272307880518;0.0007211805446574;0.0011156610344336;0.001607479975568;0.0021829880240473;0.002813637935619;0.0034535149486454;0.0040579047838595;0.004587539552136;0.0050145717362799;0.0053247527735023;0.0055132992098412;0.0055893615860327;0.005571968679598;0.0054857447108276;0.0053594179607962;0.0052121366946174;0.0050587531479612;0.0049092000993066;0.0047705029852435;0.0046454717139943;0.0045353094184158;0.0044401343470647;0.0043587471510169;0.0042883447012015;0.0042259143811139;0.0041682159859109;0.0041135454971618;0.0040610033073831;0.0040117030776174;0.0039662805714132;0.0039237657090755;0.0038868537827924;0.0038549753438272;0.0038268167250067;0.0038006626146037;0.0037752635406883;0.0037496897669338;0.0037242045853944;0.0036968002031617;0.0036676375872917;0.0036375243782629;0.0036069870594899;0.0035760207680953;0.0035445257631567;0.0035126799161144;0.003481434668061;0.0034523958834424;0.0034268719101019;0.0034052683960917;0.0033874375265623;0.0033727162443881;0.0033607226855492;0.0033511143432582;0.0033435882594507
144.16858721627432;8.666564802397186e-07;8.957658437895404e-07;9.09312718728588e-07;9.113562409938556e-07;9.047682492832284e-07;8.887839089649831e-07;8.541348312841496e-07;7.966334117296892e-07;7.284746866963976e-07;6.812916514110899e-07;6.307058310700635e-07;6.002095450672379e-07;6.034025664769788e-07;6.440103770090226e-07;7.251571555557372e-07;8.343627336760505e-07;9.565505247568027e-07;1.0754008527535995e-06;1.1493967848144772e-06;1.1564953859613783e-06;1.088222902397172e-06;9.663206996869496e-07;8.03661568431565e-07;6.325534530030425e-07;4.733510171891468e-07;3.74790750918016e-07;3.186827187798417e-07;3.106139209831317e-07;3.1754427278159177e-07;3.230265516929954e-07;3.1660333115531257e-07;2.940347606066468e-07;2.683949116003143e-07;2.914726090902205e-07;4.045446174934496e-07;5.375838900436357e-07;6.285390622154339e-07;7.298411374169628e-07;9.24973747338522e-07;1.560059855332918e-06;4.144327181513937e-06;1.2599948569209572e-05;3.718209892961304e-05;9.659851904151016e-05;0.0002135753296026;0.0004074880878427;0.0006900449700438;0.0010705788601046;0.0015468362139718;0.0021079600960164;0.0027260643308921;0.0033542816913303;0.0039477716283891;0.0044719681113833;0.0049012647816494;0.0052196588182592;0.0054195361587204;0.0055081768579272;0.0055028619323622;0.0054281742958429;0.0053126034118003;0.0051719686820492;0.0050188509750286;0.0048693125178917;0.0047328583971148;0.0046125535082121;0.0045089127805275;0.0044221925726027;0.0043503259559521;0.0042890700629499;0.0042336245416583;0.0041807150733843;0.0041304121334301;0.0040806390888888;0.0040313905025169;0.003983257244919;0.0039376350993808;0.0038957434360452;0.0038581592368664;0.0038248573782928;0.0037953137050913;0.0037686565231533;0.003743516947313;0.0037180751617477;0.0036906398836763;0.0036602798230422;0.0036274081810603;0.0035936745192854;0.003560408420112;0.0035285022725194;0.0034983913369719;0.0034703247100933;0.0034444309337273;0.0034202671883833;0.0033972254816987;0.0033738629654346;0.0033502510065679;0.0033284362968166;0.0033095912748857;0.0032946518262128
