FileName	di-n-butyl phthalate_31
MeasName	31
UserNotes_MeasName	
UserNotes_SampleName	
Timestamp	2023-11-27T20:53:53Z
VirtualGateStart	NaN
VirtualGateEnd	NaN
HwSerial	2022091501
HwModel	M3.1
SpectralAxis	Raman shift (1/cm)
TimeAxis	Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [622.7995276418224, 1004.383987706191, 1033.896377865036, 1604.750144598016]"
Calibration Delta: -2.6549559297583505
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.355389363412677;5.36912563675346;5.382861910094244;5.396598183435027;5.410334456775811;5.424070730116594;5.437807003457378;5.451543276798162;5.465279550138946;5.479015823479729;5.492752096820513;5.506488370161296;5.52022464350208;5.533960916842863;5.547697190183647;5.561433463524431;5.575169736865215;5.588906010205998;5.602642283546782;5.6163785568875655;5.630114830228349;5.6438511035691326;5.657587376909916;5.6713236502507005;5.685059923591484;5.698796196932268;5.712532470273051;5.726268743613835;5.740005016954618;5.753741290295402;5.767477563636186;5.78121383697697;5.794950110317753;5.808686383658537;5.82242265699932;5.836158930340104;5.849895203680887;5.863631477021672;5.877367750362454;5.891104023703239;5.904840297044022;5.918576570384806;5.932312843725589;5.946049117066373;5.9597853904071565;5.97352166374794;5.9872579370887244;6.000994210429508;6.0147304837702915;6.028466757111075;6.042203030451859;6.055939303792642;6.069675577133426;6.08341185047421;6.097148123814994;6.110884397155777;6.124620670496561;6.138356943837344;6.152093217178128;6.165829490518911;6.179565763859696;6.193302037200478;6.207038310541263;6.220774583882046;6.23451085722283;6.248247130563613;6.261983403904397;6.275719677245181;6.289455950585964;6.303192223926748;6.316928497267531;6.3306647706083155;6.344401043949099;6.3581373172898825;6.371873590630666;6.38560986397145;6.399346137312234;6.413082410653017;6.426818683993801;6.440554957334585;6.454291230675368;6.468027504016152;6.481763777356935;6.49550005069772;6.509236324038502;6.522972597379287;6.53670887072007;6.550445144060854;6.564181417401637;6.577917690742421;6.591653964083205;6.605390237423988;6.619126510764772;6.632862784105556;6.646599057446339;6.660335330787123;6.6740716041279065;6.68780787746869;6.7015441508094735;6.715280424150258
126.1027945841888;1.1589099149429615e-06;1.141704314355483e-06;1.1244987137680046e-06;1.200881736455347e-06;1.9791164987893387e-06;2.9749123621469944e-06;3.976676077452333e-06;1.9324387557281535e-05;5.610650020677314e-05;9.288861285626474e-05;0.0001340306738305;0.000223379209426;0.000344437111189;0.000465495012952;0.0005651450457665;0.0006050567367109;0.0006284849515039;0.0006383743303309;0.0005963025219848;0.0005095388978707;0.0004227752737566;0.0003366552515604;0.000275581281555;0.0002168114939196;0.0001607691910904;0.0001257803870185;0.0001050847620562;8.43891370939859e-05;6.80814866337323e-05;5.969606641881011e-05;5.431560428766817e-05;4.893247611333937e-05;4.485748388717007e-05;4.267272036444797e-05;4.074229137488381e-05;3.904780396768172e-05;3.791970607379648e-05;3.621839407901839e-05;3.453347977192017e-05;3.274840108024252e-05;3.0743424485615285e-05;2.872843357267757e-05;2.6717396860009592e-05;2.58138703097768e-05;2.7048223364001875e-05;2.828257641822697e-05;2.9429582488820702e-05;2.965392191860194e-05;2.9006337870397943e-05;2.8400532743083564e-05;2.734157982621112e-05;2.611676353126894e-05;2.4878420225900184e-05;2.3754614265813856e-05;2.3401394473742915e-05;2.4226532393438127e-05;2.505167031313336e-05;2.5614758595735527e-05;2.465302140298314e-05;2.317548909407616e-05;2.161374121456612e-05;2.070625693173153e-05;2.019883684494985e-05;1.975889068438694e-05;1.930649083906653e-05;1.957067191985442e-05;2.084697793798245e-05;2.215017049869209e-05;2.328170566978595e-05;2.0836075323652773e-05;1.83904449775196e-05;1.559533404555567e-05;1.4520271007716514e-05;1.5506646487961045e-05;1.6507684263829537e-05;1.7388925472607505e-05;1.7026804003764457e-05;1.5832788947046826e-05;1.4914031635398214e-05;1.4495884497496364e-05;1.515516533415604e-05;1.563710662371665e-05;1.573409466085248e-05;1.5386096497837307e-05;1.4315446600885807e-05;1.336482351760894e-05;1.2264836186210248e-05;1.2678996412469305e-05;1.3469843873802692e-05;1.4438293273551794e-05;1.3670394342062322e-05;1.1951211126759624e-05;1.0205708909041415e-05;8.758633223412924e-06;9.388895861023787e-06;1.0019158498634644e-05;1.0453361549498486e-05;1.0673206213107751e-05;9.909967308446427e-06;9.24190855895216e-06
128.25674194739986;5.405430966098626e-07;5.767349542868134e-07;6.129268119637643e-07;8.033864108646898e-07;1.3979676548458738e-06;2.0904251420538297e-06;2.8027208650511414e-06;2.207405057096176e-05;5.381056495570952e-05;8.554707934045727e-05;0.0001317768626023;0.0002309489084046;0.0003470774755411;0.0004632060426776;0.0005430963818823;0.0005833030975286;0.0006151659914187;0.0006262850432708;0.0005698434664148;0.0004897617207578;0.0004096799751009;0.0003324908101716;0.0002690044540872;0.0002066944024428;0.0001513849995533;0.0001219673559383;0.0001009607960282;7.995423611820645e-05;6.691837957392298e-05;5.999964123190042e-05;5.474306430648369e-05;4.947762496393109e-05;4.567179811625433e-05;4.277824203412107e-05;4.001323294438093e-05;3.794947950176978e-05;3.671756172315766e-05;3.521331651451768e-05;3.3763580230939015e-05;3.230777398891374e-05;3.0756503073285e-05;2.926263876113855e-05;2.778191893682403e-05;2.747470294791921e-05;2.804810045262254e-05;2.862149795732588e-05;2.846999209084148e-05;2.8057209613262294e-05;2.727695073803137e-05;2.6753136112504232e-05;2.5899266781787024e-05;2.491869989966896e-05;2.3932047495109544e-05;2.313064998109008e-05;2.309921766424896e-05;2.3600802036890868e-05;2.4102386409532783e-05;2.443007239500353e-05;2.3283329302633092e-05;2.190454064694096e-05;2.0245803969514227e-05;1.92782485703182e-05;1.866759563524832e-05;1.8087297825166223e-05;1.751994109499041e-05;1.7412025830670263e-05;1.7841041559622342e-05;1.8359433093465315e-05;1.926633066401179e-05;1.8495573233274557e-05;1.7724815802537315e-05;1.6366221756332192e-05;1.5444654494312492e-05;1.554083481063717e-05;1.5685755290148048e-05;1.5789979392830864e-05;1.5261822187997387e-05;1.4338005270560226e-05;1.42537767156525e-05;1.495264601502442e-05;1.6188134405308306e-05;1.683494707756342e-05;1.6026141400881793e-05;1.5092590611501265e-05;1.3836554951959164e-05;1.2979510462371864e-05;1.2078986638073698e-05;1.1753709547685454e-05;1.1586155562157296e-05;1.2068654404801438e-05;1.1829378055202232e-05;1.1232575308299555e-05;1.0548283364239052e-05;9.86055397439747e-06;1.0252824131810095e-05;1.0614636658282477e-05;1.0324711114717416e-05;9.955176622276389e-06;9.225089233618588e-06;8.81139815928373e-06
130.40997601856725;1.5606771443311596e-07;2.446039569345689e-07;3.3017941199709986e-07;5.467852385799338e-07;9.62521504746021e-07;1.3989069266282365e-06;2.2627957763893837e-06;2.126627445603036e-05;4.765233894839673e-05;7.421712513358669e-05;0.0001271449878227;0.0002264433802611;0.0003349324072556;0.0004430537309861;0.000513867897185;0.0005537748002815;0.0005881837908718;0.0005987392240188;0.0005417918676024;0.0004656264046355;0.0003885193337156;0.0003159406591193;0.0002532070926999;0.0001915397324314;0.0001421188457185;0.0001129809561746;9.359360601316486e-05;7.455716845207484e-05;6.466016883942586e-05;5.847394631161458e-05;5.3887792568156966e-05;4.950405961339699e-05;4.577003078463421e-05;4.247544328221106e-05;3.935728887732336e-05;3.736182411085434e-05;3.5972153838121855e-05;3.446684591195532e-05;3.31419319734119e-05;3.200870290998259e-05;3.136485918384884e-05;3.092496835207831e-05;3.0276052005353125e-05;3.027125687649938e-05;3.001509313475319e-05;2.9896251516791907e-05;2.850114709202246e-05;2.737203293756659e-05;2.6265184504993508e-05;2.550782194753094e-05;2.48277300842947e-05;2.3911211483240017e-05;2.300439132725333e-05;2.2415596151905064e-05;2.231801106363721e-05;2.2344546088594176e-05;2.2345297215090915e-05;2.240804970978004e-05;2.159311853765545e-05;2.0729232227774257e-05;1.9432925583260264e-05;1.8349753394945693e-05;1.7351499308626912e-05;1.6378342118126053e-05;1.5486926340681303e-05;1.534504481869584e-05;1.564499194727557e-05;1.6087572719659458e-05;1.7001300730615522e-05;1.67824413946771e-05;1.656458059397953e-05;1.57866682762462e-05;1.5032583576936766e-05;1.4857006836853256e-05;1.4690748008224312e-05;1.4579683685721035e-05;1.4051105781972093e-05;1.335285515760484e-05;1.3977961398271376e-05;1.5350915779893955e-05;1.7046084192794777e-05;1.7890512277742226e-05;1.6417401426420153e-05;1.4964902670322537e-05;1.3442654020090214e-05;1.2448635561819002e-05;1.164664499173048e-05;1.0726260424942564e-05;9.853890981050336e-06;1.0090940122440205e-05;1.0602378150259637e-05;1.1322002732341442e-05;1.1811205470388871e-05;1.1834084982868413e-05;1.1849559464250524e-05;1.1733585479762056e-05;1.056459314123694e-05;9.369973646061376e-06;8.292357310790094e-06;7.795572411419802e-06
132.5624968877928;2.314815986661951e-07;4.332386339259425e-07;6.217263404810793e-07;8.07775921568875e-07;1.1374619116806042e-06;1.4671479017923323e-06;3.658795285801246e-06;1.992545395140326e-05;4.292113450381704e-05;6.67177901135907e-05;0.0001240043967762;0.0002146718744236;0.0003138801834824;0.0004105275929323;0.0004842777849213;0.0005262107431721;0.0005616585666318;0.0005611385129435;0.0005165017191398;0.0004471731518663;0.000373624590521;0.0003016226416918;0.0002397392774234;0.000179977139965;0.0001380887984486;0.0001063248209824;8.8400119837483e-05;7.204809985817525e-05;6.303041794021954e-05;5.614178023082312e-05;5.142098388286647e-05;4.7651938262918425e-05;4.395136710191355e-05;4.0678812789453776e-05;3.791919987321511e-05;3.629601292283348e-05;3.488163704591415e-05;3.336630540535413e-05;3.232425194974115e-05;3.146534826396048e-05;3.1604283925274606e-05;3.19183018363149e-05;3.1203222752920234e-05;3.057062331969906e-05;2.9154196283417392e-05;2.835320430841816e-05;2.7161028468924107e-05;2.65606915359121e-05;2.6133506128382927e-05;2.547722584011282e-05;2.472276632670768e-05;2.3600156003072345e-05;2.25267650250262e-05;2.220217759901505e-05;2.207239752283787e-05;2.196286348842077e-05;2.17143102620124e-05;2.128640809022911e-05;2.045424107792239e-05;1.962207406561568e-05;1.8609208858585436e-05;1.7547990494650648e-05;1.6342153597674703e-05;1.522009207022762e-05;1.4295623110443522e-05;1.4518433328772244e-05;1.531131508310273e-05;1.6142628977764968e-05;1.7067996034450872e-05;1.6526774455200505e-05;1.59900280004254e-05;1.5387587763643722e-05;1.4992978136793146e-05;1.5229585965598112e-05;1.5190179548945433e-05;1.4845677225406482e-05;1.4010507828703524e-05;1.3025772951092917e-05;1.3121058078400022e-05;1.3609669463173024e-05;1.4460922375111178e-05;1.5050596629672564e-05;1.4243015927773332e-05;1.3434617312783646e-05;1.2589546079207075e-05;1.1764855352373168e-05;1.1267176266475283e-05;1.039637565377706e-05;9.7214771061148e-06;9.93696985522515e-06;1.0646142831577469e-05;1.1847417613676684e-05;1.2508127550437168e-05;1.2636966600946393e-05;1.2169180559851248e-05;1.1477917061242809e-05;1.009845329005754e-05;8.800041859067423e-06;7.805418143739405e-06;7.502247238598713e-06
134.71430464520017;4.523416832218525e-07;6.6994317358081e-07;8.656672394565644e-07;1.0022711075103677e-06;1.3601491737818566e-06;1.78377179404208e-06;5.437103681137771e-06;1.9525362672739154e-05;3.912858316220387e-05;6.0427438731867245e-05;0.0001255980035709;0.0002104799665827;0.000301922349041;0.0003865561131518;0.0004550289278613;0.0005022759582184;0.0005448752644845;0.0005299884859346;0.0004869937984984;0.0004257968147252;0.0003576422369636;0.0002884985517526;0.0002258778757198;0.0001664130257504;0.0001310457011048;0.0001024427603288;8.339825319317189e-05;6.70387677208414e-05;5.830001948442943e-05;5.168701961086436e-05;4.675920163282292e-05;4.338707943937251e-05;3.985587680673235e-05;3.669783216139828e-05;3.4282747867864765e-05;3.3324596393477065e-05;3.248239445488425e-05;3.1563590783313535e-05;3.133488258617143e-05;3.1120836487574486e-05;3.159876887790367e-05;3.191739573070481e-05;3.0485052073867872e-05;2.885047154964502e-05;2.6735154605005123e-05;2.563451853663623e-05;2.5265300743410504e-05;2.5380352885035105e-05;2.5593176973022425e-05;2.5004834502236657e-05;2.3935980408741923e-05;2.2685022907341243e-05;2.151521438794339e-05;2.155367165696316e-05;2.1633931439401117e-05;2.170104433000694e-05;2.1472481199672997e-05;2.0582688876040643e-05;1.9484536440197864e-05;1.838430136440169e-05;1.755083588718257e-05;1.685588863394272e-05;1.6131243363353434e-05;1.554472032646718e-05;1.529640071670753e-05;1.5827003027104157e-05;1.6748570294977058e-05;1.7440517158238023e-05;1.7694536776972592e-05;1.683237264995015e-05;1.5977586755839106e-05;1.5696715186664086e-05;1.570711377564278e-05;1.6117702415040932e-05;1.594140561716779e-05;1.4950778897868948e-05;1.375123837243578e-05;1.2460981797197452e-05;1.204829454618282e-05;1.188151846621001e-05;1.1935255523008838e-05;1.234626024901942e-05;1.2043146502585213e-05;1.158346590942007e-05;1.1036845673000837e-05;1.0165328188176036e-05;1.0033411643792e-05;9.715424109965438e-06;9.805910823311098e-06;1.0364331386692551e-05;1.101940151306498e-05;1.1951088597701102e-05;1.2006338574365092e-05;1.1504635573213552e-05;1.0655935793193334e-05;9.660552021867335e-06;8.675302368064825e-06;7.879102710733107e-06;7.273792562114141e-06;7.381095185969343e-06
136.86539938092028;4.435085938675509e-07;5.437883643600466e-07;6.598591134630449e-07;8.402641474259564e-07;1.5040449121373117e-06;2.542057117364239e-06;6.108285541523637e-06;1.7582761037792523e-05;3.739396702970653e-05;6.160669589515603e-05;0.0001247804611627;0.0002019600188388;0.0002872716494326;0.0003644179898752;0.0004269830867977;0.0004714031697036;0.0005103944911069;0.0004950038155772;0.0004545211398369;0.0003962389625278;0.0003327125548958;0.0002690813588525;0.0002103329280674;0.0001564613693391;0.0001225618341121;9.648866428235472e-05;7.75073110655992e-05;6.131467636208994e-05;5.236709202771369e-05;4.650380649068261e-05;4.2671681128105895e-05;3.9841484241348416e-05;3.658698258596851e-05;3.3899654656385994e-05;3.1759168970443416e-05;3.1245526836193706e-05;3.084680466611237e-05;3.035722677106708e-05;3.0088731194573307e-05;2.96750071370426e-05;2.9710107128688057e-05;2.959490454986928e-05;2.8399300988174184e-05;2.6892338607378467e-05;2.52721523973128e-05;2.426706165203183e-05;2.401483266485509e-05;2.3923913712633503e-05;2.3843036463210207e-05;2.3288173665017017e-05;2.2385933211972003e-05;2.1651901699637672e-05;2.08464363348692e-05;2.0919745265632773e-05;2.0845205872864083e-05;2.072427680527257e-05;2.0389404573544507e-05;1.939019815606702e-05;1.8132153280561755e-05;1.6870257728337698e-05;1.611701535437965e-05;1.575732209027105e-05;1.5714708789652397e-05;1.564287555584208e-05;1.5879000349543255e-05;1.6631599890671088e-05;1.7726216255222984e-05;1.8416496083849592e-05;1.826870515029834e-05;1.699088097202638e-05;1.5817401926861925e-05;1.546900863610275e-05;1.543472352612848e-05;1.5435513668342433e-05;1.4797331814219634e-05;1.3453846981678894e-05;1.243994166257444e-05;1.15656353850349e-05;1.1448863783296186e-05;1.162324908042604e-05;1.1846090713522753e-05;1.231076069682137e-05;1.1735584960879882e-05;1.0735253909101652e-05;9.708225385527368e-06;8.784035486995667e-06;9.029225337821066e-06;9.367221730304976e-06;9.95253654000173e-06;1.0594929977434942e-05;1.090803648010071e-05;1.1109144441954704e-05;1.056840284302658e-05;9.49622095538896e-06;8.534261918140466e-06;7.608238258756133e-06;7.2326544034851645e-06;7.123913615198578e-06;7.121330037106942e-06;7.535958854235266e-06
139.01578118509497;2.794844605921148e-07;2.660735851494141e-07;3.799411839425987e-07;6.279571170855848e-07;1.53652129888152e-06;3.293448405061656e-06;6.926182408950991e-06;1.477567413164592e-05;3.573651521819713e-05;6.825079274502734e-05;0.0001206317390459;0.0001847323483486;0.0002607485473964;0.0003333299756873;0.0003978935663065;0.0004371828936487;0.0004651446150666;0.000455026495043;0.000425119306986;0.0003703153597768;0.0003099794962022;0.0002485291576848;0.0001945800242459;0.0001484395338321;0.0001164802083201;8.943256923131888e-05;7.169644371027692e-05;5.859167480313777e-05;4.910934854052881e-05;4.285928454507724e-05;3.975504396175153e-05;3.727109506626082e-05;3.448940465526513e-05;3.260623782475139e-05;3.134831282813476e-05;3.1122636061070585e-05;3.086703718555305e-05;3.04903375839564e-05;2.945244883204176e-05;2.830297007712722e-05;2.749121805021587e-05;2.6802480526060994e-05;2.602167468085774e-05;2.520670437577269e-05;2.443890205790162e-05;2.3806899897903244e-05;2.343122829337878e-05;2.2804275866752304e-05;2.2209351992890808e-05;2.1736570374085988e-05;2.139901343014148e-05;2.145355754395303e-05;2.0978353859345825e-05;2.07926754250544e-05;2.0068489358283027e-05;1.9446949425258105e-05;1.903053849842928e-05;1.8346134777713943e-05;1.732181954374251e-05;1.6306688972239346e-05;1.560154219734916e-05;1.5335045373462635e-05;1.5555651989080146e-05;1.528854160311488e-05;1.5154418422777296e-05;1.560541729621639e-05;1.6669593950998796e-05;1.760219513673844e-05;1.787197962962395e-05;1.6615320805971736e-05;1.5807246843702067e-05;1.5452881851034765e-05;1.53600079574382e-05;1.4818204359106856e-05;1.3353285185777971e-05;1.167139617271142e-05;1.0754019977733646e-05;1.0552999331372172e-05;1.0837874706473151e-05;1.1281035029943414e-05;1.1646803736895006e-05;1.1857918480781684e-05;1.134810160125642e-05;1.0303556331171683e-05;9.434127673791928e-06;9.002569955691607e-06;9.324081491528927e-06;9.878489283359731e-06;1.0415426115978324e-05;1.0880722967472016e-05;1.088831621025878e-05;1.0397822203590368e-05;9.41963250113086e-06;8.252236798128623e-06;7.384862614768536e-06;6.847817039132157e-06;6.792913108443862e-06;6.93882547493301e-06;7.222686942112953e-06;7.713711039976623e-06
141.1654501478988;2.634826825373331e-07;2.0623007957438425e-07;3.637057176149698e-07;6.757730407016055e-07;1.5218801129840416e-06;3.277125282243709e-06;7.050390007424469e-06;1.452932585061958e-05;3.309219319604116e-05;6.752060423234804e-05;0.0001101237353424;0.0001696957174326;0.0002378336179413;0.0003067477822265;0.0003704101866712;0.000408379547495;0.0004331734591717;0.0004268982486251;0.0003964713350152;0.0003465503572371;0.0002890612403405;0.0002285816742425;0.0001789401660112;0.0001365481921433;0.000107686286609;8.261338335448229e-05;6.592810844159655e-05;5.5590780928627673e-05;4.624464561922224e-05;4.066481223305911e-05;3.758812223209057e-05;3.523493920678807e-05;3.29145317815057e-05;3.138605051083673e-05;3.0735060950323445e-05;3.066858865256583e-05;3.069695304253123e-05;3.0728210470964856e-05;2.9549770683169403e-05;2.8258747065919868e-05;2.6490204776527985e-05;2.4992990709098716e-05;2.381572194254992e-05;2.331170361632084e-05;2.305913154360884e-05;2.28040501733241e-05;2.246377589162772e-05;2.171162333905851e-05;2.106810595013011e-05;2.082365237303701e-05;2.1064213349693357e-05;2.161542166026525e-05;2.1275116722127388e-05;2.0930458671177907e-05;1.9479278711788343e-05;1.839313995630749e-05;1.783762360002565e-05;1.7478396105406112e-05;1.704409034836141e-05;1.6640965543630448e-05;1.6299103493507544e-05;1.624205413487588e-05;1.636936479557572e-05;1.566174682555773e-05;1.4957766223017573e-05;1.4561378993690208e-05;1.482788162137473e-05;1.5261061987420268e-05;1.557870019676871e-05;1.5003657424959988e-05;1.5166559749535604e-05;1.5314070137407048e-05;1.5418799457416517e-05;1.4640932291505055e-05;1.2616693713559056e-05;1.0838977775867034e-05;9.958108407778207e-06;1.0258309670077132e-05;1.078065403421726e-05;1.11348816411646e-05;1.1165987604898615e-05;1.0835432487491738e-05;1.0444014605827934e-05;9.756762525548244e-06;9.372689265574823e-06;9.432594206898228e-06;9.563331987917588e-06;9.886913338038744e-06;1.010195458511598e-05;1.0320199569749538e-05;1.0328153674125324e-05;9.753515939213298e-06;8.780273799331532e-06;7.911821606232563e-06;7.126260116083757e-06;6.874240001338601e-06;6.8093353462836615e-06;6.747610175909894e-06;6.788762897547292e-06;7.029118557788166e-06
143.3144063595064;2.796854170452541e-07;2.3835887770350766e-07;3.272716000365684e-07;6.084842535641785e-07;1.3994206810720783e-06;2.656359832086039e-06;5.097340425203809e-06;1.538341319266263e-05;3.37267949560279e-05;6.104867300073612e-05;9.271307379052232e-05;0.0001560202661447;0.0002234459954019;0.0002918706980774;0.0003513898057435;0.0003807895938178;0.0004034254212879;0.0004054212288926;0.0003691822225385;0.0003206024227614;0.0002674323145719;0.0002117555294194;0.0001685730431855;0.0001286265776277;9.78209683892753e-05;7.713352575849274e-05;6.283496367272272e-05;5.222835747953398e-05;4.249528615127847e-05;3.830168635489317e-05;3.52675136418106e-05;3.267761279734417e-05;3.051764578384455e-05;2.9030093861224516e-05;2.8074551951594933e-05;2.7678629617585436e-05;2.786536026917158e-05;2.821907777577126e-05;2.784265976516599e-05;2.7109948641377204e-05;2.5147824315810423e-05;2.3338080872361216e-05;2.177239337512372e-05;2.145814109066376e-05;2.1565517129237023e-05;2.1671371201898094e-05;2.1448416037695395e-05;2.0719251018140186e-05;2.0068433691424243e-05;1.970777214082418e-05;2.02022900393678e-05;2.092413283904529e-05;2.1105245519840304e-05;2.103948222357516e-05;1.931756437881417e-05;1.7860745516250115e-05;1.673999690711046e-05;1.6560833094311216e-05;1.67248360790945e-05;1.691132982984228e-05;1.7014533959718495e-05;1.660474274158081e-05;1.6190985012867647e-05;1.5270817470952222e-05;1.4468245807881148e-05;1.3637166201821374e-05;1.3130484838468331e-05;1.2733082465585243e-05;1.294203235627044e-05;1.31571174504883e-05;1.381978887084785e-05;1.3968389133406276e-05;1.3451070305017185e-05;1.2353923952638073e-05;1.0579181233565766e-05;9.871312004509218e-06;1.0137468823488863e-05;1.1119981191084815e-05;1.1884064695941795e-05;1.187566315147735e-05;1.135506016784498e-05;1.061509865007584e-05;1.0391185922546143e-05;1.0180206812527796e-05;1.0062463940746597e-05;1.0089868758920828e-05;9.606685866617922e-06;9.294164909838671e-06;8.952921337719103e-06;8.683892894009714e-06;8.451312110423446e-06;8.018821378599076e-06;7.437578555085962e-06;7.304219423230893e-06;7.025997852654974e-06;7.046638154724669e-06;6.88644288398089e-06;6.494829767051289e-06;6.086138794067092e-06;5.7931194457473005e-06
