FileName	di-n-butyl maleate_36
MeasName	36
UserNotes_MeasName	
UserNotes_SampleName	
Timestamp	2023-11-13T17:28:27Z
VirtualGateStart	NaN
VirtualGateEnd	NaN
HwSerial	2022091501
HwModel	M3.1
SpectralAxis	Raman shift (1/cm)
TimeAxis	Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [622.7995276418224, 1004.383987706191, 1033.896377865036, 1604.750144598016]"
Calibration Delta: -2.6549559297583505
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.355389363412677;5.36912563675346;5.382861910094244;5.396598183435027;5.410334456775811;5.424070730116594;5.437807003457378;5.451543276798162;5.465279550138946;5.479015823479729;5.492752096820513;5.506488370161296;5.52022464350208;5.533960916842863;5.547697190183647;5.561433463524431;5.575169736865215;5.588906010205998;5.602642283546782;5.6163785568875655;5.630114830228349;5.6438511035691326;5.657587376909916;5.6713236502507005;5.685059923591484;5.698796196932268;5.712532470273051;5.726268743613835;5.740005016954618;5.753741290295402;5.767477563636186;5.78121383697697;5.794950110317753;5.808686383658537;5.82242265699932;5.836158930340104;5.849895203680887;5.863631477021672;5.877367750362454;5.891104023703239;5.904840297044022;5.918576570384806;5.932312843725589;5.946049117066373;5.9597853904071565;5.97352166374794;5.9872579370887244;6.000994210429508;6.0147304837702915;6.028466757111075;6.042203030451859;6.055939303792642;6.069675577133426;6.08341185047421;6.097148123814994;6.110884397155777;6.124620670496561;6.138356943837344;6.152093217178128;6.165829490518911;6.179565763859696;6.193302037200478;6.207038310541263;6.220774583882046;6.23451085722283;6.248247130563613;6.261983403904397;6.275719677245181;6.289455950585964;6.303192223926748;6.316928497267531;6.3306647706083155;6.344401043949099;6.3581373172898825;6.371873590630666;6.38560986397145;6.399346137312234;6.413082410653017;6.426818683993801;6.440554957334585;6.454291230675368;6.468027504016152;6.481763777356935;6.49550005069772;6.509236324038502;6.522972597379287;6.53670887072007;6.550445144060854;6.564181417401637;6.577917690742421;6.591653964083205;6.605390237423988;6.619126510764772;6.632862784105556;6.646599057446339;6.660335330787123;6.6740716041279065;6.68780787746869;6.7015441508094735;6.715280424150258
126.1027945841888;1.0560653934204992e-06;7.489527953468982e-07;4.418401972732972e-07;7.32143925072497e-07;3.984400196982737e-06;8.083277508488838e-06;1.2196890631014371e-05;4.8411839953822094e-05;0.0001345925641879;0.0002207732884221;0.0003119988246938;0.0004471947660177;0.0006058299606842;0.0007644651553508;0.0008856561913309;0.0009063166995197;0.0008995035525219;0.0008732895676002;0.0007782444778257;0.0006325932447389;0.0004869420116522;0.0003573048036702;0.0002876221180459;0.0002230321861314;0.0001617419661329;0.0001279184871967;0.0001083819696653;8.884545213396512e-05;7.429515380700769e-05;6.982787903671868e-05;6.957755707038094e-05;6.93026126223528e-05;6.833137506807041e-05;6.58150876968328e-05;6.309082438936325e-05;6.0848967802415456e-05;5.90962732752444e-05;5.788328599410006e-05;5.665932535420748e-05;5.58542924735442e-05;5.493712979884246e-05;5.3827976165415656e-05;5.266938979138424e-05;4.988367443387058e-05;4.582849574720168e-05;4.177331706053273e-05;3.856705989086154e-05;3.891239024221743e-05;4.172011672310772e-05;4.438226585614424e-05;4.657545479162216e-05;4.536278381467747e-05;4.38723474679264e-05;4.232627991580961e-05;4.056555244149085e-05;3.899224156817002e-05;3.7418930694849184e-05;3.6066448015844336e-05;3.4983281047160154e-05;3.404601393963699e-05;3.320739905024547e-05;3.305329231486719e-05;3.302632146500558e-05;3.294593052762456e-05;3.2231424841034745e-05;3.11357676914119e-05;3.0494719125813947e-05;2.995231246169961e-05;2.9716677966206915e-05;2.855085129551467e-05;2.738502462482244e-05;2.62257643714242e-05;2.659562568428409e-05;2.8198805770543326e-05;2.977395095410702e-05;3.111888726115229e-05;3.144790449315109e-05;3.109712875508277e-05;3.085296067745211e-05;3.079489060986714e-05;3.164522928268931e-05;3.2457402778439905e-05;3.316243460359407e-05;3.339932634895825e-05;3.30207614790408e-05;3.276121603963714e-05;3.2029312627267594e-05;3.00209485946262e-05;2.775058585670509e-05;2.5637068005865352e-05;2.3938303190809407e-05;2.2513077066666145e-05;2.0983287245534262e-05;1.974895323721673e-05;2.16321692317103e-05;2.351538522620384e-05;2.5639485145868587e-05;2.6575282240998533e-05;2.4965763122607683e-05;2.3374468773628385e-05
128.25674194739986;5.56533987301978e-07;4.403577260643624e-07;3.241814648267467e-07;1.106424045213044e-06;3.832020562920234e-06;6.938494390047611e-06;1.0093952759035872e-05;5.5077769227632615e-05;0.0001286302917701;0.0002021828143127;0.0002925052184798;0.0004356621193017;0.0005921453585644;0.0007486285978272;0.0008420714651634;0.0008678293487055;0.0008796045302037;0.000861845142578;0.0007508260407959;0.0006123307954983;0.0004738355502007;0.0003619687879771;0.0002879707070296;0.0002166737916357;0.0001534124503627;0.0001242585276627;0.0001040162648371;8.377400201159514e-05;7.367885386482591e-05;7.092559459659691e-05;7.041876765044595e-05;6.983009105357039e-05;6.709596231605797e-05;6.384800545109253e-05;6.0548303253259706e-05;5.880722048022915e-05;5.771919241302965e-05;5.666718588763073e-05;5.557870190264372e-05;5.492461509464089e-05;5.4615678529950594e-05;5.420979924450182e-05;5.36395964516293e-05;5.091873882518501e-05;4.758761530565955e-05;4.425649178613404e-05;4.234885636147326e-05;4.2733022928067104e-05;4.4299733843179566e-05;4.545229981424117e-05;4.567202713940545e-05;4.410697363218775e-05;4.241695922540105e-05;4.065453661291843e-05;3.874136362421597e-05;3.70030483365963e-05;3.5264733048976616e-05;3.4190373884645645e-05;3.336193031595726e-05;3.259912407963462e-05;3.216425593252673e-05;3.2651102874944304e-05;3.326103813867572e-05;3.384694080901318e-05;3.3117710508945456e-05;3.154251892458533e-05;3.01733976011684e-05;2.913218007253361e-05;2.898734017681336e-05;2.871680104761953e-05;2.8446261918425704e-05;2.793716435412206e-05;2.822153995681047e-05;2.893405507840331e-05;2.9553377035205516e-05;2.968887777733556e-05;2.9454260423385215e-05;2.8941035004623586e-05;2.8757394570968346e-05;2.88587513003669e-05;2.933859940002937e-05;2.969109477190173e-05;2.970061548586188e-05;2.9484161536149455e-05;2.8966626926693888e-05;2.8844734760574192e-05;2.828320649623693e-05;2.6946751579211948e-05;2.5477555744887006e-05;2.454779144807695e-05;2.400674611175707e-05;2.370650879398614e-05;2.305868254571688e-05;2.156395673937797e-05;2.185492770107125e-05;2.210789014547907e-05;2.316159499222961e-05;2.337080485102939e-05;2.23103763171231e-05;2.1310530263473072e-05
130.40997601856725;3.75512322946588e-07;3.688575281634481e-07;3.5813072690974375e-07;1.131266003047202e-06;3.2155178387613493e-06;5.380124156949198e-06;8.582830448430871e-06;5.33820450539356e-05;0.0001144742854294;0.0001758128748108;0.0002684899673097;0.0004102228969531;0.0005606332968673;0.0007099895615205;0.0007938800463852;0.0008240745069454;0.0008447844867327;0.0008309192457271;0.0007230437571587;0.0005904087522573;0.0004586984828715;0.0003536467379878;0.0002796611978013;0.0002082006865716;0.0001505814323057;0.0001186653766746;9.863230883960332e-05;7.90399662463289e-05;7.221752428150245e-05;6.98508457378923e-05;6.936461357299238e-05;6.890801551680534e-05;6.522648970724028e-05;6.216652967864678e-05;5.92351097508096e-05;5.868345398769592e-05;5.840893501554037e-05;5.730940625934056e-05;5.646722809143113e-05;5.57977616927446e-05;5.534132867544939e-05;5.478037410615923e-05;5.379741831726913e-05;5.117933519298385e-05;4.845165205493553e-05;4.571680711496055e-05;4.439364079149478e-05;4.485609218367417e-05;4.586906269554624e-05;4.625911470971717e-05;4.537406641243929e-05;4.309556314446188e-05;4.0797468504914296e-05;3.853818056576384e-05;3.673789002021736e-05;3.5339061752571144e-05;3.388614311408095e-05;3.329099356906216e-05;3.285858798503884e-05;3.244003004628805e-05;3.258513457406393e-05;3.335730335447316e-05;3.379232814591924e-05;3.4325567332943456e-05;3.343131053531377e-05;3.182164489401775e-05;3.0261700474877877e-05;2.892113229230796e-05;2.869761933341277e-05;2.925918492041862e-05;2.982702440220825e-05;3.0044528752108763e-05;3.0298375243855344e-05;3.013236712075543e-05;2.9748817470643288e-05;2.867878286390913e-05;2.788846082230398e-05;2.714894889913707e-05;2.715154739376851e-05;2.7438954791973573e-05;2.7684681190581177e-05;2.7603833577978483e-05;2.689302153107248e-05;2.609189955746553e-05;2.5145326049829104e-05;2.493401172297444e-05;2.468571570621175e-05;2.3932089445483982e-05;2.307181312206464e-05;2.304409365808769e-05;2.364865110001378e-05;2.477812895059209e-05;2.532400181354332e-05;2.3676917565878894e-05;2.2228641011756297e-05;2.062466152919137e-05;2.035215349183599e-05;1.9965867093951232e-05;1.9562809370308645e-05;1.919469574632267e-05
132.5624968877928;4.7274184713168425e-07;4.93976389520923e-07;4.969614650166875e-07;8.61515178080711e-07;2.427652046846009e-06;3.993788915611304e-06;1.0066337570504408e-05;4.840474920092194e-05;0.0001012830539517;0.0001552654183498;0.0002524459474938;0.0003858836686849;0.0005282751690367;0.0006637400849369;0.0007544400981181;0.0007895178416026;0.0008132574910532;0.0007827495047996;0.000691003661754;0.0005663552991826;0.000445851313665;0.0003411727491144;0.0002674923017041;0.0001980395604467;0.0001495003799578;0.0001133134835665;9.448264952217896e-05;7.762700897691504e-05;7.094415463311139e-05;6.685477813849604e-05;6.520585044626245e-05;6.418604780452725e-05;6.133522798369652e-05;5.975101311826183e-05;5.8329320857871e-05;5.824907723738604e-05;5.772337822351114e-05;5.575301280167375e-05;5.514643454955725e-05;5.4649540363761344e-05;5.406248967446661e-05;5.321556111015335e-05;5.148938337858942e-05;4.92073616872058e-05;4.699915573423084e-05;4.475885281183732e-05;4.321811449208832e-05;4.3606061079915874e-05;4.451633611534065e-05;4.499055552582374e-05;4.426205579044261e-05;4.175520362483345e-05;3.927870096791665e-05;3.718962398957008e-05;3.612671601156074e-05;3.569637984231507e-05;3.503095351319006e-05;3.436162165540671e-05;3.37418757521957e-05;3.312212984898469e-05;3.298032746468046e-05;3.301215820441158e-05;3.2269698648084635e-05;3.1990128563963624e-05;3.187520028026807e-05;3.150809733146965e-05;3.1151832119307026e-05;2.9691371604978665e-05;2.8584121034132416e-05;2.88007759088104e-05;2.904554842916928e-05;2.9878028640748364e-05;3.0409483658066708e-05;3.0055721518091072e-05;2.91968832241302e-05;2.739725887854545e-05;2.622024154602212e-05;2.5233372256333998e-05;2.577237047592519e-05;2.6555092022417e-05;2.7126942323923516e-05;2.7007408155704565e-05;2.613185254646753e-05;2.5189842196548763e-05;2.4148263907845077e-05;2.3977863017586096e-05;2.3847791446869342e-05;2.323159345672384e-05;2.242741516116436e-05;2.2065741059466754e-05;2.238554464809464e-05;2.3527991413676795e-05;2.4139364237243787e-05;2.3172160867820527e-05;2.1501244536347693e-05;1.9588795658282623e-05;1.890889444807672e-05;1.8563651450135262e-05;1.882682601993081e-05;1.8878443414823943e-05
134.71430464520017;4.0001963037550965e-07;5.063918458451621e-07;5.826757770686059e-07;8.638113393427413e-07;2.185209911384545e-06;3.626903129101811e-06;1.2856998497900397e-05;4.597959237682981e-05;9.055337990453802e-05;0.0001376530199586;0.0002448558523104;0.000375005972544;0.0005124140930181;0.0006321632237895;0.0007124308727984;0.0007542559759921;0.0007876525911208;0.0007355564782314;0.0006452285384084;0.0005311790398212;0.0004239624638363;0.0003287696117247;0.0002532630768466;0.000183797623391;0.0001435494268442;0.0001120165937917;9.20883188331608e-05;7.550182144655977e-05;6.846561266523388e-05;6.372575485516864e-05;6.0512541870982105e-05;5.845219493074298e-05;5.619790593739948e-05;5.517609138639092e-05;5.411825340146824e-05;5.319350950384098e-05;5.181473649202683e-05;4.9545754220161695e-05;4.954629765505345e-05;4.9642976351734246e-05;4.966576811581949e-05;4.933838151557553e-05;4.783770694620245e-05;4.647738958640099e-05;4.503088174240343e-05;4.353145494220048e-05;4.231412385047501e-05;4.260877031332764e-05;4.324913304604209e-05;4.3682620629755656e-05;4.300534085235088e-05;4.11436037693307e-05;3.933190456684687e-05;3.821540517823309e-05;3.765682367944953e-05;3.7431924133037965e-05;3.684018094274844e-05;3.543815949187442e-05;3.4143918851968574e-05;3.2854228325365865e-05;3.172021950017391e-05;3.064051290312938e-05;2.916594819477538e-05;2.845455920523047e-05;3.005028610595504e-05;3.150466527762414e-05;3.287817231457965e-05;3.168738962719066e-05;2.9715800021268094e-05;2.8645546643532297e-05;2.7621651426312614e-05;2.8545973838217432e-05;2.9424331611380535e-05;2.9749204869275152e-05;2.910322780004824e-05;2.682439054670152e-05;2.502081660685988e-05;2.333257328488215e-05;2.4126056998969152e-05;2.525001290374601e-05;2.6185640793763586e-05;2.615590442896909e-05;2.539846578517203e-05;2.4798537116223875e-05;2.423478115243729e-05;2.447780001954737e-05;2.434297561508972e-05;2.372634995687456e-05;2.290809126291478e-05;2.210219847369029e-05;2.1876838864329263e-05;2.2247626374315597e-05;2.216800610078477e-05;2.147399264092437e-05;2.018364662311472e-05;1.877182830436809e-05;1.8603274729232983e-05;1.874248142469964e-05;1.9257609796091232e-05;1.9336070865165992e-05
136.86539938092028;6.999962640651665e-08;2.570380973677045e-07;4.567138942873238e-07;1.061681399556053e-06;2.884753981928201e-06;5.460808980714112e-06;1.41645098300681e-05;4.099347977072347e-05;8.374609239387358e-05;0.0001345897089348;0.0002400736689175;0.0003640002862089;0.0004981355288551;0.0006083983667602;0.0006814485217005;0.0007167793819338;0.0007416244884634;0.000689289319773;0.0006044123447914;0.0004982081683029;0.0003964622289667;0.0003076934833243;0.0002341713402934;0.0001722721612324;0.0001351599349595;0.0001085488546171;8.911601417248077e-05;7.321552788795971e-05;6.59571232777593e-05;6.136107545229925e-05;5.7433520354001936e-05;5.438949475617875e-05;5.156386446137779e-05;5.0990208585167847e-05;5.016298868698825e-05;4.9143909915471766e-05;4.7902449816156345e-05;4.640486840110104e-05;4.6281739155301805e-05;4.601310383381093e-05;4.586616513921784e-05;4.555214453376076e-05;4.466582869913384e-05;4.402495197229253e-05;4.278035806497172e-05;4.1474695783605295e-05;4.0454016143720085e-05;4.1010440270963874e-05;4.181656108514788e-05;4.268356325306096e-05;4.23207813916048e-05;4.137647616590157e-05;4.037816998901842e-05;3.985730309608509e-05;3.902177492800513e-05;3.795160173287245e-05;3.658185878713014e-05;3.47142470932255e-05;3.332960803158027e-05;3.2241588853799873e-05;3.100046859769501e-05;2.97960370510926e-05;2.8889179747938987e-05;2.833933019353671e-05;3.05965062196868e-05;3.223186896343591e-05;3.3376600166773186e-05;3.2376944328339724e-05;3.0109838991595327e-05;2.853193395685288e-05;2.7152399082439265e-05;2.780473262560321e-05;2.8647699968122732e-05;2.925998997541374e-05;2.8812575344496425e-05;2.65388572568992e-05;2.4785779721367697e-05;2.3154545810605624e-05;2.365706824715391e-05;2.42995502689811e-05;2.462494204328584e-05;2.410466574558305e-05;2.3293401365887556e-05;2.3325378767510653e-05;2.357901199415948e-05;2.4175435875533944e-05;2.391200619689334e-05;2.2709625029442755e-05;2.1487792668706084e-05;2.023911434974807e-05;2.0105622697327205e-05;2.0488862487556765e-05;2.0552702446040797e-05;2.0135546639480195e-05;1.9124033671542343e-05;1.801510069723129e-05;1.8011921288586514e-05;1.817065915653218e-05;1.839100657169092e-05;1.84427582763515e-05
139.01578118509497;-1.2943313133132106e-07;8.99423456532026e-08;4.436708181093434e-07;1.1472694184196994e-06;3.2872980257402185e-06;7.301065506514461e-06;1.6130038883949208e-05;3.466866054651718e-05;7.828835657165132e-05;0.0001445095094307;0.0002403487777618;0.0003514765596366;0.0004778900973095;0.0005804931823206;0.0006620282411891;0.0006884187363807;0.0006943919325692;0.0006469509049218;0.0005750105038907;0.000473991803532;0.0003753044620624;0.000284655409126;0.0002150856878155;0.0001639560427973;0.0001300569219808;0.0001028695343031;8.484762092299603e-05;7.316297039286103e-05;6.577146913801658e-05;6.072427652524777e-05;5.668406602316055e-05;5.3549326247808633e-05;5.045504911287315e-05;5.0549417715000576e-05;4.987576145205525e-05;4.88785042419361e-05;4.774741209749472e-05;4.659611348665494e-05;4.589222278124275e-05;4.502267945628871e-05;4.436684521057497e-05;4.378214799044998e-05;4.324330447933316e-05;4.261115774196483e-05;4.095657253912558e-05;3.916498470689032e-05;3.752932726790558e-05;3.774791764038628e-05;3.8401732180418136e-05;3.965919567473126e-05;4.00554864038292e-05;3.997037607859972e-05;3.951400511001778e-05;3.9197941068534186e-05;3.823277520021763e-05;3.646705465100738e-05;3.418132661678092e-05;3.181354275741451e-05;3.0228418159765504e-05;2.9914881227377235e-05;2.9837500591142187e-05;2.9835923508840023e-05;3.0419226561177094e-05;3.063128525282344e-05;3.2274346361706646e-05;3.288025067723431e-05;3.239097436387702e-05;3.091048370808937e-05;2.8742331783615647e-05;2.741081785159359e-05;2.6848596648450523e-05;2.7225151506037785e-05;2.759455025862761e-05;2.7645769534892925e-05;2.6992598538066307e-05;2.547068008288858e-05;2.4873655490977107e-05;2.4707365522621278e-05;2.549409520243879e-05;2.58232627780549e-05;2.5601594009614623e-05;2.40110029550374e-05;2.242067364617153e-05;2.213082236566453e-05;2.2177694853143077e-05;2.247220284555732e-05;2.197981629160978e-05;2.026226857527407e-05;1.8918749540453668e-05;1.759109013065207e-05;1.7971139495210872e-05;1.9013081524301865e-05;1.985846432917152e-05;2.0203110283243003e-05;1.965911557016168e-05;1.87190354408896e-05;1.8210702326936907e-05;1.7676782232677464e-05;1.726251636452325e-05;1.729094153401386e-05
141.1654501478988;3.3716261164135354e-08;1.6941389423828373e-07;5.333357724112133e-07;1.0982529393064042e-06;3.043606244907696e-06;7.2267267630884755e-06;1.6805533400732162e-05;3.559487915292225e-05;7.719888273193056e-05;0.0001502268027473;0.0002377399439685;0.0003448754377211;0.0004627651021984;0.0005572064196512;0.0006375753384409;0.0006624707893692;0.0006656522693601;0.0006236338229053;0.0005503382458541;0.0004538060270326;0.0003595929380867;0.0002712407733927;0.0002081247089268;0.0001590741392255;0.0001256684874491;9.725932376590636e-05;7.907196340143899e-05;6.994997933185813e-05;6.215455548595246e-05;5.85472851792252e-05;5.647156928820652e-05;5.561757082963355e-05;5.436515393424842e-05;5.404570992282956e-05;5.250375160814472e-05;5.057273682828958e-05;4.88452495448875e-05;4.740166028672512e-05;4.624114943978747e-05;4.502342104969704e-05;4.383297128173872e-05;4.2817364159781486e-05;4.205745585127905e-05;4.112827055901682e-05;3.9546806318814415e-05;3.7751270744557976e-05;3.57800688987397e-05;3.484888923703253e-05;3.4412657650031406e-05;3.5026125855888136e-05;3.555215887060043e-05;3.576421390420612e-05;3.535299865784525e-05;3.490074493882512e-05;3.453828597805395e-05;3.324091600448074e-05;3.1128571940875144e-05;2.896707622002985e-05;2.7209752963531477e-05;2.7513883803532053e-05;2.8556126486782544e-05;2.947743579098821e-05;3.059342126889545e-05;3.092704075234515e-05;3.1634048579265646e-05;3.1966406370601223e-05;3.116651771576082e-05;2.989409095559572e-05;2.826476911933217e-05;2.698429131210959e-05;2.6961818886604608e-05;2.7128642091032465e-05;2.700757820939488e-05;2.639978170113532e-05;2.5350153792703256e-05;2.432421665718325e-05;2.46557062834259e-05;2.5697357245551756e-05;2.7012399063127285e-05;2.785880791330497e-05;2.819195596293079e-05;2.6477104123702232e-05;2.4692783875182348e-05;2.3350254582937063e-05;2.190711373030741e-05;2.092670297637772e-05;1.9753695677903507e-05;1.846966205426037e-05;1.7946997637881405e-05;1.7362380958838257e-05;1.779407453919422e-05;1.879235238531081e-05;1.964184185029604e-05;2.028601381628288e-05;2.0049252940904096e-05;1.909882249292593e-05;1.802193582753112e-05;1.6823711491897284e-05;1.5939280344670226e-05;1.5896819258226415e-05
143.3144063595064;2.676281515538309e-07;3.649806775308126e-07;6.007582054499758e-07;1.0027444267378002e-06;2.873432663496333e-06;6.018117953606821e-06;1.2344544023831398e-05;3.9260989141765125e-05;8.493673488994046e-05;0.0001484596883368;0.0002203005800154;0.0003289603627916;0.0004424645996282;0.0005426815277764;0.0006190631019058;0.0006346240124871;0.0006396807966854;0.0006153090311202;0.0005344021194052;0.000437178566167;0.0003413616363023;0.000258861834377;0.0002059438441332;0.0001580235991838;0.0001202208348804;9.370175399763152e-05;7.715089598548755e-05;6.5952010542339e-05;5.651301676493744e-05;5.54898183657232e-05;5.569320329679084e-05;5.663646515713794e-05;5.628175257028381e-05;5.427208053051918e-05;5.152003521797972e-05;4.892187500524239e-05;4.7413185731888455e-05;4.6446266866680056e-05;4.565707006832336e-05;4.47305944117362e-05;4.35102489212437e-05;4.2392568997015896e-05;4.153598946630801e-05;4.063818538048354e-05;3.950582423771833e-05;3.824362226748376e-05;3.622799805499075e-05;3.433196533564388e-05;3.268646161820327e-05;3.17899380347038e-05;3.1918273757741216e-05;3.1938406349381984e-05;3.158050640693537e-05;3.10298741065595e-05;3.1152214344450984e-05;3.079340315359836e-05;2.993584170787351e-05;2.8969803541110823e-05;2.797166131039068e-05;2.8216035815781183e-05;2.8972431680667415e-05;2.9260461843458254e-05;2.945839181569281e-05;2.91817928251723e-05;2.9367201805037604e-05;3.006702687852556e-05;3.023036587493036e-05;3.011555123135291e-05;2.9167349075683036e-05;2.7871537810488995e-05;2.7338745379390176e-05;2.691845461521147e-05;2.620070561387812e-05;2.506820985964009e-05;2.3745801329129893e-05;2.287774908697844e-05;2.3615288714401016e-05;2.478356296537924e-05;2.599583884014697e-05;2.699017383845839e-05;2.7660912710481696e-05;2.708947685882675e-05;2.610625076209373e-05;2.4587892116597423e-05;2.2234393334882884e-05;2.02980652785846e-05;1.893374213176906e-05;1.8415005129376743e-05;1.8545640953671743e-05;1.836643664272152e-05;1.826758243386605e-05;1.8714265783786924e-05;1.911211780632152e-05;1.9607169961767625e-05;1.934188738477482e-05;1.855833564659207e-05;1.7579368253655067e-05;1.6518805742853423e-05;1.562261419500534e-05;1.522164996989377e-05
