FileName	diethylene glycol dibenzoate_3
MeasName	3
UserNotes_MeasName	
UserNotes_SampleName	
Timestamp	2023-11-14T18:03:34Z
VirtualGateStart	NaN
VirtualGateEnd	NaN
HwSerial	2022091501
HwModel	M3.1
SpectralAxis	Raman shift (1/cm)
TimeAxis	Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [622.7995276418224, 1004.383987706191, 1033.896377865036, 1604.750144598016]"
Calibration Delta: -2.6549559297583505
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.355389363412677;5.36912563675346;5.382861910094244;5.396598183435027;5.410334456775811;5.424070730116594;5.437807003457378;5.451543276798162;5.465279550138946;5.479015823479729;5.492752096820513;5.506488370161296;5.52022464350208;5.533960916842863;5.547697190183647;5.561433463524431;5.575169736865215;5.588906010205998;5.602642283546782;5.6163785568875655;5.630114830228349;5.6438511035691326;5.657587376909916;5.6713236502507005;5.685059923591484;5.698796196932268;5.712532470273051;5.726268743613835;5.740005016954618;5.753741290295402;5.767477563636186;5.78121383697697;5.794950110317753;5.808686383658537;5.82242265699932;5.836158930340104;5.849895203680887;5.863631477021672;5.877367750362454;5.891104023703239;5.904840297044022;5.918576570384806;5.932312843725589;5.946049117066373;5.9597853904071565;5.97352166374794;5.9872579370887244;6.000994210429508;6.0147304837702915;6.028466757111075;6.042203030451859;6.055939303792642;6.069675577133426;6.08341185047421;6.097148123814994;6.110884397155777;6.124620670496561;6.138356943837344;6.152093217178128;6.165829490518911;6.179565763859696;6.193302037200478;6.207038310541263;6.220774583882046;6.23451085722283;6.248247130563613;6.261983403904397;6.275719677245181;6.289455950585964;6.303192223926748;6.316928497267531;6.3306647706083155;6.344401043949099;6.3581373172898825;6.371873590630666;6.38560986397145;6.399346137312234;6.413082410653017;6.426818683993801;6.440554957334585;6.454291230675368;6.468027504016152;6.481763777356935;6.49550005069772;6.509236324038502;6.522972597379287;6.53670887072007;6.550445144060854;6.564181417401637;6.577917690742421;6.591653964083205;6.605390237423988;6.619126510764772;6.632862784105556;6.646599057446339;6.660335330787123;6.6740716041279065;6.68780787746869;6.7015441508094735;6.715280424150258
126.1027945841888;2.174657294133435e-07;-3.5528140880543513e-09;-2.2457135758945235e-07;1.978090317764412e-06;1.700359254439607e-05;3.574551016373341e-05;5.454348602935809e-05;0.0001877937757398;0.0005071620701052;0.0008265303644707;0.001165205578399;0.0016942126153792;0.0023279468195131;0.0029616810236471;0.0034529065416665;0.0035492547715456;0.0035367583288687;0.003455620806918;0.0031300329020382;0.002619694772889;0.0021093566437397;0.0016472876994909;0.0013891059967535;0.0011484654171705;0.0009215541521134;0.0007966676881944;0.0007349685778016;0.0006732694674089;0.0006258779881282;0.0006049468013153;0.0005941322689781;0.0005832770420878;0.0005753513512399;0.0005665901759885;0.000557716208941;0.0005495764005388;0.0005401362033616;0.0005410611167069;0.000541954588902;0.0005417421509013;0.0005312394318629;0.0005180756359202;0.0005051916419983;0.0005015175991088;0.0005053180700571;0.0005091185410055;0.0005053479069438;0.0004928950023273;0.0004772614859148;0.0004627851238135;0.0004541794754199;0.000447729741172;0.0004414558327964;0.000435143019303;0.0004301912036482;0.0004263519463156;0.000422512688983;0.000419403329473;0.0004185308511771;0.000418876547167;0.0004193817526098;0.0004169955307517;0.0004113043455944;0.0004045343540265;0.0003982815784245;0.000392690113604;0.0003864999701482;0.0003801524459663;0.000375446334244;0.0003712649916156;0.0003670836489872;0.0003610966078285;0.0003549351318869;0.000352401075347;0.0003499169839028;0.0003550538490613;0.000359203903675;0.0003625826596421;0.0003658307846677;0.0003662802346858;0.0003685541945915;0.0003706290098698;0.0003714296508728;0.0003661898533441;0.0003540320103724;0.0003414437337315;0.0003282954770399;0.0003238519428729;0.0003215031763545;0.0003202038232022;0.0003247313925727;0.0003293725277538;0.0003341204760577;0.0003348259063251;0.0003238606295303;0.0003128953527354;0.0003014878700358;0.0002954026370502;0.0002957550839275;0.0002959881248167
128.25674194739986;4.229948735364494e-07;1.896336735978946e-07;-4.3727526340660367e-08;3.349326663907364e-06;1.490020324269681e-05;2.8123018303120506e-05;4.1532181268541655e-05;0.0002048289906486;0.0004733505260684;0.0007418720614881;0.0010745733429896;0.001628515245659;0.0022405009800334;0.0028524867144078;0.0032226773143299;0.0033329512083338;0.0033887151709118;0.0033416512567376;0.0029716671105149;0.002501131707796;0.0020305963050771;0.0016354286431778;0.001367110872294;0.0011084466322437;0.0008851965714802;0.0007891181381604;0.0007263195238169;0.0006635209094734;0.000626483352448;0.0006100865942089;0.0006002089699677;0.0005901960695589;0.0005816271226544;0.0005721682013053;0.0005625395193726;0.0005557376410565;0.0005468457381573;0.0005426277727305;0.0005383052911466;0.0005324071661737;0.000521878672547;0.0005105410695595;0.0005001335798707;0.0005017940836198;0.0005055380161217;0.0005092819486235;0.0005002862491932;0.0004841178407031;0.0004667168563938;0.0004521060971964;0.0004463298412492;0.0004416496198045;0.000437048498786;0.0004316800075943;0.0004266054740381;0.0004218315172378;0.0004170575604375;0.0004140639971508;0.0004132606393551;0.0004130053129958;0.0004132802253497;0.0004103642966462;0.0004056234725561;0.0004003973157566;0.0003955335743398;0.0003912419977292;0.0003864200703219;0.0003810749804802;0.000377178504763;0.0003738802596527;0.0003705820145423;0.0003661621294435;0.0003586596664586;0.0003530133334137;0.0003475330935219;0.0003517330591485;0.0003563986251592;0.000360956431014;0.0003656586115817;0.0003670166166166;0.0003681283473788;0.0003685609498527;0.0003663294115976;0.0003609150246667;0.0003528797826484;0.0003434137000704;0.0003327637058321;0.0003251514611767;0.0003183010076773;0.0003138991064887;0.0003172286960137;0.0003210270011495;0.0003251803727201;0.0003259046365162;0.0003180807849852;0.0003102250865763;0.0003008994145346;0.0002970904407717;0.0002979769017473;0.0002984664352914
130.40997601856725;5.451114777352633e-07;3.3044314082869346e-07;1.2207299911777462e-07;3.2090296391564446e-06;1.131342587729418e-05;1.977055447332456e-05;3.181907536822765e-05;0.0001959941807367;0.0004198711753276;0.0006446374898726;0.0009882108795843;0.0015250003382301;0.0020950540234365;0.0026613620676057;0.0029751387561726;0.0030957641776133;0.0031825706991223;0.0031536599526709;0.0028062781638067;0.0023674767461932;0.0019290307893884;0.0015594339022204;0.001300756360484;0.0010524562716385;0.0008657730273355;0.0007777896168354;0.0007163685411183;0.0006558941525726;0.0006244468603679;0.0006067920307421;0.0005984361763975;0.0005907208728711;0.0005806221269732;0.0005682591080042;0.0005554424507337;0.000547305254154;0.0005384837943687;0.0005306922474765;0.0005225075898901;0.0005130383467394;0.000505772844612;0.0004998925319893;0.0004954357217839;0.0004998824821928;0.000498621794631;0.0004973592495888;0.0004833629885788;0.0004679749320464;0.0004531253576713;0.0004420962235143;0.000438830878261;0.0004363046433329;0.0004338325984146;0.0004302810589729;0.000424341079671;0.0004176594511687;0.0004107588348505;0.0004057222612396;0.000403153800686;0.0004007009594705;0.0003991775495338;0.0003967595105764;0.0003955793681602;0.0003945030365448;0.0003935489104574;0.0003909832043879;0.0003872546174483;0.0003822987071252;0.0003771876354894;0.0003713217477479;0.0003654545047429;0.0003606009104743;0.0003537361449003;0.0003481658321755;0.0003432642768196;0.0003450073818613;0.0003500771451642;0.0003560874421103;0.0003613882257425;0.0003649157057709;0.0003640946001375;0.0003626206201158;0.0003582613497644;0.0003536505458997;0.0003504227170253;0.0003446369364479;0.0003373941451766;0.0003275350274376;0.0003176101872836;0.0003114053563761;0.0003112627417625;0.0003129005854445;0.00031403854662;0.0003147366863616;0.000311407037271;0.0003079525146455;0.0003023629745836;0.000299938834514;0.0003004450739679;0.0003005063263745
132.5624968877928;4.602155968284585e-07;3.635340670096864e-07;2.950790897621196e-07;2.241188955186235e-06;8.286452204956547e-06;1.4331715454726844e-05;3.593148643018524e-05;0.0001768588246627;0.0003715991767456;0.0005703251843464;0.0009263745509612;0.0014143760582068;0.0019335703058922;0.0024296124309939;0.0027586015542012;0.0028960346023705;0.0029947420960323;0.0029188953942272;0.0026367653055219;0.0022328200748183;0.0018304679089356;0.0014626078308897;0.0012176682971445;0.0009906219561534;0.0008516300440431;0.0007588836304854;0.0007000433309442;0.0006454457889524;0.0006122570295222;0.0005883370636813;0.0005781654276256;0.0005717063948188;0.0005634237370335;0.0005515366250463;0.0005390931950343;0.0005307478063493;0.0005228775537662;0.0005150833726715;0.0005060811259908;0.0004960732949389;0.0004923151788357;0.0004912385225323;0.0004907475475813;0.0004926436785975;0.0004836454299086;0.0004746388565703;0.0004601822444017;0.0004500894975146;0.0004413822705835;0.0004351539558168;0.0004316224809437;0.000428871821162;0.0004262892338068;0.0004249685047474;0.0004203464778794;0.000414327581283;0.0004073709164082;0.0003994346891142;0.0003942270340505;0.0003890193789868;0.0003846968829989;0.0003815590934876;0.0003819221880741;0.0003832094179607;0.0003860711113087;0.000385372717363;0.0003828507402639;0.000377826928414;0.0003717508825753;0.0003636092099315;0.0003554614634182;0.0003486723877521;0.0003420143287979;0.0003369228308445;0.000333885803448;0.0003350630838676;0.0003417424432385;0.0003500931758724;0.0003529267863059;0.0003551943055989;0.0003500067136911;0.0003460978932877;0.0003424292933883;0.0003400656255133;0.0003409432626373;0.0003387584441572;0.0003351929842938;0.0003260400520114;0.0003178695903246;0.0003140771444751;0.0003137384284202;0.0003163174206641;0.0003145873980445;0.00031281820652;0.0003097268310825;0.0003064581224313;0.0003022176832966;0.0002991404845388;0.0002982112842058;0.0002977190823541
134.71430464520017;2.41495306700802e-07;2.8623679010196694e-07;3.775159911258137e-07;1.8375506806981144e-06;6.657159726539956e-06;1.2153291957060106e-05;4.469977795430662e-05;0.0001660177668248;0.0003288544241852;0.0005006499942296;0.00088093535096;0.001338369827393;0.00182023624351;0.0022458985044941;0.0025396836210786;0.0027028418188162;0.0028373928969851;0.0026984656947485;0.0024331561760627;0.0020854466972829;0.0017403637383589;0.001415407487945;0.0011651824464257;0.0009352080809186;0.0008219831941893;0.0007384410185545;0.0006802343834806;0.0006294002058518;0.0005971942158111;0.0005718957371477;0.0005561802344671;0.0005468379825429;0.000538624604489;0.0005282097190648;0.0005177441964514;0.0005128356099634;0.0005087990375451;0.0005047008612261;0.0004985318486844;0.0004903980822369;0.0004864946457715;0.0004842000291078;0.000481120793969;0.0004757416421729;0.0004638015559592;0.000451847744719;0.0004418072161281;0.0004377141127255;0.0004344242549345;0.0004321594232108;0.0004267062879009;0.0004214638271973;0.0004164984710783;0.0004154324104289;0.0004129831019998;0.0004097274915697;0.0004050494699002;0.0003970151967881;0.0003900329891849;0.0003830311742949;0.0003765555157629;0.0003714704905746;0.00036946775046;0.0003689886518716;0.0003725749290235;0.0003731797486096;0.0003722271056604;0.0003673966134758;0.0003609946423556;0.0003536872561391;0.0003463698558046;0.0003403180996308;0.0003348654636285;0.0003302684311065;0.0003290066286309;0.0003324385086534;0.0003397866979669;0.0003481486264081;0.0003461192776293;0.0003430613867293;0.0003353940722489;0.0003308521677857;0.000330301560661;0.0003309712681704;0.0003334269317423;0.0003320762129126;0.0003278008535767;0.000319636157006;0.0003144062760491;0.0003146878419359;0.0003172296076328;0.000321623792772;0.0003186509798732;0.0003147144560266;0.0003103289724497;0.0003058829992607;0.0003010138812928;0.0002963931839429;0.0002930497428933;0.0002910566710704
136.86539938092028;1.6952450012895245e-07;2.020765517966923e-07;2.650856829057457e-07;1.4926604724027075e-06;7.370382901390081e-06;1.7094401779297026e-05;4.863583679554496e-05;0.000148887861233;0.0003036438866192;0.0004848395209739;0.0008472855605779;0.001268008935305;0.0017211404283964;0.0021045617223801;0.0023734526029968;0.0025170887426164;0.0026255019526456;0.0024842726368085;0.0022399658965306;0.0019410101558837;0.0016441972902782;0.0013706419381864;0.0011328561610961;0.0009205966803524;0.0008025053603548;0.000720295417922;0.0006640538106509;0.0006163683512224;0.0005843787625745;0.0005601098347363;0.0005438091180357;0.0005321809297514;0.0005226491846979;0.0005125620576815;0.0005021294343578;0.0004992057944797;0.000496918862003;0.0004941899474923;0.0004904552879042;0.0004838582401904;0.0004795953170254;0.0004754463158273;0.0004695406946209;0.0004595602429517;0.0004484661823635;0.0004379042827985;0.0004325990088493;0.0004323956859488;0.000432252005655;0.0004325594545732;0.0004264827438039;0.0004202714340041;0.0004133032108506;0.0004094431027792;0.0004060496764235;0.0004027884182742;0.0003990276964444;0.000393479122755;0.0003861696614388;0.0003788659208402;0.0003714898476259;0.000365673509017;0.00036421576731;0.0003638309554521;0.0003677145688442;0.0003676319214295;0.0003653919784806;0.0003601671462154;0.0003531879891448;0.0003478112072466;0.0003420611720275;0.0003380841954512;0.0003341872409608;0.0003300768182406;0.0003282492175188;0.0003300742070039;0.000335304999476;0.0003414169059642;0.0003401143920583;0.0003368208494584;0.000332100967801;0.00032900649429;0.0003302780047272;0.0003327977543774;0.0003355977575498;0.0003350637074978;0.0003295788301672;0.0003210704449474;0.0003146744554554;0.0003128786730468;0.0003136539781068;0.0003152679305255;0.0003127707454465;0.000310078316696;0.0003071151054432;0.0003036344371549;0.0002986080090779;0.0002938463071998;0.0002903292029648;0.0002883245170562
139.01578118509497;2.318426153924466e-07;2.0406296413936667e-07;1.9257803597679666e-07;7.704729572072254e-07;7.830141229087588e-06;2.3612169142153497e-05;5.7431002143427545e-05;0.0001278496770356;0.0002826223437743;0.0005086008646844;0.0008288919752598;0.0011995508966956;0.0016185685392369;0.0019789174952262;0.0022767674068438;0.0023917481264121;0.0024373506690406;0.0023032122009751;0.0020964161671126;0.0018231224028672;0.0015526481778872;0.0012977629791074;0.0010824526061136;0.0009048472676239;0.0007882537976194;0.0006943050371613;0.0006384510718903;0.0005980842689232;0.0005652123417109;0.0005420595195027;0.0005307606183474;0.0005234464010417;0.0005171022158555;0.0005102314705893;0.0005011449414682;0.0004957624206281;0.0004900550844959;0.0004839379171137;0.0004799295847564;0.0004742418256753;0.0004708510166562;0.0004662822816115;0.0004593641051247;0.0004505615066927;0.0004425198293051;0.0004368985831689;0.000434988583762;0.00043416118503;0.0004332319519317;0.0004328624157065;0.0004286973160032;0.0004245635845008;0.0004163218563651;0.0004091368563432;0.0004031198326118;0.0003980225666622;0.0003936160086768;0.0003891882073295;0.0003814449148252;0.0003739762043392;0.0003664289108975;0.0003607587997865;0.0003615312030373;0.0003631766596504;0.0003669677848528;0.0003654124073276;0.0003610259962273;0.0003557523225684;0.0003497672671311;0.000346823616334;0.0003422330261394;0.0003387812758743;0.0003344871550545;0.0003293257273634;0.0003248361881278;0.0003219659896248;0.0003233294385175;0.0003276280273381;0.0003301207032241;0.0003309040380697;0.0003316048765991;0.0003310418457069;0.0003324969943748;0.0003351051781821;0.0003370392506828;0.0003372130008131;0.0003337185730139;0.0003267661483174;0.0003205669953784;0.0003162999734585;0.0003142783884792;0.000312541665654;0.0003103017882675;0.0003083159956238;0.0003061460178847;0.0003016227548302;0.0002952953655234;0.0002900318303491;0.000287617258964;0.000287705495986
141.1654501478988;2.704310066981263e-07;2.2623811760613915e-07;1.985267166875529e-07;4.048361036016321e-07;6.160926691048831e-06;2.129739290516545e-05;5.699346871432644e-05;0.0001228874449612;0.0002635918266795;0.0005018415342896;0.0007847926919765;0.0011429160976441;0.001536516953958;0.0018802334295478;0.0021797874593155;0.0022916922843989;0.0023286313561096;0.0022075027161203;0.0019989343611201;0.0017342540236466;0.0014736362647373;0.0012249678526016;0.0010322380332085;0.0008720486220883;0.0007653128455762;0.0006738629290572;0.0006165463100933;0.0005802971152881;0.0005464094525934;0.0005278519934676;0.0005200461162742;0.0005172485428608;0.0005141517364482;0.0005090899910308;0.000500273925973;0.0004912078023899;0.0004824290417896;0.0004745101868089;0.0004709437649484;0.0004670206149663;0.0004640456044158;0.0004590337497568;0.0004513017451027;0.00044494365071;0.0004396401906349;0.0004383304095155;0.0004381579861513;0.0004360285832838;0.0004340170971587;0.0004328636297283;0.0004305998998362;0.0004277633406432;0.0004180920096305;0.0004082519409901;0.000399693424057;0.0003923360425478;0.0003861995047658;0.0003812241563044;0.0003748709765808;0.0003691214979609;0.0003635365439936;0.0003577735489433;0.0003559676042011;0.0003552611107299;0.0003554976203288;0.0003542238197535;0.0003517586037405;0.0003495427913433;0.0003471686866033;0.0003464073305285;0.0003429328648894;0.0003397757365845;0.0003348952823677;0.000328856795502;0.0003229245654916;0.0003180763450942;0.0003151776100635;0.0003171181026643;0.0003195727440696;0.0003217649701967;0.0003264087277828;0.0003282239795884;0.0003305575035183;0.0003327276534744;0.0003325412692344;0.0003314524143431;0.0003287592507915;0.0003249585587057;0.0003217953551815;0.0003190624343872;0.0003171103095395;0.0003131393080055;0.0003095727336826;0.00030599585293;0.0003027406353629;0.0002956545446682;0.0002873588419158;0.0002807412458981;0.0002788556525001;0.0002805960560811
143.3144063595064;2.5735500592585054e-07;2.0730538791031657e-07;1.6725229778964158e-07;6.396520884503473e-07;5.797415098276377e-06;1.5827462780895703e-05;3.797289476160404e-05;0.0001262487678021;0.0002740881194802;0.0004769889988982;0.0007050129496359;0.0010740369017709;0.0014611106495555;0.0018210460206658;0.0021078577196307;0.0021851780758251;0.0022258250885769;0.0021608819416405;0.001938710795342;0.0016730033621367;0.0014097600073881;0.0011743104590152;0.0010109129970559;0.0008611003365475;0.0007464506903556;0.0006687256979497;0.0006167983722247;0.0005770007210336;0.0005402562588451;0.0005273732772678;0.0005201745156898;0.0005159984865653;0.0005111266026084;0.0005031665149252;0.0004929293458608;0.0004826488202201;0.0004742632084168;0.0004677481066817;0.0004639199800786;0.0004600813096382;0.000455643053519;0.0004499415880811;0.0004426579443254;0.000438264095373;0.0004350752612707;0.0004343087159001;0.0004327569814522;0.0004285840689715;0.0004245464501616;0.0004212621518285;0.0004187263090712;0.0004152017827523;0.0004075317577726;0.0003985221891271;0.0003898849651261;0.0003819059161469;0.0003746408609311;0.0003706887037882;0.0003677320793088;0.0003651753089026;0.0003626522073683;0.0003573071741982;0.0003527355009309;0.0003488306785683;0.0003454927251457;0.0003444934968854;0.0003435472769657;0.0003430890377469;0.0003425676118127;0.0003420069110122;0.0003398006260778;0.0003376262590192;0.0003330238334524;0.000327129196847;0.0003215016776527;0.0003194229627163;0.0003169937937121;0.0003174997646357;0.0003176227995191;0.0003170711738748;0.0003213101580978;0.0003238335668437;0.0003276287281998;0.0003304845168671;0.000329962893943;0.0003282985903917;0.0003241741369294;0.0003213495843109;0.0003192763193286;0.000317940811835;0.0003166752952156;0.0003109907025561;0.0003054345605881;0.0002992736927172;0.0002938991156355;0.0002863092399715;0.0002791904281002;0.000274597040178;0.0002747213264059;0.0002769890272181
