FileName;bis(2-hydroxyethyl) dimerate (15mW)_100
MeasName;100
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-14T21:11:59Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;7.767657962529925e-07;8.641313462993903e-07;9.936417739453692e-07;1.1501870239685426e-06;1.2952219857888688e-06;1.377446182640214e-06;1.4245930974814516e-06;1.431057103909772e-06;1.378846690384898e-06;1.32716982709956e-06;1.2674272302440948e-06;1.223692509645484e-06;1.215752191702207e-06;1.2537149442657428e-06;1.3033402925253452e-06;1.320924704385718e-06;1.3069240454677483e-06;1.2678867771760731e-06;1.1899122710167488e-06;1.0703853909381217e-06;9.370320230121214e-07;8.291950393322844e-07;7.731112585808982e-07;8.177272056086524e-07;9.451060162181198e-07;1.1181236808759827e-06;1.3223981610130014e-06;1.5751589378910462e-06;1.8078943085804812e-06;2.028028810757162e-06;2.164763634437296e-06;2.1698651338438123e-06;2.0375254094892358e-06;1.8529971328670984e-06;1.7116549673497751e-06;1.5937198910714489e-06;1.6180529936471307e-06;1.8828706858663937e-06;2.4298750046682325e-06;3.428048380420978e-06;6.384019579612824e-06;1.5969590756501256e-05;4.406186206565353e-05;0.0001139076608081;0.0002517042864836;0.0004817014860299;0.0008151974922558;0.0012586617176452;0.0018084507882744;0.002446976149618;0.0031407359887131;0.0038404192919978;0.0044909251490382;0.0050524750604096;0.0054977423284773;0.0058153562164659;0.0060026121896925;0.0060699906239639;0.0060362735098471;0.005927893686664;0.0057749880065083;0.0056016926687217;0.0054248431651703;0.0052578453005968;0.0051078204760007;0.0049751997774872;0.0048579610466096;0.0047538025782618;0.0046609691386108;0.00457828076421;0.0045039463913317;0.0044369625726825;0.0043793182940892;0.0043291155238649;0.0042855552809694;0.0042469541242592;0.0042115476385784;0.0041776614047312;0.004144109564127;0.0041110093750009;0.0040786255063;0.0040469707549216;0.0040157048011107;0.0039847140151512;0.0039537013509455;0.0039225013355553;0.0038929602176253;0.0038668535170595;0.0038448634717596;0.0038270678606066;0.003812297130691;0.0037997610289031;0.003785495731525;0.0037671040298324;0.0037442631186268;0.0037184693044948;0.0036918498706068;0.0036665658876917;0.0036443711707823;0.0036264608334573
129.18959229751636;3.148842194984184e-07;4.324643003591438e-07;5.653034230344005e-07;7.000776743355044e-07;8.503810528777447e-07;9.636124565850849e-07;1.03204809494798e-06;1.0472820513531877e-06;1.0039177628500377e-06;8.993083341474479e-07;8.010353322600967e-07;6.950861183776549e-07;6.105607478405257e-07;5.7544074658143e-07;5.767596252100918e-07;5.849979004863595e-07;5.97730071330478e-07;6.087873515771961e-07;6.001665668285594e-07;5.884079710195397e-07;5.607633512950558e-07;5.295598235415757e-07;5.375612618520695e-07;6.016587812053445e-07;7.088119019543755e-07;8.264777739242264e-07;9.481344686551826e-07;1.0884426399901815e-06;1.2533531999720617e-06;1.4540311666671945e-06;1.644782976772835e-06;1.7870639482111792e-06;1.8619113200192824e-06;1.862020320144856e-06;1.8090889020192424e-06;1.7488475884689648e-06;1.814611162923451e-06;2.1155479384371947e-06;2.6513230265611257e-06;3.663116614712672e-06;6.334186166455858e-06;1.4239762843007448e-05;3.929604510147585e-05;0.0001062533501906;0.0002411139188597;0.0004661255330397;0.0007941127325235;0.0012315077167561;0.0017715088346354;0.0023971769860504;0.0030747259508938;0.0037555580056464;0.0043884321339508;0.004937962066114;0.0053787972057106;0.0056999718224922;0.0058985033501283;0.0059830448465139;0.0059690099462257;0.0058787026226245;0.0057386254772268;0.0055714133514689;0.0053955723761659;0.0052261474563924;0.0050715299510565;0.0049343510477959;0.0048146056727965;0.0047117050535586;0.0046246935299744;0.0045510818909696;0.0044864493284203;0.0044276651941141;0.0043742729844959;0.0043259824765208;0.0042821430366391;0.0042413276996996;0.004202233715655;0.0041640357984201;0.0041254138105171;0.0040889334892979;0.004056210532724;0.0040266418430454;0.0039994113992458;0.0039733763489782;0.0039461921109967;0.0039166340778406;0.0038856603487929;0.0038554135985676;0.0038286592062337;0.0038069022842069;0.0037875240047473;0.0037701149572931;0.0037527491176247;0.0037335463827903;0.0037114997029457;0.0036866358240202;0.0036594721442751;0.0036337599744319;0.0036113151206578;0.0035912662515284
131.33142972264977;1.1911012405530555e-06;1.1868314959389168e-06;1.1599295497752355e-06;1.1136646909222042e-06;1.060923765967542e-06;1.0127377347001512e-06;9.679560981593672e-07;9.20507220668077e-07;8.753748753625171e-07;8.153034438024085e-07;7.913124901557447e-07;7.877626729968537e-07;7.788552556693247e-07;7.480021039426525e-07;6.853418067393189e-07;6.065375694513634e-07;5.166159104776933e-07;4.280562191883299e-07;3.489499747064977e-07;2.846534530837477e-07;2.457463976277972e-07;2.532067521139947e-07;3.176478605432531e-07;4.258544203402738e-07;5.526724536141648e-07;6.637601329696623e-07;7.774091231581797e-07;9.054942120230388e-07;1.0151821746117689e-06;1.0973127211854603e-06;1.1565513751114246e-06;1.2036606089206366e-06;1.2552026285526116e-06;1.292707363465828e-06;1.2794914548368206e-06;1.2632683136833243e-06;1.311492880798049e-06;1.5090333389001293e-06;1.853372553743512e-06;2.547928726613401e-06;5.278672855587867e-06;1.4788541024966906e-05;4.239930229189479e-05;0.0001098788240199;0.000240269469181;0.000456136752545;0.0007726230044414;0.0011972602115406;0.0017234544252429;0.0023343197139676;0.0029954594716715;0.0036610817113919;0.0042845332315529;0.0048313738835875;0.0052745377764954;0.0056015650849735;0.0058090599715095;0.0059060082986048;0.0059072475236777;0.005833703327202;0.0057079368631393;0.0055505109707159;0.005379227115736;0.0052084424287825;0.0050477497420432;0.0049035768407288;0.0047796648802259;0.0046778077863588;0.0045973850923693;0.0045341995641367;0.0044821314037328;0.0044359427578847;0.0043927992088008;0.0043507599581102;0.0043083683918467;0.0042646198463369;0.0042196502133527;0.0041748154072584;0.0041318543815829;0.0040924725206076;0.0040571409917059;0.0040254306981172;0.0039965534008037;0.0039692907318146;0.0039423927072814;0.0039143933510548;0.003884933359542;0.0038543368959725;0.003823554864087;0.0037935650051903;0.0037647207593913;0.003736831754106;0.0037095334176805;0.0036827600821141;0.0036566475240855;0.0036306012123705;0.0036050042019867;0.0035815789289288;0.0035612623920485;0.003544884604719
133.47260691138217;1.8130974397982343e-06;1.7590523499148962e-06;1.6490408421733088e-06;1.4866985795121467e-06;1.302773218034041e-06;1.1304464961764686e-06;9.666436289300533e-07;8.067904764560527e-07;6.560097680972597e-07;5.522351827423743e-07;5.084589807438262e-07;5.016304450909131e-07;4.93764142941315e-07;4.6835640050390446e-07;4.271182535651487e-07;3.83778673970775e-07;3.602988192880083e-07;3.5755543564988374e-07;3.3192790882594015e-07;3.286407068488517e-07;3.378123093657459e-07;3.723218617294202e-07;4.3814896014523124e-07;5.229485085929772e-07;6.058522561051822e-07;6.828768874075912e-07;7.620050667061286e-07;8.301563022148271e-07;8.825456440438942e-07;8.764829914899164e-07;8.386459283474339e-07;7.745258277824636e-07;7.116289535071325e-07;6.750950707698215e-07;6.475185659999521e-07;6.257617233528348e-07;6.595387332269853e-07;8.148458068344463e-07;1.057093670051161e-06;1.640375219330999e-06;3.978455134925236e-06;1.3178605860184157e-05;4.0481579556977775e-05;0.0001061264017695;0.0002321279434805;0.0004377769864009;0.0007394968295635;0.0011473884689737;0.0016573093898591;0.0022533728620922;0.002900300731233;0.0035566165059299;0.0041785942759666;0.0047292547652057;0.0051783913972843;0.0055110612366153;0.005722713837285;0.0058232439160377;0.005829347871549;0.0057641076034661;0.0056481542833951;0.0054984269040858;0.0053307613461413;0.0051615456922862;0.0050020994100714;0.0048602353004228;0.0047410515881093;0.0046454303640785;0.0045705745068265;0.0045117364328104;0.0044644107831861;0.0044201254489591;0.004378383293063;0.0043376711390319;0.0042979964725177;0.004258175693514;0.0042184527670777;0.004179533084145;0.0041406391622834;0.0041039192665143;0.0040683402265552;0.0040334220873068;0.0039995002540479;0.0039671946259113;0.0039373546285597;0.0039096878103485;0.0038821434400308;0.0038529538630634;0.0038210539353864;0.0037856489811905;0.0037500472099278;0.0037147074783592;0.0036810865961089;0.0036502046705493;0.0036225963509107;0.0035989520695319;0.0035797497736403;0.0035628896528775;0.0035483744348891;0.0035367988690399
135.61312380366144;1.2499356490299103e-06;1.283361857954758e-06;1.2752146097344888e-06;1.2395086256284896e-06;1.1388657403030195e-06;9.958028994086075e-07;8.30668162845513e-07;6.593986733859097e-07;4.814285985656526e-07;3.506231507848852e-07;2.814562320251657e-07;2.5087394948787896e-07;2.2440241157065675e-07;2.033121901215565e-07;2.1259146910010337e-07;2.464439315375221e-07;3.650027497044719e-07;5.260798769327258e-07;6.813971715449043e-07;7.990047260910633e-07;8.673149043877647e-07;8.877883601667503e-07;8.640313001921773e-07;7.889161919045642e-07;7.039281594191392e-07;6.365797999861063e-07;6.388083859396387e-07;7.196056362253311e-07;8.28109555621189e-07;9.329885493506252e-07;9.952095585150106e-07;1.006988526776811e-06;9.93171706751658e-07;9.92314414542684e-07;1.00693840878964e-06;1.0101316072967955e-06;1.0254654609158531e-06;1.0898882274214934e-06;1.197436444287579e-06;1.6667181186839833e-06;3.897150719265976e-06;1.2329698857941538e-05;3.8130331911111445e-05;9.90530178014846e-05;0.0002181780917324;0.0004140436148783;0.0007028452929535;0.0010957929853233;0.0015901074123755;0.0021722437468482;0.002811333560493;0.0034650295694056;0.0040890386314571;0.004643606593244;0.005096811528794;0.0054322029811362;0.0056430030262382;0.0057380835581589;0.0057354829046605;0.0056613015381722;0.0055406879314602;0.0053937817179269;0.0052363373311743;0.00508198457094;0.0049387174314351;0.0048121535835468;0.004705717740216;0.0046186860731239;0.0045470753089029;0.0044860902637794;0.0044322875149407;0.0043832684153873;0.004336335474442;0.0042931955569689;0.0042539086113431;0.0042183342932385;0.00418550960306;0.0041541057807483;0.004122519829709;0.0040894193687801;0.0040546063878644;0.0040185846756317;0.0039827723756381;0.0039485436892665;0.0039171950513358;0.0038894194496535;0.0038626366918878;0.003834173044846;0.0038027568639985;0.0037680932266507;0.0037314376630614;0.0036941785480686;0.0036603911459883;0.0036315697479357;0.0036071465357881;0.0035866773136083;0.0035693710757155;0.0035543782149381;0.0035413286854055;0.0035298842376022
137.7529803396901;8.093801915344726e-07;8.704744889047899e-07;8.96320723611977e-07;8.822229160321821e-07;8.440241184449404e-07;7.679109934492815e-07;6.622848637284103e-07;5.477346265436335e-07;4.523600510355925e-07;4.041392587616853e-07;3.85516580784736e-07;4.0107904255595204e-07;4.299857425009216e-07;4.685940427193274e-07;5.340601049220484e-07;6.397882589723053e-07;7.916772605125695e-07;9.872165733865013e-07;1.196499311941876e-06;1.3458620412702596e-06;1.4264023244332226e-06;1.430457755978537e-06;1.3461649305129288e-06;1.1733009639645578e-06;9.432005175098676e-07;7.205677881112894e-07;5.92068930855733e-07;6.297001502814441e-07;8.21349588406493e-07;1.1012018579039923e-06;1.3613130545297189e-06;1.5351183464887155e-06;1.6216043316078848e-06;1.6740516254781232e-06;1.734607595026008e-06;1.77590587919072e-06;1.783469520030071e-06;1.7985148295419883e-06;1.854807486390095e-06;2.275599009139085e-06;4.457929249636587e-06;1.2887843873430476e-05;3.883207296847371e-05;9.797974368958942e-05;0.000213400738347;0.0004065445129109;0.0006926122628139;0.0010811879245436;0.0015691748911403;0.0021420205832881;0.0027710549162939;0.0034164156390296;0.004034208049727;0.0045821081720247;0.0050290326130037;0.0053595465862806;0.0055675221207443;0.0056611084182868;0.0056578982218224;0.0055820739141304;0.0054606619413465;0.0053171738892851;0.0051691086078808;0.005027324678493;0.0048979038959171;0.0047836492206557;0.0046848343630188;0.0046003554593296;0.004528057192545;0.0044651203078837;0.0044094958050354;0.0043590308563469;0.0043125730333316;0.004269821205142;0.0042306690667742;0.0041948169285219;0.0041612256753298;0.0041284735581869;0.0040958580966205;0.0040616147524152;0.0040260189467578;0.0039906432796183;0.0039564588548446;0.0039242040351032;0.00389443960315;0.0038668877799953;0.0038405254584459;0.0038139763653343;0.0037863099546747;0.0037573213209677;0.0037274422039152;0.0036974461276585;0.0036685754290616;0.0036417240770712;0.0036163518288404;0.0035923493755121;0.0035694302395204;0.0035478090285784;0.0035286671392815;0.0035117235542167
139.8921764599363;1.0205387165250927e-06;9.060952741332482e-07;7.870064014851444e-07;6.691102834593429e-07;5.78547349318124e-07;5.240288180049411e-07;4.975891665073412e-07;4.775052540909549e-07;4.917359673021554e-07;5.483843086259062e-07;6.446513073059554e-07;7.640037750315825e-07;8.731059668738532e-07;9.55054100363912e-07;1.0149791703000352e-06;1.0809109901769682e-06;1.13455554113686e-06;1.2333153415459898e-06;1.3617134418809064e-06;1.482369320483977e-06;1.5818017635239343e-06;1.6176164778313234e-06;1.5602984855797676e-06;1.4287239018422287e-06;1.1986580791528167e-06;9.374755269878204e-07;7.056404898535323e-07;6.054151701415171e-07;7.299241610120546e-07;9.95570370442207e-07;1.284757436881506e-06;1.502876358263964e-06;1.6271079766767151e-06;1.666504699345887e-06;1.6599026931931713e-06;1.6377609829269623e-06;1.6347626732586782e-06;1.743991485066341e-06;2.01052116756984e-06;2.623509107359638e-06;4.690265941004237e-06;1.2597583626822456e-05;3.8347495704405445e-05;9.798562665902592e-05;0.0002143781689957;0.0004094715829542;0.0006987149246401;0.0010906319334271;0.0015801761054364;0.0021498330620848;0.0027698989831611;0.0034005595831722;0.0040011994230781;0.004532511611622;0.0049662815949639;0.0052890082122038;0.005496519116919;0.0055962646889981;0.0056041864914299;0.0055404407252091;0.0054295933834107;0.005292979415587;0.0051488939648186;0.0050086373709722;0.0048800416626249;0.004766749408936;0.0046687636695514;0.0045844349590145;0.0045118495210806;0.004449215189361;0.0043957009536704;0.004348677770815;0.0043057901560088;0.0042654943346201;0.00422690080981;0.004189700844519;0.0041532881414687;0.0041170825909707;0.0040805653677688;0.004043152950804;0.004007521097975;0.0039731643807375;0.0039407145974587;0.0039104322575255;0.00388184586851;0.0038547094749623;0.0038291484972449;0.0038052469730986;0.0037823398541835;0.0037591760721673;0.0037352907121536;0.0037100799322278;0.0036837595177715;0.0036569874584881;0.0036302500414951;0.003603794457575;0.0035784644731991;0.0035548845875269;0.0035342087857214;0.0035169667317705
142.03071210513372;1.0969514552401675e-06;8.920132743620843e-07;7.117917340245215e-07;5.772767398923126e-07;4.676531422750213e-07;4.2122989250857753e-07;4.4811402429835925e-07;5.279895786210461e-07;6.095739298317255e-07;6.970736714674105e-07;7.848746516439293e-07;8.571101270139641e-07;8.980122845622358e-07;9.162880682689448e-07;9.167310655657066e-07;9.118051500543354e-07;9.163130577128944e-07;9.476173456603772e-07;1.0177495172353002e-06;1.0894215783889626e-06;1.132670332681615e-06;1.139340791966727e-06;1.116622485956476e-06;1.0385921103948174e-06;9.182434756294384e-07;7.664451339682399e-07;6.108770684537423e-07;5.08029033758109e-07;5.160632396667225e-07;6.228139295742719e-07;7.383633185384178e-07;8.278786769255285e-07;8.688260450344613e-07;8.524999633452664e-07;7.899554320430519e-07;7.277767233213971e-07;7.458612711347631e-07;9.210316769964176e-07;1.2764613590445051e-06;2.087008062737993e-06;4.683037638570323e-06;1.2731599077074397e-05;3.641632753310297e-05;9.241448761980171e-05;0.0002038668180189;0.0003919755064195;0.0006712905080827;0.0010505885133784;0.0015259365313242;0.0020829297350781;0.0026934225329398;0.0033163105879638;0.0039077538972211;0.0044326474705533;0.004865640631652;0.0051925438855806;0.005407344550719;0.005516147017574;0.0055340069723334;0.0054814671949005;0.0053840299829024;0.0052591947479337;0.0051223373863974;0.004985859268891;0.0048593300564952;0.0047470862462426;0.0046496969049112;0.004565816705518;0.0044940461245237;0.0044320093375518;0.0043776111113879;0.0043287505585041;0.0042845032745362;0.0042440732278921;0.0042060552636862;0.0041712476235666;0.0041376950386086;0.0041038092503475;0.0040695709625804;0.0040344494083183;0.0039986738666546;0.00396307576604;0.0039285456922081;0.0038954060570053;0.0038636660392841;0.0038362195930551;0.0038115330960694;0.0037893118258743;0.0037693436092293;0.0037517173928087;0.0037304766085124;0.0037069692031139;0.0036817807321729;0.0036557754196057;0.0036299141308176;0.0036051373792806;0.0035820095793881;0.0035606434522718;0.0035413333349382;0.0035257908194367
144.16858721627432;7.20541753205944e-07;6.416653523435706e-07;5.574143475662102e-07;4.768271754269985e-07;4.3699799012071275e-07;4.216082936478853e-07;4.361786827636381e-07;4.878830796759519e-07;5.50770136617152e-07;5.926208482634951e-07;6.019669127871413e-07;5.781383083853076e-07;5.486317363859405e-07;5.56175320451384e-07;5.940943854380948e-07;6.31190109119125e-07;6.608858338312685e-07;6.782270298704452e-07;6.923330294065316e-07;6.961097427700285e-07;6.60620040981626e-07;6.078502835786318e-07;5.430455186011166e-07;4.724913062752177e-07;4.273999015104529e-07;3.951294120997483e-07;3.650137986321853e-07;3.449546239201369e-07;3.5364178924915565e-07;3.8051194370050834e-07;3.987009152980761e-07;4.092160192402018e-07;4.07782196228988e-07;3.87926966559259e-07;3.49728570604256e-07;3.153171275403172e-07;3.430757224462253e-07;4.829565111562939e-07;7.350190898324865e-07;1.4636095475206172e-06;4.282840514867358e-06;1.2302319437837498e-05;3.372606251226385e-05;8.588963472478753e-05;0.0001917934249916;0.0003706087031415;0.0006357501173797;0.0009968740654165;0.0014529684177662;0.0019938752487612;0.0025926119333956;0.0032060998282344;0.0037917316134668;0.0043159119226128;0.0047538708408158;0.0050895057966448;0.0053144670627672;0.0054342902491591;0.0054634888467474;0.0054233200552613;0.0053385665673263;0.0052239420957114;0.0050931184876472;0.0049592894099499;0.0048325857711192;0.0047179105928267;0.004617843718447;0.0045333587577864;0.0044630255099137;0.0044032119418768;0.0043501991891775;0.0043011389760138;0.0042557259988394;0.0042144875440809;0.0041774861477697;0.004144634096854;0.0041150762982217;0.0040875380302012;0.0040601145735536;0.0040307008054083;0.0039984073764062;0.0039633313644517;0.0039264331507904;0.0038899722359827;0.0038563454513184;0.0038272649071697;0.0038029999454177;0.0037822875499141;0.0037637031944336;0.0037453239215365;0.0037253250028211;0.0037031167167712;0.0036786921812737;0.0036525805732414;0.0036257015854338;0.0035997707754405;0.0035754769992213;0.0035534865563833;0.0035345539242401;0.003519254467056
146.3058017346193;6.093579445990352e-07;6.54559997929178e-07;6.63977737337452e-07;6.394740837394903e-07;5.940106370227303e-07;5.067983644063763e-07;4.2634063433915915e-07;3.8546842768670537e-07;3.859675400976576e-07;4.09225596681808e-07;4.152294556121223e-07;4.12714725294503e-07;4.228741973530752e-07;4.6924402384163133e-07;5.365705086270888e-07;5.806208031212593e-07;5.902544383331241e-07;5.859035969620748e-07;5.663301107095349e-07;5.519017139277786e-07;5.678842126899765e-07;5.494169635269178e-07;5.040024168680619e-07;4.634880313972951e-07;4.428519429849501e-07;4.26715003138529e-07;4.021885156870328e-07;3.784115154425792e-07;3.679909785717448e-07;3.638726942146877e-07;3.840896248722674e-07;4.120945256881727e-07;4.2976586207712027e-07;4.272219349419406e-07;4.075527575071081e-07;3.908897224391936e-07;4.229388993291326e-07;5.368767404850064e-07;7.643336693456822e-07;1.3901677978988735e-06;3.666963289252138e-06;1.0700594022613986e-05;3.188391126590481e-05;8.607765628218002e-05;0.0001937683103832;0.0003727348994868;0.0006357611707071;0.0009927438631915;0.0014421158658179;0.0019727170725564;0.0025583626305728;0.0031582531213698;0.0037318042019361;0.0042481749572935;0.004682740039736;0.0050193056237435;0.005249986957813;0.0053794901604163;0.0054199955039124;0.0053900949436796;0.0053113755356678;0.0051995740890887;0.0050703746520284;0.004936902683381;0.0048089439732836;0.0046925940583896;0.004592177927302;0.0045091414637774;0.0044401205596432;0.0043813307412126;0.0043295714625178;0.0042822974206217;0.0042389290655525;0.0041994882486373;0.0041631840129355;0.0041289378734446;0.0040976127929478;0.0040689934351;0.004042052895933;0.0040150169214167;0.0039862028638737;0.003954907216561;0.0039218314197068;0.0038904856532082;0.0038607334170361;0.0038340482196513;0.0038110606182188;0.0037898035159119;0.003768270360713;0.0037431045985006;0.0037169553635656;0.0036895339278711;0.0036609629172376;0.0036317694561929;0.0036030078425665;0.003576382094357;0.0035533148697116;0.0035340991986238;0.0035185730024211;0.0035062754485072
