FileName;methyl ricinoleate (15mW)_117
MeasName;117
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-14T21:40:44Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;1.2660017356839104e-06;1.3911289205609022e-06;1.5215546427967187e-06;1.6209292274694522e-06;1.6743265937587903e-06;1.677194013628626e-06;1.6117755206055262e-06;1.4708020359576362e-06;1.2770468813671351e-06;1.1359295131568752e-06;1.0726582576322e-06;1.1098557742849678e-06;1.2421324705728043e-06;1.4414387547101593e-06;1.6530253930565032e-06;1.82810398682835e-06;1.9374338907239237e-06;1.974027251118236e-06;1.9531875924947342e-06;1.9036843592040968e-06;1.8577117546925728e-06;1.814802777265238e-06;1.8075068365112183e-06;1.8053444648493524e-06;1.751678051766391e-06;1.6848930976582547e-06;1.6629037282548351e-06;1.726569970346017e-06;1.9004749602880565e-06;2.1514253254234806e-06;2.43695839346125e-06;2.659321078634208e-06;2.7501566855881965e-06;2.680868335380976e-06;2.4432729239271395e-06;2.058775557435664e-06;1.7390551813384131e-06;1.6201879569781455e-06;1.8650134879430236e-06;2.6592155253052543e-06;5.281432077208897e-06;1.363692389518796e-05;3.7658608898030816e-05;9.711852546503032e-05;0.0002143363408412;0.0004098795955136;0.0006972812993508;0.0010869936159304;0.0015778211590185;0.0021593535831188;0.0028056552647964;0.0034769640149784;0.0041275307523476;0.0047208983146682;0.0052272041838104;0.0056257292187615;0.0059027482592738;0.0060597562682516;0.0061088595484763;0.0060709821606336;0.0059719366222747;0.0058339267620854;0.0056745993830598;0.0055086238334433;0.0053475522473868;0.0051977749129853;0.0050619109272775;0.004940706953242;0.0048343346812573;0.0047422729474616;0.0046632891316596;0.0045962832874417;0.0045408382839431;0.0044940229164489;0.0044534309112337;0.0044168937474159;0.0043836262606599;0.0043531588539786;0.0043229899086622;0.0042925147331977;0.0042612498879062;0.0042296477976115;0.004198124474131;0.004165807670784;0.0041326864994627;0.004097729552539;0.0040603989822651;0.0040211282556623;0.0039810736547815;0.0039414156029286;0.0039023705623085;0.0038660245495023;0.0038333170053343;0.0038044507930288;0.003778738448457;0.0037558355873189;0.0037349963938937;0.0037155649684212;0.0036978866649064;0.0036825462063913
129.18959229751636;6.954669860529993e-07;1.0113661280255731e-06;1.3159371894401932e-06;1.544931342591814e-06;1.6671507359705795e-06;1.6667966761804969e-06;1.547379087983382e-06;1.3413528478838445e-06;1.099736706263013e-06;9.072190892408514e-07;8.262007046513142e-07;8.645031334459616e-07;9.986310399665536e-07;1.1713709280356892e-06;1.3250292883347118e-06;1.4485309156047595e-06;1.5356560649492891e-06;1.5605553380258702e-06;1.5456300282214264e-06;1.532348326215134e-06;1.5550586060516533e-06;1.626291610891615e-06;1.6991311701381108e-06;1.7335852638647989e-06;1.702744141812844e-06;1.603791322667868e-06;1.454320819761628e-06;1.3357129803966529e-06;1.3106853492912626e-06;1.4116213209869596e-06;1.5918613325222094e-06;1.7972238967598167e-06;1.9137554538428684e-06;1.941676053900938e-06;1.8616871292917909e-06;1.7171736369417038e-06;1.5881075051395882e-06;1.5913221519158649e-06;1.829130605877205e-06;2.50300643178031e-06;4.90510527504231e-06;1.2538630563517438e-05;3.4943170892114825e-05;9.179244647355286e-05;0.0002042277792761;0.0003929461246196;0.0006708168580444;0.0010488360963855;0.0015266710885641;0.0020944474925497;0.0027258547891479;0.003381118811757;0.0040168709966423;0.0045989185063154;0.0050979873495689;0.0054935431274867;0.0057719347534992;0.0059345459863781;0.0059924584207939;0.0059651435474672;0.0058763913149794;0.005746049565542;0.0055924176745447;0.0054322058853082;0.0052774865025183;0.0051343740185935;0.0050055878118688;0.0048922530666627;0.0047943884971512;0.0047107750048657;0.0046392846123864;0.0045777005690296;0.0045248378664946;0.004478796395337;0.0044374232944388;0.0043987397417408;0.0043610637236515;0.0043236139279845;0.0042861762072519;0.0042492532558075;0.004213595538328;0.0041798109635063;0.0041469764199769;0.0041150290866679;0.0040843287370924;0.0040539636379517;0.0040225739798417;0.0039890822259689;0.0039529409387378;0.0039149758259858;0.0038771683010672;0.0038416290342958;0.0038100905545101;0.0037828084401647;0.003758678830565;0.0037389914157036;0.0037231001898915;0.0037104260071795;0.0036999590771035;0.0036906793380614
131.33142972264977;5.998476433050554e-07;9.040463528655172e-07;1.193408951493111e-06;1.411798583573278e-06;1.521084011382105e-06;1.5169899454472733e-06;1.4262986705573844e-06;1.283927962924636e-06;1.106170729645812e-06;9.341299903817816e-07;8.304988311303383e-07;8.121054766992439e-07;8.519164556258188e-07;9.08854396707971e-07;9.480913541679056e-07;9.513943794742332e-07;9.467210473231062e-07;9.574110701184568e-07;9.969295451119543e-07;1.030700909147045e-06;1.062133682377518e-06;1.1038065875595495e-06;1.1225327487188231e-06;1.0860006498943524e-06;1.0148669418977326e-06;9.323533853081782e-07;8.729302429735759e-07;8.541873462933282e-07;9.01833258719157e-07;1.013393155235035e-06;1.1218878394650082e-06;1.1983578068320825e-06;1.2457497358232418e-06;1.2595824586264991e-06;1.2231567191538769e-06;1.1550559275025337e-06;1.0977137608210632e-06;1.0706363902178025e-06;1.1364449421397698e-06;1.5385702371096523e-06;3.7697940138157407e-06;1.17182267257016e-05;3.5044833927214405e-05;9.061716475273396e-05;0.0001988809136693;0.0003797843667904;0.0006481647341921;0.001015440703392;0.0014803134530858;0.0020321751211501;0.0026444978367186;0.0032801069573401;0.0038995403129677;0.0044700560938103;0.0049621416703516;0.0053562014321233;0.005639938764626;0.0058143720498484;0.0058880669094636;0.0058774250090319;0.0058021431016433;0.0056808313774018;0.0055319908776221;0.0053732185025927;0.0052180459804249;0.005075297814198;0.0049516036045889;0.0048481967278505;0.0047621943849319;0.0046905871944395;0.0046300897668862;0.0045771228224166;0.004528678882109;0.0044841544201926;0.004441957963368;0.0044004601697738;0.0043583905691337;0.0043150211093804;0.0042705472022054;0.0042258478963207;0.0041816438800466;0.0041410145131558;0.0041031277644247;0.0040676900493906;0.004034496548426;0.0040030945609343;0.0039728400047152;0.0039427742946189;0.0039118906203895;0.0038801416995445;0.0038484745211672;0.0038181494471391;0.0037900996387207;0.0037644953291257;0.0037413999771949;0.0037213619701652;0.0037049438313281;0.0036935729818906;0.0036859347640866;0.0036801023238795
133.47260691138217;4.632278941352721e-07;6.546681347854124e-07;8.13016359287024e-07;9.177868493241768e-07;9.73265163281038e-07;1.0021678780412525e-06;1.0250641939859954e-06;1.0564385127166118e-06;1.0869791240452358e-06;1.0844292407145e-06;1.0812078134292962e-06;1.080535008241273e-06;1.0491397914026245e-06;9.644802287641856e-07;8.254718139501724e-07;6.691467852577313e-07;5.615347121548954e-07;5.548101739177959e-07;6.316769979154205e-07;7.216496093584108e-07;7.829570919731114e-07;8.170871338031871e-07;8.318326323315508e-07;8.1938574469656e-07;7.666181188906127e-07;7.055620388399471e-07;6.703834668028921e-07;6.929644938725982e-07;7.826550259333593e-07;8.947050940857407e-07;9.78262585791186e-07;9.93879914999032e-07;9.875308732403585e-07;9.965774326028912e-07;9.98518882996825e-07;9.551508233683714e-07;8.804228169034865e-07;8.344552394096691e-07;8.657019979402816e-07;1.2464033806596506e-06;3.3182859581529857e-06;1.1130794192092296e-05;3.442386474398164e-05;8.944761827632551e-05;0.0001951109970202;0.0003693553572913;0.0006275029922686;0.0009829145128189;0.0014359675095561;0.0019760148533726;0.0025744498165964;0.0031951919547857;0.0038020962416297;0.0043633070459752;0.0048486104789974;0.0052380740628196;0.0055198052911821;0.0056949117652933;0.0057715867805111;0.0057660714184408;0.0056958892102481;0.0055784873907428;0.005437862240381;0.0052887679371913;0.0051444197118885;0.0050135439775096;0.0049015820745027;0.0048095980644162;0.0047383604502838;0.0046778363076145;0.0046250129942926;0.0045777182210421;0.0045341134239893;0.0044917321939142;0.0044487721596002;0.0044042648761661;0.0043580436844892;0.0043103473718327;0.0042619949551489;0.0042145002130088;0.0041690462630668;0.0041262861072308;0.0040860150897192;0.0040475546682832;0.0040112167406111;0.0039764921495472;0.0039435078405653;0.0039126375657135;0.0038839792982457;0.0038579950255221;0.0038332721256899;0.0038083367048634;0.0037828989450235;0.0037563591355625;0.0037296139223187;0.0037040497098004;0.0036809759872532;0.0036604900446875;0.0036430697317538;0.0036297193596371
135.61312380366144;2.9527930138705254e-07;3.7700686826299683e-07;4.42730493637365e-07;4.905504410674038e-07;5.310693751911506e-07;5.888076510625022e-07;6.739247524343216e-07;7.837378018616558e-07;9.162263838926424e-07;1.0051996151329186e-06;1.0576353184559136e-06;1.0568884208184946e-06;9.94674721621697e-07;8.5636423767381e-07;6.613744605739689e-07;4.968017135054748e-07;4.348524839161221e-07;4.857579246084222e-07;6.356451168655262e-07;8.48450894099189e-07;1.0195363010532775e-06;1.1498366361718434e-06;1.2376414830683285e-06;1.2735823872133106e-06;1.2378135716852226e-06;1.1302674033920223e-06;9.84141217238386e-07;8.506362370956454e-07;7.889674746069537e-07;7.851160933422188e-07;7.929734241059816e-07;7.768878971551543e-07;7.772160724489192e-07;8.374675048627063e-07;9.355215172587656e-07;1.028854526347715e-06;1.109253416626798e-06;1.1766950042577794e-06;1.245813673228645e-06;1.7214132265207203e-06;4.055762600477478e-06;1.2199182359683008e-05;3.5207040922667995e-05;8.794477888327744e-05;0.0001893987810945;0.000356406451121;0.0006044361595895;0.0009470030170015;0.0013853710173952;0.0019098299699186;0.0024941277277657;0.0031038564712939;0.003702414673728;0.0042551564805523;0.0047322603936464;0.005114698570638;0.0053908227748469;0.0055624974594628;0.0056392525313191;0.005638034801928;0.0055772952345892;0.005475197089061;0.0053501630983052;0.0052196412805872;0.0050948077630531;0.0049808475931997;0.0048809204337582;0.0047975295835762;0.0047291702243415;0.0046720478959777;0.0046218801358227;0.0045759898885766;0.0045318698921275;0.004486954384741;0.0044410131330387;0.0043945464688746;0.0043472999157327;0.0042991472224441;0.0042521369544944;0.0042072762351564;0.0041651891343202;0.0041256667245441;0.0040875263693727;0.0040498961671458;0.0040126152060687;0.003975101409412;0.0039391230491864;0.0039068150155612;0.0038783769085439;0.0038539781552315;0.0038330748192825;0.0038145084934159;0.0037923834050053;0.003766192870815;0.0037360574990965;0.0037036758841727;0.0036713227544048;0.0036406996621048;0.00361260591231;0.003590542869392
137.7529803396901;4.2038063179151446e-07;6.243719419122869e-07;7.8194756328666e-07;9.109927384514544e-07;1.0096401637208498e-06;1.086962348736344e-06;1.1399158770867038e-06;1.1609536184070396e-06;1.142793723531331e-06;1.122738044616756e-06;1.071607909216312e-06;9.775256240420808e-07;8.483313883738555e-07;6.913488669636726e-07;5.281116649693787e-07;4.0374844092788e-07;3.699165981073778e-07;4.732131160445026e-07;6.954297490675197e-07;9.58857009616745e-07;1.1980885604060403e-06;1.3695673356048668e-06;1.4822194322263509e-06;1.5394999031307796e-06;1.5499580754544377e-06;1.4816336483207015e-06;1.3506077103244569e-06;1.2115789217317211e-06;1.1174533100024703e-06;1.0587828833883053e-06;9.828946476984863e-07;8.882202222127085e-07;8.065061561297115e-07;7.938557000563067e-07;8.843688521441733e-07;1.0730052357975537e-06;1.3363670985608174e-06;1.5801220530595703e-06;1.7710815974427368e-06;2.310995804772626e-06;4.712767701517803e-06;1.307879668514648e-05;3.5948595316280554e-05;8.591247274366282e-05;0.0001822240715819;0.0003435669503252;0.0005852949776618;0.0009190606261401;0.001345392015227;0.0018551220777947;0.0024260414540636;0.0030256136414031;0.0036165975027085;0.0041613061475265;0.0046307510743318;0.0050077183279967;0.005282774238155;0.0054586825238596;0.0055457191740217;0.0055587928026812;0.0055158745204209;0.0054341823873507;0.0053298865484022;0.0052156817541258;0.0051011918556599;0.0049923946051946;0.0048924505293021;0.0048031335634987;0.0047251154936368;0.0046564653997108;0.0045965505345586;0.0045456586151077;0.0044987442220122;0.0044547154333214;0.0044136888838781;0.0043726014016267;0.0043286085568668;0.0042836447720579;0.0042399692584379;0.004199201190794;0.0041615431753327;0.0041261155877451;0.0040915849506365;0.0040567232640474;0.0040214160197623;0.00398571630897;0.0039500728631204;0.0039158098387929;0.0038847508662102;0.0038585229173096;0.0038363919284035;0.0038186479371104;0.0038003553951405;0.0037775738254015;0.0037477658245458;0.0037137210097881;0.0036785375461692;0.0036445229085687;0.003613768272076;0.0035880265988501
139.8921764599363;8.957597662921041e-07;1.1346972444347594e-06;1.3568885858640643e-06;1.550067800048855e-06;1.6927609782124522e-06;1.7689833779961928e-06;1.7782055004531413e-06;1.7211381813706375e-06;1.5966933375364086e-06;1.434490341776344e-06;1.2678556732531667e-06;1.0956225894379995e-06;9.226424571294844e-07;7.652841606229904e-07;6.325737526797193e-07;5.363801986205397e-07;5.023262623064228e-07;5.742398242019225e-07;7.165173521356803e-07;8.615407189776491e-07;9.987954163664489e-07;1.1227954448913646e-06;1.2403366981273947e-06;1.3636091951758427e-06;1.4830246708963965e-06;1.5670445776194045e-06;1.5793271183904269e-06;1.5476425607116765e-06;1.494204575551416e-06;1.4084688528975172e-06;1.2681522234114882e-06;1.071310869745057e-06;8.555547093567616e-07;6.960634080045085e-07;6.694130471313091e-07;8.017801061862991e-07;1.0183966625477845e-06;1.2500417115652468e-06;1.4628918101332444e-06;1.94005131271907e-06;3.9002630397873815e-06;1.1006548604921403e-05;3.229996576012405e-05;8.011755897494606e-05;0.0001724736303802;0.0003292011195483;0.0005657243743611;0.0008931247320708;0.0013130780551696;0.001817092854576;0.0023820829297541;0.0029754418002632;0.0035614105966475;0.0041023728764074;0.00456963682516;0.0049464312331669;0.0052242578465456;0.0054052730768066;0.0054997170647133;0.0055224057452858;0.0054920195442477;0.0054238331185565;0.0053317338754083;0.0052244891387948;0.0051106502324133;0.004997653616841;0.0048891285745739;0.0047879291705277;0.0046991100387315;0.0046240219923685;0.0045620638395453;0.0045102842040149;0.0044665006933532;0.0044287586974074;0.0043933123124635;0.0043557462970687;0.0043136845759058;0.0042676891159474;0.0042209665999537;0.0041773564454234;0.0041392573332803;0.0041046521942849;0.0040740522186636;0.004046286340325;0.0040197339154294;0.003992416514895;0.0039643957698505;0.0039328238740508;0.0038999347853899;0.0038685778784983;0.0038404927819338;0.0038148336828188;0.0037944553441839;0.0037713673184473;0.0037442672349134;0.0037142674433925;0.0036826028689143;0.0036518533965845;0.0036240528099676;0.0035986903766907
142.03071210513372;1.2200058975420806e-06;1.291312392695172e-06;1.3674733081082262e-06;1.4581135547599746e-06;1.5305139693804565e-06;1.5393278021610962e-06;1.502597325766946e-06;1.4300397191160656e-06;1.3148956224425096e-06;1.1675049522169165e-06;1.0072995011619822e-06;8.439416468753752e-07;7.04606806803294e-07;6.244258557424758e-07;5.978384485150955e-07;5.952546263420767e-07;6.079206906944387e-07;6.360529103335231e-07;6.695045117913119e-07;7.036703621128264e-07;7.594135586659554e-07;8.659816721914977e-07;9.893745802537163e-07;1.1271306435608244e-06;1.2622898776628829e-06;1.376050303692733e-06;1.4277996832659628e-06;1.4066335136394969e-06;1.3173776269498388e-06;1.1594018445732374e-06;9.559900800348396e-07;7.575910510347178e-07;5.970948205965242e-07;4.738957274276485e-07;4.081151243584803e-07;4.08023156899063e-07;4.55413169358961e-07;5.215459667080072e-07;6.161958089520338e-07;9.965021062832835e-07;2.7250586448348982e-06;8.88906809414079e-06;2.744576999073905e-05;7.159077990315349e-05;0.0001600554601664;0.0003112463450687;0.0005394223166655;0.0008563695553434;0.0012647251578617;0.0017583987888603;0.0023181335312331;0.0029092138734587;0.0034946665604014;0.0040386721366834;0.0045128707196416;0.0048979670229471;0.0051826849238516;0.0053680753354818;0.0054642562768817;0.0054871833192811;0.0054571784414673;0.0053886021854829;0.0052891254454141;0.0051729423282507;0.0050546370823489;0.0049388759136422;0.004831163536575;0.0047368313174934;0.0046557958932041;0.0045942224026402;0.004546685274441;0.0045049207380138;0.0044670212900859;0.0044291801742419;0.0043878174113032;0.004339429616933;0.004288289657888;0.0042361158403757;0.0041859611356014;0.0041412601347791;0.0041034464527973;0.0040722892134136;0.0040464053581213;0.0040242640123819;0.004003382368482;0.0039815017740099;0.0039571201184444;0.0039298790716723;0.0039010557532097;0.003872028410436;0.0038454308428789;0.003820611153659;0.0037960845397517;0.0037706295305155;0.0037444877709228;0.0037173189873254;0.0036898165541747;0.0036629896948918;0.0036381772772812;0.0036158133537139
144.16858721627432;1.2093699369103129e-06;1.174648075751064e-06;1.1402694459508133e-06;1.127092289965021e-06;1.1122020369544044e-06;1.0678546521618735e-06;1.0055501939799822e-06;9.3626801213266e-07;8.567818321467869e-07;7.586741944553213e-07;6.414457237321186e-07;5.174817205857399e-07;4.2027624077607813e-07;3.83126202146542e-07;4.013903679520474e-07;4.504331071415467e-07;5.068163058210641e-07;5.525382028347943e-07;5.827678364356114e-07;6.054840787471818e-07;6.780252786142731e-07;7.991885125602044e-07;9.266532542857628e-07;1.025357582463346e-06;1.081615341521016e-06;1.0949372688654697e-06;1.0717599901148238e-06;9.853853588321654e-07;8.558097256656133e-07;6.971199146262078e-07;5.337167164727862e-07;4.257900264051378e-07;3.710378237593277e-07;3.399645791355605e-07;3.140009416718388e-07;2.836896426004868e-07;2.468990698629348e-07;2.257971557948247e-07;2.6339372596464e-07;6.144183823836005e-07;2.404642826645894e-06;8.34137418620149e-06;2.560128096749649e-05;6.861120550083141e-05;0.0001561454104135;0.0003046523738587;0.0005264116783755;0.0008332915734469;0.0012284537559914;0.0017070850123077;0.002251982141688;0.0028301316884736;0.0034059333655936;0.003948492886072;0.004430517558541;0.0048285753979671;0.0051263618535192;0.0053220826456224;0.0054236272767053;0.0054462044349789;0.0054102312842866;0.0053303961383887;0.0052225970200126;0.0051028229217024;0.0049843117344425;0.0048735617334203;0.0047752357755812;0.0046927484471591;0.0046273350285555;0.0045753940713363;0.0045331814722766;0.0044956672707787;0.0044585675582357;0.0044179241198759;0.0043706279437839;0.0043160883215321;0.0042588002133031;0.0042042444316;0.0041564436339445;0.0041168283048851;0.004084320368723;0.0040570360896377;0.0040327162910402;0.0040090227958496;0.0039843766592273;0.0039579910286589;0.0039290788469316;0.0038998199228288;0.0038726611776586;0.0038491431030505;0.0038287154794482;0.0038096457659686;0.0037882383120077;0.0037665114434809;0.0037439558889952;0.0037211156140742;0.0036981300022601;0.003675882107734;0.0036561867251277;0.0036406565538882
