FileName;di(n-heptyl,n-nonyl) adipate_46
MeasName;46
UserNotes_MeasName;my measurement
UserNotes_SampleName;my sample
Timestamp;2025-02-07T19:45:58Z
VirtualGateStart;NaN
VirtualGateEnd;NaN
HwSerial;2022091501
HwModel;M3.1
SpectralAxis;Raman shift (1/cm)
TimeAxis;Time (ns)
"PS characteristic peaks: [620.9, 1001.4, 1031.8, 1602.3]"
"PS calibration peak locations: [620.2253157680134, 1001.797851676245, 1031.3300654286868, 1602.682128990291]"
Calibration Delta: -0.15790408313107532
The following data is unprocessed and has not been modified with the Calibration Delta value
NaN;5.042815245740505;5.056422659241435;5.070030072742365;5.083637486243294;5.097244899744224;5.110852313245154;5.124459726746084;5.1380671402470135;5.151674553747943;5.165281967248873;5.178889380749802;5.192496794250732;5.206104207751662;5.219711621252592;5.233319034753522;5.2469264482544515;5.2605338617553805;5.27414127525631;5.28774868875724;5.30135610225817;5.3149635157591;5.32857092926003;5.34217834276096;5.35578575626189;5.3693931697628186;5.383000583263748;5.396607996764678;5.410215410265608;5.423822823766538;5.437430237267467;5.451037650768397;5.464645064269327;5.478252477770257;5.4918598912711865;5.505467304772116;5.519074718273046;5.532682131773976;5.546289545274905;5.559896958775835;5.573504372276765;5.587111785777695;5.6007191992786245;5.6143266127795535;5.627934026280483;5.641541439781413;5.655148853282343;5.668756266783273;5.682363680284203;5.695971093785133;5.7095785072860625;5.723185920786992;5.736793334287921;5.750400747788851;5.764008161289781;5.777615574790711;5.791222988291641;5.80483040179257;5.8184378152935;5.8320452287944295;5.845652642295359;5.859260055796289;5.872867469297219;5.886474882798149;5.900082296299079;5.913689709800009;5.927297123300938;5.940904536801868;5.9545119503027975;5.968119363803726;5.981726777304656;5.995334190805586;6.008941604306516;6.022549017807446;6.036156431308376;6.049763844809306;6.0633712583102355;6.076978671811165;6.090586085312095;6.104193498813024;6.117800912313954;6.131408325814884;6.145015739315814;6.158623152816743;6.172230566317673;6.1858379798186025;6.199445393319532;6.213052806820462;6.226660220321392;6.240267633822322;6.253875047323252;6.267482460824182;6.281089874325111;6.2946972878260405;6.30830470132697;6.3219121148279;6.335519528328829;6.349126941829759;6.362734355330689;6.376341768831619;6.389949182332549
127.04709469630323;4.258741216682523e-07;6.402418800244957e-07;8.361589469149329e-07;9.63221476441332e-07;1.0342434690776602e-06;1.0696180270934436e-06;1.0829316554256118e-06;1.0980492636566513e-06;1.1307074347181951e-06;1.1781193199243563e-06;1.2770501741497509e-06;1.381954309331724e-06;1.4602058564171011e-06;1.4938585675764156e-06;1.4660653560430705e-06;1.3842609149694664e-06;1.278846787248123e-06;1.1882243173237058e-06;1.0860878873932256e-06;9.747841408586145e-07;8.610590749938228e-07;7.532247900291447e-07;6.513930621904976e-07;5.529441513962915e-07;4.857808864651901e-07;4.434097555124315e-07;4.229631372101953e-07;4.236183523712805e-07;4.4615025506461573e-07;4.896833308758306e-07;5.468258809744806e-07;5.709688109900998e-07;5.706750772947952e-07;5.645419956219168e-07;5.601183799644983e-07;5.70212422939732e-07;6.150879862680983e-07;7.41315747204433e-07;1.0466541605410184e-06;1.672512070984497e-06;3.583576620553045e-06;9.787351117859147e-06;2.7280025865848468e-05;6.942614923938564e-05;0.0001505579288642;0.0002831772474766;0.0004732879093286;0.0007207168770095;0.0010165175880916;0.0013459050500511;0.0016849274605023;0.0020008730595663;0.0022592265100029;0.0024369600590826;0.0025206108284743;0.0025101716034183;0.0024132872703864;0.0022461544378518;0.0020297004988636;0.0017876292364996;0.0015431144671765;0.0013134817879815;0.0011086219060426;0.0009343704007663;0.0007920061867748;0.0006800122442174;0.0005947081806515;0.0005309165284655;0.0004841306081325;0.0004497856013611;0.0004235525000714;0.0004012078106802;0.0003810848909238;0.0003627891784499;0.0003461254570536;0.0003310939654661;0.0003175542272282;0.000305277995981;0.0002939411153479;0.0002832777676338;0.0002732546973474;0.0002639037322891;0.0002553646628207;0.0002477475594569;0.0002409763037982;0.0002348738628093;0.0002291841426578;0.0002237024972286;0.0002183523355654;0.0002131919831402;0.0002084824209241;0.0002044231031368;0.0002010896866591;0.0001984135581214;0.0001961278396446;0.0001939708660827;0.000191690366949;0.0001892069068778;0.0001867856393731;0.000184660902579
129.18959229751636;5.030166784603386e-07;7.049399521164336e-07;8.689811655141681e-07;9.84890770600676e-07;1.059492066124153e-06;1.0944950514127043e-06;1.087800844396703e-06;1.052014717496628e-06;1.0165715443647805e-06;1.0371146680002747e-06;1.1056193057488556e-06;1.1814425311957998e-06;1.2253292274311611e-06;1.221542382891812e-06;1.180472333021412e-06;1.1240700649005197e-06;1.0685879013077282e-06;1.021419810551354e-06;9.71191772756042e-07;9.093505652674272e-07;8.351045193932815e-07;7.471265559333329e-07;6.439646023128765e-07;5.278216742732203e-07;4.144057501755457e-07;3.144239781642964e-07;2.534583347807213e-07;2.455396317340041e-07;3.201554027577605e-07;4.757353865511472e-07;6.32593860481963e-07;7.48425724493856e-07;8.106100586080936e-07;8.251999015421279e-07;8.045107361104036e-07;7.524251232990806e-07;6.773240931681607e-07;6.366707772077486e-07;7.188253261829453e-07;1.1539311558940434e-06;3.1007875010223997e-06;9.229286852468874e-06;2.6371678030187556e-05;6.73910303859355e-05;0.0001453517479118;0.0002712739660679;0.0004501183077646;0.0006818628014444;0.0009593754989406;0.0012698933885506;0.0015903050603691;0.0018884700007239;0.0021324194550967;0.0023015202346456;0.0023828723092089;0.0023756058611211;0.0022854815276596;0.002127235747289;0.0019214648141432;0.0016919768892864;0.0014614303891949;0.0012453181557669;0.0010525203106488;0.0008887279080056;0.0007547468060538;0.0006491620620699;0.0005685324224373;0.0005081577496556;0.0004640465028411;0.0004319689711573;0.0004070061599353;0.0003855843793692;0.0003659512709397;0.000347236007933;0.0003298235769713;0.0003140364617646;0.0003001442714139;0.0002881703345354;0.0002777220558685;0.00026839989833;0.0002599155554664;0.0002521410373112;0.0002451291679205;0.0002389073276177;0.0002334704267544;0.0002287002294888;0.000224342633532;0.0002200990363558;0.0002156652838148;0.0002108850001663;0.0002058236064206;0.0002007370098458;0.0001960794970322;0.0001922602527184;0.0001893368198791;0.0001871109635632;0.0001852701127273;0.0001835756120494;0.0001819520962681;0.0001804242536201
131.33142972264977;5.144988430164326e-07;5.74344006062455e-07;6.094343509313013e-07;6.429133275516932e-07;6.909877444803281e-07;7.650487993357877e-07;8.480770399217058e-07;8.965450842444982e-07;9.176391935016996e-07;9.541015499765186e-07;9.950158850302913e-07;1.01357830719046e-06;9.903930896209612e-07;9.312673137910952e-07;8.504959869315505e-07;7.691982857201735e-07;7.020035274711842e-07;6.389768890165643e-07;5.908098823281096e-07;5.57705541808821e-07;5.503332450634282e-07;5.707740639965252e-07;5.817059771176258e-07;5.763191690902995e-07;5.602266353332635e-07;5.240441440729778e-07;4.817244369025278e-07;4.576511999019937e-07;4.886178234215457e-07;5.800923006041819e-07;6.795590815362359e-07;7.738268502865585e-07;8.36226070514855e-07;8.7484491495726e-07;8.939705288402409e-07;8.887930047841538e-07;8.442350365042309e-07;7.994142675927669e-07;7.951171661411068e-07;1.075721724581424e-06;2.935101848981617e-06;9.600326099814484e-06;2.760062690309843e-05;6.751600565205049e-05;0.0001407830333796;0.0002574457185072;0.0004230177015062;0.0006391987875547;0.0009000608517219;0.0011932880354276;0.0014956446498334;0.0017772265185644;0.0020083618626941;0.0021687406719163;0.0022449746657926;0.0022359855707276;0.0021478595067732;0.0019962910636781;0.0018016608020614;0.0015873653743353;0.0013735009340923;0.0011740358171746;0.0009964453672258;0.0008451270469756;0.0007200800422481;0.000619765578957;0.0005413513638292;0.0004813548011267;0.0004364991401515;0.0004033088427639;0.0003783901827545;0.0003588091591762;0.0003422745382942;0.0003271732838441;0.000312822587893;0.0002992473205113;0.0002866254156991;0.000275020313476;0.0002643364442876;0.0002547865902408;0.0002467984103777;0.0002399779871548;0.0002342649797914;0.0002299340835832;0.0002261632020254;0.0002226946802281;0.0002193185139363;0.0002157756163557;0.000211708475956;0.0002068660164052;0.0002013265323106;0.0001955835826146;0.0001903304529148;0.0001860851689123;0.0001830352834945;0.0001811136212171;0.0001799464192373;0.0001791298827804;0.0001784232272438;0.0001776577869048
133.47260691138217;5.25990117998429e-07;4.242109953586464e-07;3.449084661709033e-07;3.034051821490576e-07;3.031177855377251e-07;3.5942818303546205e-07;4.6781944300968085e-07;5.919868899099355e-07;7.029131336225309e-07;7.847323947517172e-07;8.373618865138119e-07;8.55164518943791e-07;8.30762765554929e-07;7.672600196048018e-07;6.708392714034624e-07;5.636429634302345e-07;4.730571411334676e-07;3.9678435707982043e-07;3.386849472345533e-07;3.068824363991861e-07;3.221686894938267e-07;4.0140398619822237e-07;5.152759985937753e-07;6.251429976589963e-07;7.04151248202389e-07;7.458174604155221e-07;7.412360897129937e-07;7.164959297300825e-07;6.897785342032924e-07;6.6701280573979e-07;6.196333969176278e-07;5.880604076423813e-07;5.958300860466526e-07;6.299269854523663e-07;6.739536251438395e-07;7.311525269214378e-07;8.026929506368246e-07;8.83189043833725e-07;9.665685110492395e-07;1.2694843775616843e-06;2.796917509694524e-06;8.449467467145454e-06;2.440368547909197e-05;6.071419392915448e-05;0.0001278121933945;0.0002350627656796;0.0003900521877735;0.0005950350390064;0.0008438266373446;0.0011238893046215;0.001410480947852;0.0016750192228339;0.0018909650130868;0.0020397195842204;0.0021091121345184;0.0020984488820553;0.0020141533468;0.0018720939201144;0.0016915875119701;0.0014945667366869;0.0012978533260473;0.001113172582942;0.0009475414663085;0.0008055936967164;0.0006877128788091;0.000592432587826;0.0005171097543553;0.0004589208411853;0.0004153743792993;0.0003834793392453;0.0003600075550471;0.0003422232881377;0.0003279812972372;0.0003155819934416;0.0003039027337243;0.0002924718005327;0.0002811082775113;0.000269671803951;0.0002582770830397;0.0002473965470626;0.0002376017523655;0.0002294994556159;0.0002233876353423;0.0002191217019444;0.0002161529599001;0.0002140354532184;0.0002119616566367;0.0002093458375459;0.0002058227050539;0.0002013617308985;0.0001963375486797;0.0001913409329676;0.0001868613740979;0.0001830887411425;0.0001800896170211;0.0001779315194273;0.0001764319240499;0.0001753021654872;0.0001743109420866;0.0001732652695863
135.61312380366144;4.185610202700034e-07;3.305156091067968e-07;2.864442422956039e-07;2.6347724653310924e-07;2.473264798320574e-07;2.438549087545376e-07;2.601038169752219e-07;2.9768472524990054e-07;3.526235620580776e-07;4.058711213517774e-07;4.294412607911378e-07;4.424518927806754e-07;4.415153968062163e-07;4.150597303226408e-07;3.7193625480762325e-07;3.262076187149879e-07;2.969072414979146e-07;2.832018052385691e-07;2.708956671162413e-07;2.556476207251874e-07;2.517089272249566e-07;2.8388559587135417e-07;3.624722309417736e-07;4.4951539901944846e-07;5.06515127366186e-07;5.455096790647362e-07;5.69472213373837e-07;5.765540987985238e-07;5.66632390372779e-07;5.291986259856299e-07;4.664375689126311e-07;3.958801574214365e-07;3.775284425489554e-07;3.996259530479818e-07;4.427725402320458e-07;5.059077804735519e-07;5.992333198883031e-07;6.960561023793654e-07;7.954860046610725e-07;1.1213048541355704e-06;2.596315667326362e-06;7.567965746630997e-06;2.144939109877532e-05;5.343968571390379e-05;0.0001148444954271;0.0002158030342188;0.0003622991751289;0.0005560330830811;0.0007910946894714;0.0010550105537173;0.0013252570627715;0.0015756726774704;0.0017813166617773;0.0019234874218924;0.0019908938225029;0.0019834174287655;0.0019072218692176;0.0017765713977553;0.0016087591979117;0.0014235326821099;0.001236986784514;0.0010607026340189;0.0009021056356498;0.0007663671836125;0.0006543484154737;0.0005647864354378;0.0004949748619581;0.0004417594906753;0.0004023016189301;0.0003734925128955;0.0003520835654792;0.0003353617510283;0.0003216396961026;0.0003097555447199;0.0002987381537898;0.0002880647943287;0.0002774542391891;0.0002665724964887;0.000255472090855;0.0002446825792304;0.0002347054951494;0.0002260187089664;0.000218817072919;0.0002130189177601;0.0002083151646129;0.0002045217642232;0.0002019155705819;0.0001996716743656;0.0001973700961119;0.0001948021439387;0.0001919776627227;0.000188958427018;0.0001858070581677;0.000182248593872;0.0001786151916219;0.000175275077867;0.0001724806096937;0.0001702532997602;0.0001683114563214;0.0001664773389142
137.7529803396901;4.28265811947023e-07;4.183686759228346e-07;3.994025420781354e-07;3.684630126021588e-07;3.318689699554501e-07;3.0211174309610025e-07;2.7993361600032905e-07;2.719946037654824e-07;2.79082526716898e-07;2.89707857447006e-07;3.0534925115666504e-07;3.292475023766373e-07;3.5749282471825205e-07;3.825600932061742e-07;3.977118071056514e-07;4.051189297917946e-07;4.106335942824873e-07;4.216954973008353e-07;4.2768129046564053e-07;4.244607687357749e-07;4.2696159124438346e-07;4.581764986625723e-07;5.216978597098015e-07;5.92429276321032e-07;6.487352158363158e-07;6.788353644739979e-07;6.890254457024232e-07;6.737114784128093e-07;6.340229875963406e-07;5.785020004833903e-07;5.457733423648563e-07;5.326254452828646e-07;5.487201828220315e-07;5.862949691827531e-07;6.221670737353726e-07;6.392366535361137e-07;6.319411969902488e-07;6.038259829488341e-07;5.773622501737862e-07;8.394829556886085e-07;2.4358036426894064e-06;7.987014687288237e-06;2.2751103951530028e-05;5.426458769025888e-05;0.000113217888132;0.0002094120005928;0.000348721300273;0.0005324946406247;0.0007544980209316;0.0010020218046994;0.0012560788794609;0.001493596624192;0.0016910310431255;0.0018286278561326;0.001894769426934;0.0018894079617172;0.0018187717865456;0.0016960538236918;0.0015370021661776;0.0013587050043703;0.0011777078819479;0.0010071081264278;0.0008551000034677;0.0007260657021878;0.0006205639918603;0.0005373865979822;0.0004737546964432;0.0004260813329078;0.0003905644059364;0.0003637382443503;0.0003429295714479;0.0003257420950847;0.0003108131336348;0.0002977656081437;0.0002863938019453;0.0002763762203407;0.0002672496472234;0.0002585060039667;0.0002499724303649;0.0002417494297729;0.0002338896922454;0.000226364425208;0.0002190169365859;0.0002119860692613;0.0002054587569392;0.0001995657167857;0.0001947128667655;0.0001908501161278;0.0001877530702478;0.0001851863383205;0.0001829550922863;0.0001808795672997;0.0001786953422285;0.0001761548301924;0.0001732619062843;0.0001702873000781;0.0001675183659791;0.0001651578056992;0.0001632128124195;0.0001613995516041
139.8921764599363;5.649302473395752e-07;5.624868649953884e-07;5.344273721534506e-07;4.824797258175604e-07;4.325070330043405e-07;3.9780293865715483e-07;3.796975646854442e-07;4.033328168108228e-07;4.750233191516326e-07;5.81176496449427e-07;7.139410838534724e-07;8.462980505067622e-07;9.448089076256714e-07;9.953237448271863e-07;9.973530140340738e-07;9.612295291260428e-07;8.950831057243806e-07;8.124243280671581e-07;7.321550755939987e-07;6.739963647110976e-07;6.617232353901932e-07;7.057800921631407e-07;7.967260037834315e-07;8.851853036116917e-07;9.560959336956108e-07;9.8690800847459e-07;9.722260957028236e-07;9.312189047281916e-07;8.673764546174882e-07;8.162305874792474e-07;8.017265405033211e-07;8.261203982245838e-07;8.758839652281012e-07;9.34645132511402e-07;9.774073288596203e-07;9.739501509189076e-07;9.104133106303284e-07;8.007941190789996e-07;6.913725310897578e-07;8.552432851254018e-07;2.3513734427598665e-06;7.964168044860859e-06;2.3357814097755707e-05;5.534459299392881e-05;0.0001134058159136;0.000206328335133;0.0003398108854481;0.0005152898714806;0.0007267999333906;0.0009614042202838;0.0012013989101799;0.0014249141216876;0.0016106956163139;0.0017402372945013;0.0018023220493351;0.0017965531505542;0.0017289398716844;0.001611893661032;0.0014606347182312;0.0012905898806896;0.0011181905009104;0.0009561242407789;0.0008124893795596;0.0006907777142456;0.0005913063264258;0.0005128964968583;0.0004529737538856;0.0004081427060085;0.0003745269961989;0.0003483803709961;0.0003275214279315;0.0003098691684899;0.0002941798069735;0.0002802743258945;0.0002682465768211;0.0002579253430771;0.0002494598951423;0.0002423986264676;0.0002363811148945;0.0002311925758414;0.0002261946194467;0.0002212661467078;0.0002160570818255;0.0002100562856846;0.0002042610162577;0.0001988525571063;0.0001937828656181;0.0001890147823011;0.0001845425568793;0.0001804837895719;0.0001769879266957;0.0001741428163697;0.0001719117954244;0.0001699852258352;0.0001679552106524;0.000165814355695;0.0001637054618231;0.0001617405114485;0.0001599507304144;0.0001583597426979
142.03071210513372;4.770508802795536e-07;4.389431802995266e-07;3.979961061945285e-07;3.5692226474816933e-07;3.307015899059894e-07;3.322672046412771e-07;3.550602808792307e-07;4.08570000126715e-07;5.152158797201739e-07;6.726266822896544e-07;8.682138410093314e-07;1.0531947604371285e-06;1.174525912399195e-06;1.218957166135772e-06;1.1904690518689825e-06;1.1019016074484866e-06;9.643387838872249e-07;7.952432056631931e-07;6.30280240696e-07;5.118135536836592e-07;4.804615152787528e-07;5.461601407132298e-07;6.341843153912166e-07;7.11889709771726e-07;7.653992673904021e-07;7.873844405889511e-07;7.818723089617504e-07;7.590423156870231e-07;7.243946612908434e-07;6.903859831924224e-07;6.814115350833586e-07;7.12371753273522e-07;7.680293133747524e-07;8.296830474823211e-07;8.844657254533432e-07;8.991616378990926e-07;8.610942608904366e-07;7.903616001460488e-07;7.232289259916561e-07;8.789093253881717e-07;2.2128249950659093e-06;7.1298938001400566e-06;2.0863237736199755e-05;5.0839292515876144e-05;0.0001064915897938;0.0001960861000043;0.0003235187443042;0.0004895378244689;0.0006892254800872;0.0009116923929648;0.0011404875193332;0.0013525410584603;0.0015270081744987;0.0016478379523789;0.0017058750694024;0.0017008862413511;0.0016378386431239;0.0015275857581644;0.0013847866990267;0.0012252662298041;0.0010652352207639;0.000914545720711;0.0007795428791707;0.0006638729825873;0.000568448751136;0.0004924059931929;0.0004335116832061;0.0003886319706316;0.0003547560020377;0.0003290482819004;0.0003094995698661;0.0002937145290993;0.0002802520300611;0.0002683965547459;0.0002577083419299;0.0002478800078898;0.0002389902993507;0.0002312565413703;0.0002248333582105;0.0002198578881411;0.0002161752790083;0.0002133012806011;0.0002104863335416;0.0002071378230039;0.0002036881666391;0.0001998738134504;0.0001957958218103;0.0001917100719078;0.0001877780074537;0.0001841490202448;0.0001808424538352;0.0001777919620034;0.0001748512644708;0.0001718364353535;0.0001686558714535;0.0001653830837445;0.0001621687974294;0.0001592264062708;0.0001567603533884;0.0001546600247875
144.16858721627432;4.776334494431506e-07;4.559694968948977e-07;4.27248671794593e-07;3.985232477469646e-07;3.740974782822843e-07;3.630417711597092e-07;3.657964409067986e-07;3.750615315116392e-07;4.128931888062302e-07;4.66127767516739e-07;5.412210278845697e-07;6.096637477106182e-07;6.452628157305351e-07;6.406519535100082e-07;5.990152152405172e-07;5.28607774734274e-07;4.378232916322929e-07;3.4042560558466976e-07;2.622603943371329e-07;2.3067074276847666e-07;2.7156050183729625e-07;3.661868131776639e-07;4.574471769122145e-07;5.283385403400396e-07;5.644773029521102e-07;5.681937302034527e-07;5.471174826137856e-07;5.030785187393444e-07;4.3331551961675165e-07;3.6754164939829307e-07;3.3631474533081224e-07;3.579766562668983e-07;4.13106120130793e-07;4.696535828108162e-07;5.147212601385711e-07;5.330770782043826e-07;5.199405709866908e-07;4.886829866676396e-07;4.655672719580106e-07;6.437005949982304e-07;1.8017146970294603e-06;5.861307133895956e-06;1.7465708310821843e-05;4.4663542686284205e-05;9.700107644666125e-05;0.0001819833446287;0.0003030342310396;0.0004603053998347;0.0006490043324535;0.0008606710134645;0.0010798887899612;0.0012829411180618;0.0014487908522943;0.0015634836166363;0.0016194983473124;0.0016165231496267;0.0015583331917189;0.0014544507494104;0.0013188027481062;0.0011676637664398;0.0010169236750236;0.0008748880275598;0.0007466808648498;0.0006361981771439;0.00054475052463;0.0004716008699521;0.0004145671725975;0.0003706015512487;0.0003374424984849;0.0003130777507006;0.0002952639858024;0.0002815163256608;0.0002704893307838;0.0002612102006607;0.0002526725826975;0.0002443356673173;0.000236351326791;0.0002290358551315;0.000222504144532;0.0002168846279584;0.0002121109435963;0.0002081719826005;0.0002049451867326;0.0002021089457337;0.0001993254491514;0.000196313941753;0.0001926593279151;0.0001890228915024;0.0001856307625214;0.0001825946563812;0.0001797647683086;0.0001770746083456;0.0001741025061696;0.0001708354512705;0.0001672492396864;0.0001634129080347;0.000159464583371;0.0001556935093822;0.0001523859257874;0.0001497534005948
